Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

13:30:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:30:09        all      2.10      0.00      0.89      0.01      0.00     97.00
13:30:14        all     75.51      0.00      2.80      0.01      0.00     21.68
13:30:19        all     57.35      0.00      4.16      0.15      0.00     38.34
13:30:24        all      0.54      0.00      0.13      0.00      0.00     99.34
13:30:29        all      4.13      0.00      0.94      0.04      0.00     94.90
13:30:34        all     83.26      0.00     10.88      0.16      0.00      5.69
13:30:39        all     76.64      0.00     12.30      0.01      0.00     11.05
13:30:44        all      6.45      0.00      0.86      0.00      0.00     92.68
Average:        all     38.22      0.00      4.12      0.05      0.00     57.61

13:30:04    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:30:09     52288936  60639284   4314680      6.55     73992   8719136   5917524      8.99   4033172   8553936       412
13:30:14     51769352  60119776   4833296      7.34     73992   8719212   6510176      9.89   4577392   8554012     13324
13:30:19     51725132  60076064   4876928      7.41     73992   8719720   6548344      9.95   4614520   8554520     47852
13:30:24     51635928  59986692   4966228      7.54     73992   8719560   6553652      9.95   4702924   8554352     47816
13:30:29     51628584  59979412   4973416      7.55     73992   8719620   6567556      9.98   4755620   8554416     48796
13:30:34     51592664  59944800   5008016      7.61     74004   8720928   6577272      9.99   4792172   8555724    105056
13:30:39     51133796  59486040   5466768      8.30     74004   8721020   7035244     10.69   5264036   8555832     83332
13:30:44     51152932  59505188   5447608      8.27     74004   8721044   7035304     10.69   5249748   8555844     84000
Average:     51615916  59967157   4985868      7.57     73996   8720030   6593134     10.01   4748698   8554830     53824

13:30:04          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:30:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:09          sda      4.60      0.00    614.40      0.00    133.57      0.01      2.04      0.12
13:30:09         sda1      4.60      0.00    614.40      0.00    133.57      0.01      2.00      0.12
13:30:09        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:09        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:09        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:14          sda     22.36      0.00     62.28      0.00      2.79      0.01      0.36      0.64
13:30:14         sda1     22.36      0.00     62.28      0.00      2.79      0.01      0.36      0.64
13:30:14        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:14        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:14        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:30:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
