Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

13:28:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:28:22        all      1.96      0.00      0.89      0.00      0.00     97.15
13:28:27        all     57.10      0.00      3.23      0.05      0.00     39.61
13:28:32        all     32.05      0.00      3.38      0.13      0.00     64.44
13:28:37        all      5.39      0.00      0.82      0.05      0.00     93.74
13:28:42        all      0.66      0.00      0.47      0.00      0.00     98.88
13:28:47        all      8.70      0.00      1.46      0.09      0.00     89.75
13:28:52        all     17.32      0.00      2.68      0.13      0.00     79.87
13:28:57        all     17.35      0.00      2.79      0.08      0.00     79.78
13:29:02        all     15.36      0.00      2.54      0.15      0.00     81.95
13:29:07        all     18.63      0.00      2.61      0.18      0.00     78.58
13:29:12        all     21.92      0.00      3.11      0.10      0.00     74.86
13:29:17        all      6.39      0.00      0.92      0.01      0.00     92.68
Average:        all     16.86      0.00      2.07      0.08      0.00     80.99

13:28:17    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:28:22     52096572  60445976   4509132      6.85     73616   8718660   6132312      9.31   4269184   8553084       388
13:28:27     51707384  60056968   4897484      7.44     73616   8718840   6555220      9.96   4664092   8553264     24896
13:28:32     51689380  60039244   4915176      7.47     73616   8719120   6566788      9.97   4676164   8553544     44192
13:28:37     51712520  60062520   4891996      7.43     73616   8719256   6569420      9.98   4673044   8553680     49252
13:28:42     51613564  59963384   4991012      7.58     73616   8719096   6575368      9.99   4793588   8553500     49228
13:28:47     51601780  59951724   5002656      7.60     73620   8719200   6576784      9.99   4814204   8553624     54176
13:28:52     51592716  59942900   5011468      7.61     73620   8719436   6587308     10.01   4824988   8553864     53916
13:28:57     51595040  59945376   5008992      7.61     73620   8719588   6588084     10.01   4826152   8554016     67028
13:29:02     51595744  59946444   5008032      7.61     73620   8719956   6591536     10.01   4831144   8554380     36952
13:29:07     51594868  59945876   5008604      7.61     73620   8720260   6592828     10.01   4838912   8554688     52920
13:29:12     51571144  59922424   5032052      7.64     73620   8720536   6593796     10.02   4861196   8554960     65960
13:29:17     51578876  59930232   5024220      7.63     73624   8720632   6593988     10.02   4851264   8555036     64984
Average:     51662466  60012756   4941735      7.51     73619   8719548   6543619      9.94   4743661   8553970     46991

13:28:17          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:28:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:22          sda      4.60      0.00    610.40      0.00    132.70      0.01      1.48      0.08
13:28:22         sda1      4.60      0.00    610.40      0.00    132.70      0.01      1.52      0.10
13:28:22        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:22        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:22        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:27          sda     44.40      0.00    123.20      0.00      2.77      0.02      0.36      1.50
13:28:27         sda1     44.40      0.00    123.20      0.00      2.77      0.02      0.36      1.50
13:28:27        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:27        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:27        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:32          sda     61.00     32.00    171.20      0.00      3.33      0.03      0.39      2.44
13:28:32         sda1     61.00     32.00    171.20      0.00      3.33      0.02      0.40      2.46
13:28:32        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:32        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:32        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:37          sda     19.00     13.60     44.80      0.00      3.07      0.01      0.37      0.70
13:28:37         sda1     19.00     13.60     44.80      0.00      3.07      0.01      0.37      0.70
13:28:37        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:37        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:37        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:42          sda      1.00      0.00     19.20      0.00     19.20      0.00      0.80      0.06
13:28:42         sda1      1.00      0.00     19.20      0.00     19.20      0.00      0.60      0.06
13:28:42        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:42        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:42        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:47          sda     34.00     15.20    116.80     76.80      6.14      0.02      0.50      1.44
13:28:47         sda1     34.00     15.20    116.80     76.80      6.14      0.02      0.51      1.44
13:28:47        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:47        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:47        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:52          sda    123.60     31.20   1432.00      0.00     11.84      0.23      1.81      2.22
13:28:52         sda1    123.60     31.20   1432.00      0.00     11.84      0.22      1.81      2.26
13:28:52        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:52        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:52        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:57          sda     42.00     22.40     96.00      0.00      2.82      0.02      0.38      1.54
13:28:57         sda1     42.00     22.40     96.00      0.00      2.82      0.02      0.38      1.54
13:28:57        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:57        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:28:57        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:02          sda    234.80     33.60   1660.80      0.00      7.22      0.43      1.80      2.64
13:29:02         sda1    234.80     33.60   1660.80      0.00      7.22      0.42      1.81      2.74
13:29:02        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:02        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:02        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:07          sda     66.20     37.60    151.20      0.00      2.85      0.03      0.38      2.50
13:29:07         sda1     66.20     37.60    151.20      0.00      2.85      0.03      0.38      2.48
13:29:07        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:07        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:07        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:12          sda     54.00     30.40    123.20      0.00      2.84      0.02      0.37      2.02
13:29:12         sda1     54.00     30.40    123.20      0.00      2.84      0.02      0.37      2.02
13:29:12        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:12        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:12        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:29:17          sda     21.40      8.00    110.40      0.00      5.53      0.01      0.47      0.52
13:29:17         sda1     21.40      8.00    110.40      0.00      5.53      0.01      0.48      0.54
