Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

13:34:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:35:04        all      0.08      0.00      0.04      0.00      0.00     99.89
13:35:09        all     31.32      0.00      1.03      0.04      0.00     67.60
13:35:14        all      0.05      0.00      0.00      0.00      0.00     99.95
13:35:19        all      8.96      0.00      0.30      0.00      0.00     90.74
13:35:24        all     15.41      0.00      1.04      0.05      0.00     83.50
13:35:29        all      0.20      0.00      0.04      0.00      0.00     99.76
Average:        all      9.30      0.00      0.41      0.01      0.00     90.27

13:34:59    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:35:04     52308540  60662440   4289992      6.52     74948   8720888   4821672      7.32   4027988   8556104      3528
13:35:09     52136188  60490108   4462100      6.78     74948   8720908   4932956      7.49   4206608   8556124      3400
13:35:14     52143996  60497916   4454276      6.77     74948   8720924   4932956      7.49   4206596   8556124      3416
13:35:19     52126996  60480944   4471064      6.79     74948   8720944   5009692      7.61   4247248   8556152      3436
13:35:24     52125344  60479376   4472400      6.79     74956   8721020   5025428      7.63   4264336   8556236     17200
13:35:29     52144212  60498256   4453608      6.76     74956   8721040   5083788      7.72   4254600   8556248     14080
Average:     52164213  60518173   4433907      6.73     74951   8720954   4967749      7.55   4201229   8556165      7510

13:34:59          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:35:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:04          sda      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
13:35:04         sda1      0.20      0.00      0.80      0.00      4.00      0.00      0.00      0.00
13:35:04        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:04        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:04        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:09          sda     15.80      0.00     72.00      0.00      4.56      0.01      0.39      0.62
13:35:09         sda1     15.80      0.00     72.00      0.00      4.56      0.01      0.41      0.62
13:35:09        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:09        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:09        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:35:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
