Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

13:31:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:31:41        all      0.04      0.00      0.03      0.00      0.00     99.94
13:31:46        all      4.17      0.00      0.20      0.01      0.00     95.62
13:31:51        all      8.88      0.00      0.46      0.00      0.00     90.66
13:31:56        all      9.85      0.00      0.36      0.00      0.00     89.78
13:32:01        all      3.04      0.00      0.18      0.01      0.00     96.77
13:32:06        all      0.06      0.00      0.03      0.00      0.00     99.91
13:32:11        all      0.45      0.00      0.04      0.00      0.00     99.51
13:32:16        all      7.00      0.00      0.29      0.00      0.00     92.71
13:32:21        all      2.58      0.00      0.19      0.01      0.00     97.22
13:32:26        all      3.98      0.00      0.30      0.00      0.00     95.72
13:32:31        all      2.47      0.00      0.16      0.03      0.00     97.35
13:32:36        all      4.38      0.00      0.24      0.01      0.00     95.37
13:32:41        all      0.05      0.00      0.00      0.00      0.00     99.95
Average:        all      3.61      0.00      0.19      0.01      0.00     96.20

13:31:36    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:31:41     52471808  60823252   4130288      6.27     74308   8719708   4725624      7.18   3923520   8554676      3296
13:31:46     52426920  60778396   4175188      6.34     74308   8719728   4746356      7.21   3962400   8554708      3312
13:31:51     52386272  60737764   4215788      6.40     74308   8719744   4772352      7.25   4016620   8554724      3328
13:31:56     52344836  60696348   4257172      6.47     74308   8719764   4787932      7.27   4055256   8554744      3348
13:32:01     52347496  60699028   4254488      6.46     74312   8719784   4790248      7.28   4063768   8554764      3276
13:32:06     52368996  60720540   4232968      6.43     74312   8719804   4790248      7.28   4050764   8554776      3292
13:32:11     52361768  60713328   4240176      6.44     74312   8719824   4790632      7.28   4060036   8554792       104
13:32:16     52328584  60680176   4273340      6.49     74312   8719844   4797324      7.29   4098060   8554824      2168
13:32:21     52325532  60677136   4276372      6.50     74312   8719864   4799640      7.29   4101284   8554836      3604
13:32:26     52316116  60667800   4285720      6.51     74312   8719932   4801124      7.29   4113732   8554916     21392
13:32:31     52324460  60676152   4277424      6.50     74316   8719944   4804860      7.30   4111684   8554924     21408
13:32:36     52295204  60646916   4306640      6.54     74316   8719984   4805632      7.30   4137372   8554944     22700
13:32:41     52296584  60648336   4305240      6.54     74316   8720004   4814276      7.31   4137756   8554984     22720
Average:     52353429  60705013   4248523      6.45     74312   8719841   4786634      7.27   4064019   8554816      8765

13:31:36          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:31:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:41          sda      0.20      0.00     29.60      0.00    148.00      0.00      2.00      0.02
13:31:41         sda1      0.20      0.00     29.60      0.00    148.00      0.00      1.00      0.02
13:31:41        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:41        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:41        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:46          sda      6.20      0.00     16.00      0.00      2.58      0.00      0.32      0.20
13:31:46         sda1      6.20      0.00     16.00      0.00      2.58      0.00      0.35      0.20
13:31:46        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:46        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:46        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:51          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.08
13:31:51         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.08
13:31:51        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:51        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:51        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:56          sda      4.80      0.00     14.40      0.00      3.00      0.00      0.38      0.18
13:31:56         sda1      4.80      0.00     14.40      0.00      3.00      0.00      0.33      0.18
13:31:56        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:56        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:31:56        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:01          sda      7.80      0.00     56.00      3.20      7.59      0.01      0.64      0.14
13:32:01         sda1      7.80      0.00     56.00      3.20      7.59      0.01      0.67      0.14
13:32:01        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:01        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:01        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:06          sda      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
13:32:06         sda1      0.20      0.00      0.80      0.00      4.00      0.00      0.00      0.00
13:32:06        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:06        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:06        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:11        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:11        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:11        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:11        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:11          sda      7.40      0.00    647.20      0.00     87.46      0.01      1.41      0.24
13:32:11         sda1      7.40      0.00    647.20      0.00     87.46      0.01      1.43      0.26
13:32:11        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:11        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:11        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:16          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
13:32:16         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
13:32:16        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:16        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:16        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:21          sda      3.99      0.00     10.38      0.00      2.60      0.00      0.35      0.16
13:32:21         sda1      3.99      0.00     10.38      0.00      2.60      0.00      0.35      0.16
13:32:21        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:21        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:21        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:32:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
