Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

01:44:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:44:52        all     82.61      0.00      5.43      0.80      0.00     11.16
01:44:57        all     89.08      0.00      4.11      1.70      0.00      5.11
01:45:02        all     96.23      0.00      3.47      0.00      0.00      0.30
01:45:07        all     95.60      0.00      3.90      0.10      0.00      0.40
01:45:12        all     95.29      0.00      4.51      0.00      0.00      0.20
01:45:17        all     95.80      0.00      3.90      0.00      0.00      0.30
01:45:22        all     95.30      0.00      4.30      0.00      0.00      0.40
01:45:27        all     94.20      0.00      5.50      0.00      0.00      0.30
01:45:32        all     85.74      0.00      6.22      0.00      0.00      8.03
01:45:37        all      0.40      0.00      0.30      0.00      0.00     99.30
01:45:42        all      6.01      0.00      1.43      0.10      0.00     92.46
01:45:47        all     85.97      0.00      5.81      0.00      0.00      8.22
01:45:52        all     91.99      0.00      7.51      0.00      0.00      0.50
01:45:57        all     93.08      0.00      6.52      0.00      0.00      0.40
01:46:02        all     92.48      0.00      7.02      0.00      0.00      0.50
01:46:07        all     91.90      0.00      7.50      0.00      0.00      0.60
01:46:12        all     92.89      0.00      6.41      0.00      0.00      0.70
01:46:17        all     92.66      0.00      6.93      0.00      0.00      0.40
01:46:22        all     93.59      0.00      6.01      0.00      0.00      0.40
01:46:27        all     94.69      0.00      5.01      0.00      0.00      0.30
01:46:32        all     92.48      0.00      7.22      0.00      0.00      0.30
01:46:37        all     93.50      0.00      6.10      0.00      0.00      0.40
01:46:42        all     92.60      0.00      7.10      0.00      0.00      0.30
01:46:47        all     86.09      0.00      7.71      0.00      0.00      6.21
01:46:52        all      3.81      0.00      0.40      0.00      0.00     95.79
Average:        all     81.42      0.00      5.21      0.11      0.00     13.26

01:44:47    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:44:52       467732   5444020   2296132     28.25     74416   5030052   2907072     35.77   2188312   5028736     75972
01:44:57       345776   5331236   2408692     29.64     74420   5038932   3005604     36.98   2305892   5037512      2516
01:45:02       312784   5298264   2441548     30.04     74420   5038952   3035640     37.35   2342048   5037532      3056
01:45:07       292856   5278580   2461304     30.29     74420   5039196   3047696     37.50   2363568   5037776      5232
01:45:12       291344   5277348   2462532     30.30     74420   5039476   3050532     37.54   2370252   5038016     35232
01:45:17       275320   5261328   2478552     30.50     74420   5039480   3052724     37.56   2388620   5038020     37596
01:45:22       266644   5252668   2487212     30.61     74420   5039496   3053388     37.57   2394572   5038036     38592
01:45:27       276300   5262344   2477608     30.49     74424   5039512   3054552     37.59   2377988   5038056      5000
01:45:32       267396   5253456   2486496     30.60     74424   5039528   3056416     37.61   2386252   5038072      5208
01:45:37       275120   5261188   2478764     30.50     74424   5039536   3056416     37.61   2386240   5038080      5212
01:45:42       182636   5168528   2571424     31.64     74424   5039368   3138256     38.62   2471048   5037912       340
01:45:47       169040   5155424   2584528     31.80     74424   5039860   3157492     38.85   2482196   5038404     19316
01:45:52       172652   5159732   2580220     31.75     74424   5040556   3160276     38.89   2479540   5039100     70640
01:45:57       172148   5159248   2580704     31.76     74428   5040572   3160596     38.89   2480044   5039120     75444
01:46:02       172148   5159260   2580692     31.76     74428   5040584   3160732     38.89   2480572   5039132     24900
01:46:07       165308   5152444   2587508     31.84     74428   5040608   3160864     38.89   2486812   5039156     25372
01:46:12       172512   5159664   2580288     31.75     74428   5040624   3161056     38.90   2478512   5039172     25620
01:46:17       162948   5150120   2589832     31.87     74428   5040644   3164756     38.94   2491688   5039192     22856
01:46:22       173080   5160280   2579672     31.74     74428   5040672   3166344     38.96   2488972   5039220      1340
01:46:27       175932   5163144   2576804     31.71     74432   5040684   3166600     38.97   2484412   5039232      1176
01:46:32       164872   5152112   2587840     31.84     74432   5040708   3167832     38.98   2498116   5039260      2112
01:46:37       164872   5152124   2587828     31.84     74432   5040720   3167960     38.98   2498692   5039272      1104
01:46:42       164872   5152140   2587812     31.84     74432   5040736   3168152     38.98   2498844   5039288      1248
01:46:47       163108   5150404   2589560     31.86     74432   5040764   3168280     38.99   2500720   5039316      2876
01:46:52       163108   5150408   2589556     31.86     74432   5040768   3168280     38.99   2499136   5039192      2792
Average:       224420   5210619   2529324     31.12     74426   5039681   3110301     38.27   2432922   5038232     19630

01:44:47          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
01:44:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:52          sda     35.20      0.00   9011.20      0.00    256.00      0.15      4.40      2.60
01:44:52         sda1     35.20      0.00   9011.20      0.00    256.00      0.15      4.40      2.66
01:44:52        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:52        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:52        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:57          sda     78.40      1.60  17004.00   9327.20    335.88      0.59      7.47      4.82
01:44:57         sda1     78.40      1.60  17004.00   9327.20    335.88      0.59      7.47      4.96
01:44:57        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:57        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:44:57        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:02          sda     53.16      3.95    144.66      0.00      2.80      0.02      0.26      1.17
01:45:02         sda1     53.16      3.95    144.66      0.00      2.80      0.01      0.27      1.17
01:45:02        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:02        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:02        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:07          sda     66.40     41.60    153.60      0.00      2.94      0.02      0.27      1.38
01:45:07         sda1     66.40     41.60    153.60      0.00      2.94      0.02      0.27      1.38
01:45:07        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:07        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:07        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:12          sda     39.40      0.00    832.80      0.00     21.14      0.03      0.86      0.34
01:45:12         sda1     39.40      0.00    832.80      0.00     21.14      0.03      0.86      0.36
01:45:12        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:12        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:12        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:17          sda      0.20      0.00      1.60      0.00      8.00      0.00      1.00      0.00
01:45:17         sda1      0.20      0.00      1.60      0.00      8.00      0.00      0.00      0.00
01:45:17        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:45:17        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
