Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

01:41:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:41:50        all     81.07      0.00      6.65      0.00      0.00     12.29
01:41:55        all     88.72      0.00      4.03      1.71      0.00      5.54
01:42:00        all     95.99      0.00      3.71      0.10      0.00      0.20
01:42:05        all     96.50      0.00      3.30      0.00      0.00      0.20
01:42:10        all     94.39      0.00      5.31      0.00      0.00      0.30
01:42:15        all     94.70      0.00      4.60      0.00      0.00      0.70
01:42:20        all     95.09      0.00      4.61      0.00      0.00      0.30
01:42:25        all     92.80      0.00      6.70      0.00      0.00      0.50
01:42:30        all     15.76      0.00      0.70      0.30      0.00     83.23
01:42:35        all      6.07      0.00      1.32      0.00      0.00     92.61
01:42:40        all     62.30      0.00      3.33      0.00      0.00     34.38
01:42:45        all     91.61      0.00      7.69      0.10      0.00      0.60
01:42:50        all     92.18      0.00      7.41      0.00      0.00      0.40
01:42:55        all     91.98      0.00      7.72      0.00      0.00      0.30
01:43:00        all     90.50      0.00      9.10      0.10      0.00      0.30
01:43:05        all     90.98      0.00      8.72      0.00      0.00      0.30
01:43:10        all     92.60      0.00      7.00      0.00      0.00      0.40
01:43:15        all     93.09      0.00      6.71      0.00      0.00      0.20
01:43:20        all     94.50      0.00      5.10      0.00      0.00      0.40
01:43:25        all     92.28      0.00      7.52      0.00      0.00      0.20
01:43:30        all     93.21      0.00      6.49      0.00      0.00      0.30
01:43:35        all     91.19      0.00      8.51      0.00      0.00      0.30
01:43:40        all     67.17      0.00      5.52      0.00      0.00     27.31
01:43:45        all      2.40      0.00      0.30      0.00      0.00     97.29
Average:        all     79.51      0.00      5.51      0.10      0.00     14.89

01:41:45    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:41:50       231532   5283716   2455668     30.22     77616   5095640   3151076     38.77   2394312   5069708     76016
01:41:55       203108   5194088   2545144     31.32     76396   5036704   3225188     39.69   2501368   5010224       272
01:42:00       168244   5148520   2590784     31.88     76396   5026312   3257696     40.09   2499984   5043340       292
01:42:05       146956   5127412   2611892     32.14     76396   5026492   3277668     40.33   2524196   5043520      5752
01:42:10       151160   5131848   2607456     32.08     76396   5026724   3280048     40.36   2519288   5043752     44344
01:42:15       135032   5115732   2623604     32.28     76396   5026736   3282572     40.39   2529692   5043764     26556
01:42:20       134276   5114992   2624344     32.29     76396   5026752   3283164     40.40   2529264   5043780     28508
01:42:25       126716   5107448   2631888     32.39     76396   5026768   3283936     40.41   2536868   5043796     29200
01:42:30       126716   5107464   2631872     32.39     76396   5026784   3284452     40.42   2537052   5043812      2720
01:42:35       145232   5046144   2693172     33.14     75240   4949816   3313368     40.77   2600464   4965764      2708
01:42:40       142712   5043720   2695592     33.17     75240   4949912   3319272     40.84   2606532   4965860     11552
01:42:45       130408   5031600   2707712     33.32     75240   4950096   3322064     40.88   2614240   4966044     32560
01:42:50       128852   5030192   2709088     33.34     75240   4950244   3324124     40.90   2618960   4966192     44096
01:42:55       124840   5026536   2712772     33.38     75248   4950592   3325480     40.92   2623184   4966548     51448
01:43:00       123308   5025220   2714088     33.40     75248   4950808   3334644     41.03   2624664   4966764     62512
01:43:05       122552   5024680   2714628     33.40     75248   4951024   3334836     41.04   2626304   4966980     71456
01:43:10       118268   5020476   2718864     33.46     75248   4951104   3335096     41.04   2627172   4967060     69264
01:43:15       210076   5035784   2703612     33.27     74144   4877492   3335416     41.04   2625084   4896944     11528
01:43:20       208564   5034288   2705108     33.29     74144   4877508   3335740     41.05   2627432   4896960      6024
01:43:25       205540   5031288   2708108     33.32     74148   4877528   3336132     41.05   2629312   4896984      2328
01:43:30       205036   5030800   2708596     33.33     74148   4877544   3336264     41.05   2630572   4897000      2840
01:43:35       202284   5028060   2711336     33.36     74148   4877556   3336456     41.06   2632332   4897012      2984
01:43:40       200752   5026556   2712840     33.38     74148   4877584   3336584     41.06   2633452   4897040      4068
01:43:45       200752   5026588   2712808     33.38     74148   4877616   3337392     41.07   2633776   4895136      3508
Average:       162205   5074715   2664624     32.79     75407   4961056   3303694     40.65   2580229   4974749     24689

01:41:45          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
01:41:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:50          sda      0.40      1.60      0.80      0.00      6.00      0.00      1.00      0.02
01:41:50         sda1      0.40      1.60      0.80      0.00      6.00      0.00      1.00      0.02
01:41:50        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:50        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:50        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:55          sda     87.00      0.00  17021.60     28.80    195.98      0.56      6.48      4.64
01:41:55         sda1     87.00      0.00  17021.60     28.80    195.98      0.56      6.48      4.74
01:41:55        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:55        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:41:55        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:00          sda     78.00     24.00    197.60      0.00      2.84      0.03      0.31      1.96
01:42:00         sda1     78.00     24.00    197.60      0.00      2.84      0.02      0.31      1.96
01:42:00        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:00        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:00        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:05          sda     32.20     21.60     75.20      0.00      3.01      0.01      0.30      0.66
01:42:05         sda1     32.20     21.60     75.20      0.00      3.01      0.01      0.30      0.66
01:42:05        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:05        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:05        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:10          sda      5.40      0.00     28.00      0.00      5.19      0.00      0.81      0.02
01:42:10         sda1      5.40      0.00     28.00      0.00      5.19      0.00      0.85      0.02
01:42:10        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:10        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:10        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:42:15          sda     46.00      0.00    940.80      0.00     20.45      0.04      0.92      0.34
01:42:15         sda1     46.00      0.00    940.80      0.00     20.45      0.04      0.92      0.34
