Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

01:48:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:48:09        all      0.30      0.00      0.20      0.00      0.00     99.50
01:48:14        all     32.80      0.00      1.00      0.10      0.00     66.10
01:48:19        all     47.39      0.00      0.90      0.00      0.00     51.71
01:48:24        all     50.55      0.00      1.20      0.00      0.00     48.24
01:48:29        all     35.37      0.00      1.30      0.00      0.00     63.33
01:48:34        all      0.30      0.00      0.00      0.00      0.00     99.70
01:48:39        all      2.00      0.00      0.30      0.00      0.00     97.70
01:48:44        all     50.90      0.00      1.51      0.00      0.00     47.59
01:48:49        all     22.52      0.00      1.00      0.20      0.00     76.28
01:48:54        all     36.69      0.00      2.52      0.00      0.00     60.79
01:48:59        all     17.52      0.00      1.41      0.00      0.00     81.07
01:49:04        all     28.08      0.00      1.40      0.00      0.00     70.51
01:49:09        all      0.20      0.00      0.00      0.00      0.00     99.80
Average:        all     24.96      0.00      0.98      0.02      0.00     74.04

01:48:04    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:48:09       646192   5633724   2106204     25.92     74680   5040620   2581164     31.76   1998400   5035976      3292
01:48:14       620392   5607936   2131996     26.23     74680   5040628   2601748     32.01   2034288   5035988      3300
01:48:19       588640   5576192   2163708     26.62     74680   5040636   2619996     32.24   2068996   5035996      3300
01:48:24       572764   5560320   2179612     26.82     74680   5040640   2633340     32.40   2081192   5036000      3076
01:48:29       572656   5560220   2179680     26.82     74680   5040648   2637524     32.45   2085668   5036008        48
01:48:34       572656   5560220   2179668     26.82     74688   5040652   2637524     32.45   2085780   5036008       132
01:48:39       572656   5560240   2179660     26.82     74688   5040660   2637524     32.45   2085804   5036028        92
01:48:44       561944   5549532   2190372     26.95     74688   5040664   2643032     32.52   2091720   5036032      1460
01:48:49       551200   5538796   2201108     27.08     74688   5040672   2654056     32.66   2102680   5036040      2564
01:48:54       550852   5538512   2201392     27.09     74688   5040736   2655600     32.68   2104664   5036104     19524
01:48:59       546408   5534072   2205832     27.14     74688   5040740   2656692     32.69   2103776   5036108     19528
01:49:04       550764   5538452   2201452     27.09     74688   5040764   2659076     32.72   2109892   5036132     20024
01:49:09       550764   5538452   2201448     27.09     74688   5040768   2659076     32.72   2109956   5036132     19976
Average:       573684   5561282   2178626     26.81     74685   5040679   2636642     32.44   2081755   5036042      7409

01:48:04          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
01:48:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:09          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:09         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:09        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:09        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:09        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:14          sda      6.00      0.00     15.20      0.00      2.53      0.00      0.30      0.18
01:48:14         sda1      6.00      0.00     15.20      0.00      2.53      0.00      0.30      0.18
01:48:14        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:14        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:14        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:19          sda      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.10
01:48:19         sda1      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.10
01:48:19        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:19        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:19        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:48:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
