Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

01:50:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:50:29        all      0.20      0.00      0.20      0.00      0.00     99.60
01:50:34        all     86.77      0.00      2.10      0.00      0.00     11.12
01:50:39        all     53.11      0.00      1.61      0.00      0.00     45.28
01:50:44        all      0.40      0.00      0.10      0.00      0.00     99.50
01:50:49        all     22.55      0.00      0.80      0.00      0.00     76.65
01:50:54        all     90.27      0.00      2.61      0.00      0.00      7.12
01:50:59        all     77.45      0.00      4.41      0.00      0.00     18.14
01:51:04        all      3.02      0.00      0.30      0.10      0.00     96.58
Average:        all     41.73      0.00      1.52      0.01      0.00     56.74

01:50:24    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:50:29       577248   5572500   2167400     26.67     75132   5048108   2639644     32.48   2024916   5040676      3400
01:50:34       557684   5552952   2186888     26.91     75132   5048116   2670152     32.86   2084516   5040692      3408
01:50:39       554844   5550120   2189720     26.94     75132   5048124   2676780     32.94   2091296   5040700      3416
01:50:44       554844   5550120   2189716     26.94     75132   5048128   2676780     32.94   2091328   5040700      3236
01:50:49       552644   5547932   2191908     26.97     75132   5048136   2679680     32.97   2085928   5040712      3244
01:50:54       550984   5546296   2193544     26.99     75136   5048156   2685724     33.05   2094128   5040740      3640
01:50:59       534572   5530044   2209796     27.19     75136   5048316   2689524     33.09   2107876   5040900     26952
01:51:04       540180   5535656   2204184     27.12     75136   5048320   2689524     33.09   2107964   5040904     15248
Average:       552875   5548202   2191644     26.97     75134   5048176   2675976     32.93   2085994   5040753      7818

01:50:24          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
01:50:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:29          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:29         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:29        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:29        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:29        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:34          sda     13.20      0.00     36.00      0.00      2.73      0.00      0.29      0.26
01:50:34         sda1     13.20      0.00     36.00      0.00      2.73      0.00      0.29      0.26
01:50:34        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:34        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:34        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:50:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
