Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/05/26 	_x86_64_	(4 CPU)

00:35:29        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:35:34        all     31.27      0.00      2.44      0.92      0.00     65.38
00:35:39        all     78.98      0.00      2.47      0.05      0.00     18.50
00:35:44        all     94.53      0.00      4.52      0.00      0.00      0.95
00:35:49        all     93.09      0.00      6.01      0.00      0.00      0.90
00:35:54        all     91.18      0.00      7.82      0.00      0.00      1.00
00:35:59        all     10.27      0.00      1.00      0.20      0.00     88.53
00:36:04        all      4.06      0.00      0.96      0.05      0.00     94.92
00:36:09        all     52.38      0.00      4.55      0.20      0.00     42.87
00:36:14        all     89.77      0.00      8.97      0.05      0.00      1.20
00:36:19        all     89.72      0.00      9.32      0.05      0.00      0.90
00:36:24        all     89.66      0.00      8.98      0.00      0.00      1.35
00:36:29        all     91.52      0.00      7.77      0.00      0.00      0.70
00:36:34        all     90.34      0.00      8.91      0.05      0.00      0.70
00:36:39        all     90.53      0.00      8.82      0.00      0.00      0.65
00:36:44        all     27.97      0.00      2.56      0.00      0.00     69.47
Average:        all     68.44      0.00      5.68      0.10      0.00     25.77

00:35:29    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
00:35:34      3982396  12732276   3199304     19.54     92076   8716472   3817244     23.32   3119768   8569756       332
00:35:39      3894700  12644608   3286644     20.08     92076   8716480   3949764     24.13   3249104   8569768       188
00:35:44      3877104  12627360   3303888     20.18     92076   8716824   4008256     24.48   3297580   8570112     28320
00:35:49      3877368  12627824   3303440     20.18     92076   8717024   4016484     24.53   3299260   8570312     47180
00:35:54      3877264  12627744   3303520     20.18     92076   8717048   4018488     24.55   3317688   8570336     47972
00:35:59      3878200  12628688   3302640     20.17     92076   8717056   4018748     24.55   3317556   8570344     28876
00:36:04      3780440  12530712   3400560     20.77     92080   8716888   4022368     24.57   3410320   8570176     28620
00:36:09      3772604  12522984   3408296     20.82     92080   8716992   4025980     24.59   3420908   8570284     14748
00:36:14      3776164  12526756   3404524     20.80     92080   8717204   4028284     24.61   3424784   8570496     34548
00:36:19      3757728  12508480   3422796     20.91     92080   8717364   4038776     24.67   3442620   8570656     46164
00:36:24      3748924  12500036   3431240     20.96     92080   8717724   4041520     24.69   3452236   8571016     59012
00:36:29      3754536  12505876   3425400     20.92     92080   8717952   4042164     24.69   3451164   8571244     68868
00:36:34      3728580  12480164   3451108     21.08     92084   8718196   4043132     24.70   3471008   8571488     76700
00:36:39      3717268  12468908   3462376     21.15     92084   8718248   4043516     24.70   3471108   8571544      5740
00:36:44      3734556  12486212   3445072     21.04     92084   8718264   4043904     24.70   3457928   8571560       968
Average:      3810522  12561242   3370054     20.59     92079   8717316   4010575     24.50   3373535   8570606     32549

00:35:29          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
00:35:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:34          sda     59.40      0.00  13370.40     23.20    225.48      0.45      7.52      3.70
00:35:34         sda1     59.40      0.00  13370.40     23.20    225.48      0.45      7.52      3.84
00:35:34        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:34        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:34        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:39          sda     34.40      0.00    123.20      0.00      3.58      0.01      0.40      1.16
00:35:39         sda1     34.40      0.00    123.20      0.00      3.58      0.01      0.40      1.16
00:35:39        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:39        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:39        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:44          sda     68.80     30.40    166.40      0.00      2.86      0.03      0.39      2.30
00:35:44         sda1     68.80     30.40    166.40      0.00      2.86      0.03      0.39      2.30
00:35:44        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:44        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:44        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:49          sda     21.40     15.20     50.40      0.00      3.07      0.01      0.40      0.82
00:35:49         sda1     21.40     15.20     50.40      0.00      3.07      0.01      0.40      0.82
00:35:49        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:35:49        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
