Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/05/26 	_x86_64_	(4 CPU)

00:39:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:39:51        all      0.15      0.00      0.20      0.00      0.00     99.65
00:39:56        all     15.60      0.00      0.45      0.00      0.00     83.95
00:40:01        all     32.51      0.00      1.00      0.05      0.00     66.43
00:40:06        all     33.84      0.00      0.85      0.05      0.00     65.26
00:40:11        all     11.97      0.00      0.55      0.00      0.00     87.48
00:40:16        all      0.10      0.00      0.05      0.05      0.00     99.80
00:40:21        all      2.26      0.00      0.20      0.05      0.00     97.49
00:40:26        all     29.99      0.00      0.90      0.05      0.00     69.06
00:40:31        all     13.53      0.00      0.50      0.00      0.00     85.96
00:40:36        all     17.14      0.00      1.40      0.00      0.00     81.45
00:40:41        all      9.52      0.00      0.65      0.15      0.00     89.67
00:40:46        all      9.39      0.00      0.70      0.00      0.00     89.91
00:40:51        all      0.15      0.00      0.05      0.00      0.00     99.80
Average:        all     13.54      0.00      0.58      0.03      0.00     85.85

00:39:46    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
00:39:51      4366928  13118428   2812516     17.18     92644   8717348   3278044     20.02   2787884   8571064      3168
00:39:56      4341784  13093296   2837652     17.33     92644   8717356   3298604     20.15   2820696   8571076      3176
00:40:01      4319408  13070928   2860028     17.47     92644   8717364   3329476     20.34   2869456   8571084      3204
00:40:06      4295036  13046560   2884364     17.62     92644   8717368   3341672     20.41   2901244   8571088      3208
00:40:11      4318708  13070240   2860684     17.47     92644   8717376   3344380     20.43   2888332   8571096      3216
00:40:16      4318708  13070244   2860668     17.47     92652   8717384   3344380     20.43   2888332   8571100      3248
00:40:21      4310516  13062072   2868852     17.52     92652   8717392   3344572     20.43   2902936   8571120       108
00:40:26      4270516  13022080   2908844     17.77     92652   8717400   3351072     20.47   2938532   8571128      1968
00:40:31      4270516  13022088   2908836     17.77     92652   8717408   3353000     20.48   2939500   8571136      3452
00:40:36      4255148  13006776   2924148     17.86     92652   8717464   3353708     20.49   2955756   8571192     20908
00:40:41      4239300  12990936   2939988     17.96     92652   8717472   3359940     20.52   2970348   8571200     20916
00:40:46      4222040  12973700   2957256     18.06     92652   8717496   3361488     20.53   2985536   8571224     21556
00:40:51      4235404  12987064   2943880     17.98     92656   8717504   3361488     20.53   2974908   8571224     21600
Average:      4289539  13041109   2889824     17.65     92649   8717410   3340140     20.40   2909497   8571133      8441

00:39:46          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
00:39:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:51          sda      0.40      0.00     30.40      0.00     76.00      0.00      1.00      0.04
00:39:51         sda1      0.40      0.00     30.40      0.00     76.00      0.00      1.00      0.04
00:39:51        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:51        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:51        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:56          sda      6.00      0.00     15.20      0.00      2.53      0.00      0.37      0.26
00:39:56         sda1      6.00      0.00     15.20      0.00      2.53      0.00      0.37      0.26
00:39:56        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:56        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:39:56        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:01          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.12
00:40:01         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.50      0.12
00:40:01        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:01        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:01        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:40:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
