Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

12:44:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:44:22        all     12.21      0.00      1.29      0.38      0.00     86.12
12:44:27        all     82.84      0.00      2.52      0.00      0.00     14.65
12:44:32        all     91.85      0.00      5.95      0.05      0.00      2.16
12:44:37        all     41.79      0.00      5.19      0.00      0.00     53.02
12:44:42        all      1.51      0.00      0.38      0.00      0.00     98.12
12:44:47        all     26.33      0.00      2.85      0.13      0.00     70.69
12:44:52        all     85.29      0.00     11.47      0.15      0.00      3.09
12:44:57        all     85.55      0.00     12.06      0.00      0.00      2.39
12:45:02        all     85.32      0.00     12.39      0.00      0.00      2.28
12:45:07        all     12.25      0.00      1.65      0.00      0.00     86.10
Average:        all     52.52      0.00      5.58      0.07      0.00     41.83

12:44:17    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
12:44:22     20599956  29211560   3059632      9.31     79040   8717544   4036144     12.28   2903096   8557768      2860
12:44:27     20352296  28963924   3306708     10.06     79040   8717568   4349660     13.24   3184000   8557792      8092
12:44:32     20334124  28946288   3324348     10.12     79040   8718104   4371976     13.30   3232696   8558328     50516
12:44:37     20082880  28695072   3575568     10.88     79040   8718132   4619404     14.06   3479452   8558356     51376
12:44:42     19992808  28604832   3665708     11.16     79040   8717968   4623636     14.07   3588668   8558192     51340
12:44:47     19970560  28582820   3687720     11.22     79040   8718204   4632844     14.10   3620512   8558428     45124
12:44:52     19963476  28576740   3693796     11.24     79048   8719204   4646968     14.14   3631856   8559432    100232
12:44:57     19953304  28566640   3703868     11.27     79048   8719272   4647096     14.14   3640912   8559504     24648
12:45:02     19884760  28498144   3772256     11.48     79048   8719324   4647876     14.14   3685880   8559556     28332
12:45:07     19900136  28513532   3756868     11.43     79048   8719336   4648052     14.14   3687704   8559568     28344
Average:     20103430  28715955   3554647     10.82     79043   8718466   4522366     13.76   3465478   8558692     39086

12:44:17          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
12:44:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:22          sda     54.40      0.00  12774.40   7562.40    373.84      0.35      6.35      2.88
12:44:22         sda1     54.40      0.00  12774.40   7562.40    373.84      0.35      6.35      3.06
12:44:22        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:22        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:22        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:27          sda     36.20      0.00    576.00      0.00     15.91      0.02      0.52      1.16
12:44:27         sda1     36.20      0.00    576.00      0.00     15.91      0.02      0.52      1.16
12:44:27        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:27        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:27        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:44:32          sda     93.00     45.60    255.20      0.00      3.23      0.04      0.37      2.96
12:44:32         sda1     93.00     45.60    255.20      0.00      3.23      0.03      0.36      2.98
12:44:32        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
