Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

12:42:29        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:42:34        all     16.88      0.00      1.42      0.38      0.00     81.33
12:42:39        all     73.53      0.00      2.72      0.05      0.00     23.70
12:42:44        all     91.42      0.00      5.71      0.03      0.00      2.84
12:42:49        all     47.05      0.00      5.59      0.03      0.00     47.33
12:42:54        all      1.50      0.00      0.35      0.00      0.00     98.15
12:42:59        all      6.18      0.00      1.01      0.13      0.00     92.68
12:43:04        all     43.21      0.00      4.98      0.20      0.00     51.61
12:43:09        all     31.54      0.00      3.63      0.25      0.00     64.58
12:43:14        all     38.56      0.00      5.10      0.18      0.00     56.16
12:43:19        all     39.15      0.00      4.68      0.28      0.00     55.90
12:43:24        all     41.49      0.00      4.79      0.18      0.00     53.54
12:43:29        all     33.60      0.00      3.76      0.13      0.00     62.51
12:43:34        all      0.20      0.00      0.08      0.03      0.00     99.70
Average:        all     35.71      0.00      3.37      0.14      0.00     60.78

12:42:29    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
12:42:34     20600692  29211256   3060432      9.31     78732   8717032   4040096     12.29   2875220   8557076      2912
12:42:39     20397408  29007980   3263116      9.93     78732   8717040   4344624     13.22   3162952   8557084      4568
12:42:44     20372560  28983556   3287536     10.00     78732   8717464   4366112     13.29   3201776   8557508     44820
12:42:49     20151316  28762476   3508616     10.68     78732   8717628   4621464     14.06   3444312   8557672     51320
12:42:54     20038608  28649604   3621388     11.02     78732   8717464   4625792     14.08   3548008   8557508     51276
12:42:59     20005092  28616128   3654960     11.12     78732   8717504   4634524     14.10   3587548   8557548     34884
12:43:04     20002328  28613580   3657476     11.13     78732   8717716   4637876     14.11   3583204   8557760     54888
12:43:09     20000316  28611728   3659344     11.14     78732   8717876   4639164     14.12   3593604   8557920     22156
12:43:14     20003936  28615536   3655536     11.12     78732   8718064   4640060     14.12   3602732   8558108     39228
12:43:19     19984228  28596256   3674816     11.18     78732   8718492   4640772     14.12   3618596   8558536     56872
12:43:24     19977856  28590140   3680932     11.20     78732   8718748   4642576     14.13   3625480   8558792     68356
12:43:29     19935832  28548228   3722844     11.33     78732   8718860   4643224     14.13   3651924   8558904     73948
12:43:34     19948552  28560964   3710108     11.29     78736   8718872   4643208     14.13   3651368   8558920     49500
Average:     20109133  28720572   3550546     10.80     78732   8717905   4547653     13.84   3472825   8557949     42671

12:42:29          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
12:42:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:34          sda     54.60      0.00  12775.20    527.20    243.63      0.34      6.27      2.96
12:42:34         sda1     54.60      0.00  12775.20    527.20    243.63      0.34      6.27      3.06
12:42:34        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:34        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:34        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:39          sda     43.80      0.00    610.40      0.00     13.94      0.03      0.55      1.44
12:42:39         sda1     43.80      0.00    610.40      0.00     13.94      0.02      0.55      1.44
12:42:39        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:39        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:39        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:44          sda     65.00     31.20    182.40      0.00      3.29      0.02      0.33      1.64
12:42:44         sda1     65.00     31.20    182.40      0.00      3.29      0.02      0.33      1.64
12:42:44        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:44        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:44        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:49          sda     20.80     14.40     48.80      0.00      3.04      0.01      0.34      0.68
12:42:49         sda1     20.80     14.40     48.80      0.00      3.04      0.01      0.35      0.68
12:42:49        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:49        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:49        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:54          sda      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.04
12:42:54         sda1      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.04
12:42:54        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:54        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:54        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:42:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
