Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

12:47:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:48:03        all      0.07      0.00      0.07      0.00      0.00     99.85
12:48:08        all     43.98      0.00      1.08      0.03      0.00     54.92
12:48:13        all      0.05      0.00      0.00      0.00      0.00     99.95
12:48:18        all      2.82      0.00      0.17      0.00      0.00     97.00
12:48:23        all     47.07      0.00      2.31      0.15      0.00     50.48
12:48:28        all      0.12      0.00      0.03      0.00      0.00     99.85
Average:        all     15.66      0.00      0.61      0.03      0.00     83.70

12:47:58    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
12:48:03     20744960  29358792   2911800      8.86     79672   8718676   3388728     10.31   2775224   8559120      3080
12:48:08     20686404  29300244   2970156      9.04     79672   8718684   3489756     10.62   2884652   8559128      3084
12:48:13     20725424  29339264   2931124      8.92     79672   8718696   3489756     10.62   2857188   8559128      3096
12:48:18     20718012  29331876   2938524      8.94     79672   8718708   3492136     10.63   2869160   8559152      3108
12:48:23     20638904  29252872   3017460      9.18     79680   8718812   3532584     10.75   2938024   8559256     25140
12:48:28     20649196  29263164   3007156      9.15     79680   8718824   3532904     10.75   2932256   8559256     25152
Average:     20693817  29307702   2962703      9.02     79675   8718733   3487644     10.61   2876084   8559173     10443

12:47:58          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
12:48:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:03          sda      0.40      0.00     29.60      0.00     74.00      0.00      1.00      0.02
12:48:03         sda1      0.40      0.00     29.60      0.00     74.00      0.00      1.00      0.02
12:48:03        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:03        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:03        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:08          sda     15.60      0.00     42.40      0.00      2.72      0.01      0.36      0.60
12:48:08         sda1     15.60      0.00     42.40      0.00      2.72      0.01      0.36      0.60
12:48:08        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:08        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:48:08        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
