Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

13:59:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:59:32        all      0.01      0.00      0.01      0.01      0.00     99.96
13:59:37        all     27.06      0.00      1.34      0.03      0.00     71.58
13:59:42        all      0.04      0.00      0.04      0.00      0.00     99.92
13:59:47        all     10.99      0.00      0.55      0.00      0.00     88.45
13:59:52        all     10.54      0.00      1.04      0.04      0.00     88.38
13:59:57        all      0.24      0.00      0.10      0.00      0.00     99.66
Average:        all      8.12      0.00      0.51      0.01      0.00     91.36

13:59:27    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:59:32     51551076  59798656   4055160      6.25     75076   8724684   4691516      7.24   3908056   8560308       368
13:59:37     51405100  59652716   4200896      6.48     75076   8724700   4813596      7.42   4083788   8560344       232
13:59:42     51407808  59655440   4198172      6.47     75076   8724716   4813660      7.42   4083844   8560360      2232
13:59:47     51387164  59634812   4218548      6.51     75076   8724732   4900216      7.56   4127708   8560376      5380
13:59:52     51380220  59627944   4225368      6.52     75076   8724808   4907668      7.57   4140204   8560452     14940
13:59:57     51363700  59611456   4241800      6.54     75084   8724832   5024184      7.75   4165524   8560476     12712
Average:     51415845  59663504   4189991      6.46     75077   8724745   4858473      7.49   4084854   8560386      5977

13:59:27          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:59:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:32      nvme0n1      7.80      0.00    578.40      0.00     74.15      0.01      1.38      0.16
13:59:32    nvme0n1p1      7.80      0.00    578.40      0.00     74.15      0.01      1.38      0.16
13:59:32    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:32    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:32    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:37      nvme0n1     16.00      0.00     72.80      0.00      4.55      0.01      0.34      0.64
13:59:37    nvme0n1p1     16.00      0.00     72.80      0.00      4.55      0.01      0.34      0.64
13:59:37    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:37    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:37    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:42    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:47      nvme0n1      3.80      0.00     11.20      0.00      2.95      0.00      0.42      0.10
13:59:47    nvme0n1p1      3.80      0.00     11.20      0.00      2.95      0.00      0.42      0.10
13:59:47    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:47    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:47    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:52      nvme0n1     57.60      0.00    548.00      0.00      9.51      0.09      1.54      0.90
13:59:52    nvme0n1p1     57.60      0.00    548.00      0.00      9.51      0.09      1.54      0.92
13:59:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:57      nvme0n1      1.40      0.00     38.40      0.00     27.43      0.00      0.86      0.04
13:59:57    nvme0n1p1      1.40      0.00     38.40      0.00     27.43      0.00      0.86      0.04
13:59:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:59:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      nvme0n1     14.43      0.00    208.13      0.00     14.42      0.02      1.24      0.31
Average:    nvme0n1p1     14.43      0.00    208.13      0.00     14.42      0.02      1.24      0.31
Average:    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
