Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

13:56:12        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:56:17        all      0.04      0.00      0.01      0.01      0.00     99.94
13:56:22        all      3.77      0.00      0.31      0.01      0.00     95.90
13:56:27        all      7.70      0.00      0.55      0.00      0.00     91.75
13:56:32        all      8.14      0.00      0.44      0.03      0.00     91.40
13:56:37        all      2.64      0.00      0.20      0.01      0.00     97.15
13:56:42        all      0.03      0.00      0.01      0.00      0.00     99.96
13:56:47        all      0.49      0.00      0.06      0.00      0.00     99.45
13:56:52        all      5.16      0.00      0.29      0.01      0.00     94.54
13:56:57        all      2.60      0.00      0.20      0.01      0.00     97.18
13:57:02        all      3.78      0.00      0.31      0.01      0.00     95.89
13:57:07        all      2.53      0.00      0.18      0.03      0.00     97.27
13:57:12        all      2.12      0.00      0.15      0.01      0.00     97.72
13:57:17        all      0.01      0.00      0.04      0.01      0.00     99.94
Average:        all      3.00      0.00      0.21      0.01      0.00     96.78

13:56:12    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:56:17     51462120  59707560   4147404      6.40     74476   8723420   4754504      7.33   3998252   8558972       368
13:56:22     51440044  59685532   4169464      6.43     74476   8723436   4780432      7.37   4047492   8559020       224
13:56:27     51394064  59639568   4215492      6.50     74476   8723452   4800104      7.40   4110232   8559036       240
13:56:32     51383252  59628772   4226256      6.52     74476   8723468   4809672      7.42   4128036   8559052       256
13:56:37     51400856  59646396   4208632      6.49     74476   8723488   4812632      7.42   4127836   8559072        96
13:56:42     51411136  59656676   4198328      6.47     74484   8723504   4812632      7.42   4127904   8559072       220
13:56:47     51403292  59648832   4206156      6.49     74484   8723520   4812696      7.42   4135732   8559072       116
13:56:52     51377324  59622920   4232172      6.53     74484   8723536   4819904      7.43   4159056   8559128      2048
13:56:57     51363948  59609560   4245460      6.55     74484   8723624   4821964      7.44   4167828   8559144      3224
13:57:02     51348988  59594736   4260384      6.57     74484   8723696   4822480      7.44   4190216   8559208     20888
13:57:07     51351064  59596836   4258292      6.57     74484   8723712   4826600      7.44   4191184   8559232     20904
13:57:12     51351932  59597736   4257392      6.57     74484   8723744   4828212      7.45   4197392   8559264     21828
13:57:17     51351932  59597736   4257372      6.57     74488   8723760   4828212      7.45   4197516   8559264     21880
Average:     51387689  59633297   4221754      6.51     74481   8723566   4810003      7.42   4136821   8559118      7099

13:56:12          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:56:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:17      nvme0n1      7.20      0.00    576.80      0.00     80.11      0.01      1.33      0.14
13:56:17    nvme0n1p1      7.20      0.00    576.80      0.00     80.11      0.01      1.33      0.14
13:56:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:22      nvme0n1      6.60      0.00     47.20      0.00      7.15      0.00      0.36      0.24
13:56:22    nvme0n1p1      6.60      0.00     47.20      0.00      7.15      0.00      0.36      0.24
13:56:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:27      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
13:56:27    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
13:56:27    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:27    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:27    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:32      nvme0n1      4.80      0.00     14.40      0.00      3.00      0.00      0.33      0.18
13:56:32    nvme0n1p1      4.80      0.00     14.40      0.00      3.00      0.00      0.38      0.18
13:56:32    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:32    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:32    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:37      nvme0n1      6.20      0.00     26.40      0.00      4.26      0.00      0.74      0.12
13:56:37    nvme0n1p1      6.20      0.00     26.40      0.00      4.26      0.00      0.71      0.12
13:56:37    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:37    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:37    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:42      nvme0n1      0.80      0.00     26.40      0.00     33.00      0.00      0.75      0.06
13:56:42    nvme0n1p1      0.80      0.00     26.40      0.00     33.00      0.00      0.75      0.06
13:56:42    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:42    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:42    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:47      nvme0n1      2.20      0.00     29.60      0.00     13.45      0.00      0.55      0.12
13:56:47    nvme0n1p1      2.20      0.00     29.60      0.00     13.45      0.00      0.55      0.12
13:56:47    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:47    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:47    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:52      nvme0n1      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.12
13:56:52    nvme0n1p1      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.12
13:56:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:57      nvme0n1      3.80     14.40      8.80      0.00      6.11      0.00      0.42      0.16
13:56:57    nvme0n1p1      3.80     14.40      8.80      0.00      6.11      0.00      0.42      0.16
13:56:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:56:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:02      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
13:57:02    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
13:57:02    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:02    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:02    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:07      nvme0n1     12.40      0.00     36.80      0.00      2.97      0.01      0.35      0.42
13:57:07    nvme0n1p1     12.40      0.00     36.80      0.00      2.97      0.00      0.35      0.42
13:57:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:12      nvme0n1      7.40      0.00     28.80      0.00      3.89      0.00      0.65      0.20
13:57:12    nvme0n1p1      7.40      0.00     28.80      0.00      3.89      0.00      0.65      0.20
13:57:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:17      nvme0n1      0.40      0.00      8.80      0.00     22.00      0.00      1.00      0.02
13:57:17    nvme0n1p1      0.40      0.00      8.80      0.00     22.00      0.00      1.00      0.02
13:57:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:57:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      nvme0n1      4.57      1.11     63.45      0.00     14.13      0.00      0.58      0.15
Average:    nvme0n1p1      4.57      1.11     63.45      0.00     14.13      0.00      0.58      0.15
Average:    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
