Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

13:58:08        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:58:13        all      0.04      0.00      0.05      0.01      0.00     99.90
13:58:18        all     25.96      0.00      1.30      0.08      0.00     72.67
13:58:23        all      0.03      0.00      0.01      0.00      0.00     99.96
13:58:28        all      5.05      0.00      0.29      0.00      0.00     94.67
13:58:33        all     19.83      0.00      1.46      0.03      0.00     78.69
13:58:38        all      0.03      0.00      0.03      0.00      0.00     99.95
Average:        all      8.45      0.00      0.52      0.02      0.00     91.01

13:58:08    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:58:13     51609224  59855816   3998292      6.17     74752   8724140   4673784      7.21   3893480   8559696       360
13:58:18     51504272  59750900   4103044      6.33     74752   8724156   4792524      7.39   4008920   8559732       224
13:58:23     51515168  59761796   4092228      6.31     74752   8724172   4792524      7.39   4008912   8559732       240
13:58:28     51502116  59748776   4105264      6.33     74752   8724188   4797028      7.40   4035380   8559764       256
13:58:33     51487580  59734372   4119604      6.35     74752   8724320   4825988      7.44   4060584   8559896     12300
13:58:38     51497348  59744156   4109812      6.34     74760   8724336   4851472      7.48   4053928   8559912     12420
Average:     51519285  59765969   4088041      6.30     74753   8724219   4788887      7.39   4010201   8559789      4300

13:58:08          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:58:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:13      nvme0n1      8.00      0.00    584.80      0.00     73.10      0.01      1.43      0.14
13:58:13    nvme0n1p1      8.00      0.00    584.80      0.00     73.10      0.01      1.45      0.16
13:58:13    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:13    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:13    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:18      nvme0n1     16.00      0.00     72.80      0.00      4.55      0.01      0.36      0.60
13:58:18    nvme0n1p1     16.00      0.00     72.80      0.00      4.55      0.01      0.36      0.60
13:58:18    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:18    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:18    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:23    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:28        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:28        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:28      nvme0n1      4.40      0.00     12.00      0.00      2.73      0.00      0.41      0.22
13:58:28    nvme0n1p1      4.40      0.00     12.00      0.00      2.73      0.00      0.36      0.22
13:58:28    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:28    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:28    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:33        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:58:33      nvme0n1     55.80      0.00    548.80      0.00      9.84      0.11      1.90      0.92
13:58:33    nvme0n1p1     55.80      0.00    548.80      0.00      9.84      0.11      1.90      0.94
