Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

13:52:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:53:04        all      1.69      0.00      0.85      0.00      0.00     97.46
13:53:09        all     52.82      0.00      3.93      0.10      0.00     43.15
13:53:14        all     26.81      0.00      3.35      0.10      0.00     69.73
13:53:19        all      4.70      0.00      0.73      0.04      0.00     94.54
13:53:24        all      0.47      0.00      0.42      0.00      0.00     99.12
13:53:29        all      7.39      0.00      1.45      0.06      0.00     91.10
13:53:34        all     14.55      0.00      2.45      0.11      0.00     82.88
13:53:39        all     16.11      0.00      2.69      0.09      0.00     81.11
13:53:44        all     13.91      0.00      2.32      0.11      0.00     83.65
13:53:49        all     14.77      0.00      2.48      0.10      0.00     82.65
13:53:54        all     17.66      0.00      3.08      0.11      0.00     79.15
13:53:59        all      5.60      0.00      0.92      0.06      0.00     93.42
Average:        all     14.64      0.00      2.05      0.08      0.00     83.24

13:52:59    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:53:04     51220680  59464240   4392252      6.77     73844   8722324   6082900      9.38   4216084   8557540       360
13:53:09     50848980  59092716   4763168      7.35     73844   8722500   6458432      9.96   4599036   8557716     20620
13:53:14     50872596  59116620   4739232      7.31     73844   8722788   6465692      9.97   4616956   8558004     43980
13:53:19     50902940  59147096   4708756      7.26     73844   8722920   6466528      9.97   4600248   8558136     48716
13:53:24     50806632  59050628   4805160      7.41     73844   8722764   6471988      9.98   4722548   8557976     48692
13:53:29     50803168  59047268   4808540      7.42     73844   8722864   6473536      9.98   4742160   8558080     43616
13:53:34     50778828  59023128   4832696      7.45     73848   8723076   6491648     10.01   4762052   8558296     57532
13:53:39     50770828  59015324   4840380      7.46     73848   8723272   6502864     10.03   4775676   8558492     26448
13:53:44     50758236  59003100   4852552      7.48     73848   8723640   6507340     10.04   4788808   8558860     44312
13:53:49     50773296  59018428   4837140      7.46     73848   8723908   6506612     10.03   4773924   8559128     61232
13:53:54     50773648  59019052   4836516      7.46     73848   8724180   6510104     10.04   4776760   8559400     73488
13:53:59     50758276  59003752   4851872      7.48     73848   8724252   6508608     10.04   4782080   8559472     68124
Average:     50839009  59083446   4772355      7.36     73846   8723207   6453854      9.95   4679694   8558425     44760

13:52:59          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:53:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:04      nvme0n1      3.20      0.00      6.40    194.40     62.75      0.00      0.19      0.04
13:53:04    nvme0n1p1      3.20      0.00      6.40    194.40     62.75      0.00      0.19      0.04
13:53:04    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:04    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:04    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:09      nvme0n1     45.20      0.00    127.20      0.00      2.81      0.02      0.32      1.38
13:53:09    nvme0n1p1     45.20      0.00    127.20      0.00      2.81      0.01      0.32      1.38
13:53:09    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:09    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:09    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:14      nvme0n1     60.80     32.00    172.00      0.00      3.36      0.02      0.31      1.94
13:53:14    nvme0n1p1     60.80     32.00    172.00      0.00      3.36      0.02      0.31      1.94
13:53:14    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:14    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:14    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:53:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
