Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

02:15:29        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:15:34        all      0.20      0.00      0.20      0.00      0.00     99.60
02:15:39        all     31.09      0.00      1.01      0.00      0.00     67.91
02:15:44        all     43.13      0.00      1.00      0.10      0.00     55.77
02:15:49        all     49.05      0.00      1.71      0.00      0.00     49.25
02:15:54        all     26.14      0.00      1.01      0.00      0.00     72.86
02:15:59        all      0.30      0.00      0.20      0.00      0.00     99.50
02:16:04        all      2.60      0.00      0.40      0.20      0.00     96.80
02:16:09        all     50.70      0.00      1.41      0.00      0.00     47.89
02:16:14        all     31.39      0.00      1.01      0.00      0.00     67.61
02:16:19        all     34.07      0.00      2.61      0.00      0.00     63.32
02:16:24        all     12.50      0.00      1.01      0.20      0.00     86.29
02:16:29        all     28.63      0.00      1.71      0.00      0.00     69.66
02:16:34        all      0.20      0.00      0.20      0.00      0.00     99.60
Average:        all     23.83      0.00      1.04      0.04      0.00     75.10

02:15:29    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:15:34       401460   5209448   2076904     27.11     77392   4878824   2616432     34.15   1946748   4924160      2692
02:15:39       379196   5187188   2099148     27.40     77392   4878828   2631388     34.34   1979476   4924164      2696
02:15:44       367604   5175604   2110716     27.55     77392   4878836   2652876     34.62   1995540   4924172      2704
02:15:49       354780   5162788   2123552     27.71     77392   4878844   2663380     34.76   2007708   4924180      2532
02:15:54       351236   5159248   2127060     27.76     77392   4878848   2667436     34.81   2012732   4924184        56
02:15:59       351236   5159248   2127048     27.76     77396   4878856   2667436     34.81   2012820   4924184       132
02:16:04       351236   5159264   2127044     27.76     77396   4878860   2667436     34.81   2012820   4924200        88
02:16:09       342416   5150452   2135856     27.87     77396   4878868   2671740     34.87   2020524   4924208       596
02:16:14       324776   5132820   2153488     28.10     77396   4878876   2674708     34.91   2033956   4924216      2540
02:16:19       324528   5132624   2153684     28.11     77396   4878928   2675736     34.92   2035280   4924268     20056
02:16:24       322512   5130616   2155692     28.13     77396   4878936   2677220     34.94   2036708   4924276     20060
02:16:29       303864   5111992   2174316     28.38     77396   4878960   2680324     34.98   2055740   4924300     20688
02:16:34       303864   5111992   2174308     28.38     77400   4878964   2680324     34.98   2055740   4924300     20732
Average:       344516   5152560   2133755     27.85     77395   4878879   2663572     34.76   2015830   4924216      7352

02:15:29          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:15:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:34      nvme0n1      0.40      0.00      1.60      0.00      4.00      0.00      1.00      0.02
02:15:34    nvme0n1p1      0.40      0.00      1.60      0.00      4.00      0.00      1.00      0.02
02:15:34    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:34    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:34    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:39      nvme0n1      6.00      0.00     15.20      0.00      2.53      0.00      0.43      0.20
02:15:39    nvme0n1p1      6.00      0.00     15.20      0.00      2.53      0.00      0.43      0.20
02:15:39    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:39    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:39    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:44      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.50      0.08
02:15:44    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.08
02:15:44    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:44    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:44    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:15:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
