Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

02:17:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:17:51        all      0.20      0.00      0.30      0.00      0.00     99.50
02:17:56        all     87.06      0.00      2.21      0.00      0.00     10.73
02:18:01        all     50.05      0.00      1.81      0.00      0.00     48.14
02:18:06        all      0.30      0.00      0.10      0.00      0.00     99.60
02:18:11        all     16.15      0.00      0.70      0.10      0.00     83.05
02:18:16        all     91.07      0.00      3.11      0.10      0.00      5.72
02:18:21        all     67.67      0.00      4.32      0.00      0.00     28.01
02:18:26        all      1.90      0.00      0.40      0.10      0.00     97.60
Average:        all     39.28      0.00      1.62      0.04      0.00     59.06

02:17:46    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:17:51       407768   5223976   2062188     26.91     77728   4886636   2594452     33.86   1929876   4928888      2828
02:17:56       367712   5183932   2102208     27.44     77728   4886640   2628276     34.30   1984600   4928900      2832
02:18:01       359648   5175876   2110264     27.54     77728   4886648   2632840     34.36   1989356   4928908       244
02:18:06       359820   5176056   2110084     27.54     77728   4886656   2632840     34.36   1989440   4928916        52
02:18:11       358568   5174808   2111332     27.55     77728   4886660   2634964     34.39   1992340   4928920        48
02:18:16       351000   5167268   2118872     27.65     77732   4886684   2642432     34.49   2004304   4928948      3956
02:18:21       333864   5150288   2135852     27.87     77732   4886840   2645136     34.52   2015868   4929104     24624
02:18:26       333864   5150296   2135844     27.87     77732   4886848   2645392     34.52   2016272   4929112     12540
Average:       359030   5175312   2110830     27.55     77730   4886702   2632042     34.35   1990257   4928962      5890

02:17:46          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:17:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:51      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:51    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:51    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:51    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:51    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:56      nvme0n1     14.00      0.00     38.40      0.00      2.74      0.01      0.36      0.36
02:17:56    nvme0n1p1     14.00      0.00     38.40      0.00      2.74      0.00      0.34      0.36
02:17:56    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:56    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:17:56    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:01      nvme0n1      6.80      0.00    523.20      0.00     76.94      0.01      1.00      0.12
02:18:01    nvme0n1p1      6.80      0.00    523.20      0.00     76.94      0.01      1.00      0.12
02:18:01    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:01    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:01    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:06      nvme0n1      5.40      0.00     26.40      0.00      4.89      0.01      0.96      0.04
02:18:06    nvme0n1p1      5.40      0.00     26.40      0.00      4.89      0.01      0.96      0.04
02:18:06    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:18:06    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
