Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

02:12:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:12:26        all     72.30      0.00      6.52      2.55      0.00     18.64
02:12:31        all     69.00      0.00      2.53      0.41      0.00     28.06
02:12:36        all     95.49      0.00      4.31      0.00      0.00      0.20
02:12:41        all     95.10      0.00      4.50      0.00      0.00      0.40
02:12:46        all     94.89      0.00      4.80      0.00      0.00      0.30
02:12:51        all     95.09      0.00      4.41      0.00      0.00      0.50
02:12:56        all     94.28      0.00      4.81      0.00      0.00      0.90
02:13:02        all     91.92      0.00      7.09      0.00      0.00      1.00
02:13:07        all     56.31      0.00      4.41      0.00      0.00     39.28
02:13:12        all      5.34      0.00      1.11      0.10      0.00     93.45
02:13:17        all     21.41      0.00      2.05      0.00      0.00     76.54
02:13:22        all     90.60      0.00      9.00      0.10      0.00      0.30
02:13:27        all     91.56      0.00      7.54      0.10      0.00      0.80
02:13:32        all     92.39      0.00      6.71      0.20      0.00      0.70
02:13:37        all     90.68      0.00      8.52      0.40      0.00      0.40
02:13:42        all     91.88      0.00      7.41      0.20      0.00      0.50
02:13:47        all     90.75      0.00      8.34      0.10      0.00      0.80
02:13:52        all     92.27      0.00      6.93      0.20      0.00      0.60
02:13:57        all     93.29      0.00      6.21      0.20      0.00      0.30
02:14:02        all     89.77      0.00      9.13      0.50      0.00      0.60
02:14:07        all     93.49      0.00      6.01      0.10      0.00      0.40
02:14:12        all     90.77      0.00      8.53      0.30      0.00      0.40
02:14:17        all     69.68      0.00      5.52      0.30      0.00     24.50
02:14:22        all      2.62      0.00      0.30      0.00      0.00     97.08
Average:        all     78.04      0.00      5.70      0.24      0.00     16.02

02:12:21    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:12:26       392840   5283832   2001672     26.12     84940   4953424   2759268     36.01   1882104   5004172       268
02:12:31       264096   5156364   2129004     27.79     84940   4954696   2849680     37.19   2001200   5005440       272
02:12:36       227052   5119408   2165960     28.27     84940   4954784   2882856     37.62   2043992   5005528       284
02:12:41       195616   5088164   2197200     28.68     84940   4954976   2891832     37.74   2062096   5005720      2620
02:12:46       189700   5082508   2202856     28.75     84940   4955236   2894860     37.78   2072664   5005980     28000
02:12:51       184528   5077352   2208012     28.82     84940   4955252   2898236     37.82   2078848   5005996     30312
02:12:56       186384   5079220   2206140     28.79     84944   4955264   2899400     37.84   2084552   5006008     31704
02:13:02       144004   4936984   2348600     30.65     81172   4859396   3062536     39.97   2242196   4912580     33140
02:13:07       140224   4933212   2352372     30.70     81172   4859404   3068540     40.05   2249476   4912588      6528
02:13:12       169288   4853964   2431920     31.74     78200   4754352   3104456     40.52   2328648   4804672      6528
02:13:17       160972   4846268   2439612     31.84     78200   4754972   3109584     40.58   2336228   4805292      3416
02:13:22       154452   4840900   2444980     31.91     78200   4756124   3112768     40.62   2342504   4806444     61720
02:13:27       152688   4839812   2446088     31.92     78200   4756812   3113872     40.64   2340784   4807120     68024
02:13:32       152688   4840496   2445400     31.91     78200   4757500   3115096     40.65   2342732   4807804     67680
02:13:37       150420   4839036   2446764     31.93     78200   4758404   3115480     40.66   2348160   4808612     68228
02:13:42       149412   4838576   2447312     31.94     78200   4758864   3115480     40.66   2347352   4809160     17180
02:13:47       148908   4838576   2447416     31.94     78200   4759264   3115544     40.66   2348052   4809664     17172
02:13:52       141852   4832032   2453844     32.02     78200   4759892   3115764     40.66   2348920   4810176      9296
02:13:57       141600   4832388   2453516     32.02     78200   4760472   3116152     40.67   2346056   4810784       212
02:14:02       133788   4826348   2459564     32.10     78204   4762232   3117184     40.68   2356464   4812556      1292
02:14:07       188368   4811320   2474720     32.30     77172   4693892   3117376     40.68   2368940   4743112      1432
02:14:12       186356   4810400   2475704     32.31     77172   4694920   3117636     40.69   2370456   4744204      1536
02:14:17       127388   4754808   2531292     33.04     77172   4698300   3172000     41.40   2426872   4747580      1948
02:14:22       126128   4753848   2532260     33.05     77172   4698592   3173104     41.41   2429384   4747880      1856
Average:       175365   4921492   2364259     30.86     80242   4813626   3043279     39.72   2254112   4864128     19194

02:12:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:12:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:26      nvme0n1    157.00   1027.20  12775.20     44.00     88.19      0.54      3.44      8.40
02:12:26    nvme0n1p1    157.00   1027.20  12775.20     44.00     88.19      0.54      3.45      8.92
02:12:26    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:26    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:26    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:31      nvme0n1     34.00    253.60     12.00      0.00      7.81      0.02      0.49      1.42
02:12:31    nvme0n1p1     34.00    253.60     12.00      0.00      7.81      0.02      0.48      1.46
02:12:31    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:31    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:31    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:36      nvme0n1     68.40     15.20    179.20      0.00      2.84      0.03      0.35      2.04
02:12:36    nvme0n1p1     68.40     15.20    179.20      0.00      2.84      0.02      0.35      2.04
02:12:36    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:36    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:36    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:41      nvme0n1     51.00     32.80    118.40      0.00      2.96      0.02      0.29      1.14
02:12:41    nvme0n1p1     51.00     32.80    118.40      0.00      2.96      0.01      0.29      1.14
02:12:41    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:41    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:41    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:46      nvme0n1     48.00      0.00    907.20      0.00     18.90      0.06      1.22      0.40
02:12:46    nvme0n1p1     48.00      0.00    907.20      0.00     18.90      0.06      1.21      0.52
02:12:46    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:46    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:46    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:12:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
