Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

02:09:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:09:20        all     82.81      0.00      8.09      1.52      0.00      7.58
02:09:25        all     72.30      0.00      2.53      0.71      0.00     24.47
02:09:30        all     95.40      0.00      4.40      0.00      0.00      0.20
02:09:35        all     95.10      0.00      4.70      0.00      0.00      0.20
02:09:40        all     94.09      0.00      5.61      0.00      0.00      0.30
02:09:45        all     95.20      0.00      4.30      0.00      0.00      0.50
02:09:50        all     94.18      0.00      5.62      0.00      0.00      0.20
02:09:55        all     91.91      0.00      7.49      0.10      0.00      0.50
02:10:00        all     36.57      0.00      3.01      0.00      0.00     60.42
02:10:05        all      5.09      0.00      1.43      0.00      0.00     93.48
02:10:10        all     39.00      0.00      2.95      0.10      0.00     57.94
02:10:15        all     91.08      0.00      8.42      0.00      0.00      0.50
02:10:20        all     91.49      0.00      7.81      0.00      0.00      0.70
02:10:25        all     91.26      0.00      8.34      0.00      0.00      0.40
02:10:30        all     88.90      0.00     10.80      0.00      0.00      0.30
02:10:35        all     90.38      0.00      9.22      0.00      0.00      0.40
02:10:40        all     91.88      0.00      7.52      0.00      0.00      0.60
02:10:45        all     91.68      0.00      8.02      0.00      0.00      0.30
02:10:50        all     94.30      0.00      5.30      0.00      0.00      0.40
02:10:55        all     92.18      0.00      7.52      0.00      0.00      0.30
02:11:00        all     92.19      0.00      7.41      0.00      0.00      0.40
02:11:05        all     91.69      0.00      8.01      0.00      0.00      0.30
02:11:10        all     90.58      0.00      9.12      0.00      0.00      0.30
02:11:15        all     14.64      0.00      1.50      0.00      0.00     83.85
Average:        all     79.83      0.00      6.22      0.10      0.00     13.85

02:09:15    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
02:09:20       209908   5095604   2186108     28.53     86008   4944932   2869808     37.45   2086556   5001540     86484
02:09:25       189528   5017484   2264572     29.55     86024   4887592   2949568     38.49   2178372   4944216       260
02:09:30       149460   4977472   2304584     30.08     86024   4887648   2981480     38.91   2221456   4944272       276
02:09:35       137140   4965364   2316692     30.23     86024   4887860   2991444     39.04   2234616   4944484      2608
02:09:40       202340   4950828   2331296     30.43     84940   4809276   2997900     39.12   2261716   4851248     31524
02:09:45       200324   4948828   2333296     30.45     84940   4809292   3000344     39.16   2265160   4851264     33452
02:09:50       199316   4947944   2334176     30.46     84940   4809416   3001248     39.17   2266660   4851276     33932
02:09:55       191252   4939904   2342216     30.57     84944   4809436   3013492     39.33   2271108   4851300      7872
02:10:00       189236   4937904   2344212     30.59     84948   4809452   3014356     39.34   2268740   4851316      8148
02:10:05       138704   4832400   2449836     31.97     84692   4754844   3114576     40.65   2369188   4795640      8132
02:10:10       136952   4830724   2451352     31.99     84692   4754920   3116444     40.67   2371448   4795716      1036
02:10:15       120572   4814512   2467564     32.20     84692   4755088   3120256     40.72   2389244   4795884     22396
02:10:20       125136   4819212   2462864     32.14     84692   4755224   3121028     40.73   2389892   4796020     35708
02:10:25       120348   4814756   2467264     32.20     84692   4755552   3122128     40.75   2391836   4796312     51932
02:10:30       121516   4816232   2465776     32.18     84692   4755860   3123928     40.77   2389216   4796620     22200
02:10:35       121264   4816264   2465744     32.18     84692   4756144   3124444     40.78   2387132   4796848     36140
02:10:40       119752   4814820   2467220     32.20     84692   4756212   3124572     40.78   2388652   4796916     39188
02:10:45       119752   4814844   2467196     32.20     84692   4756236   3124764     40.78   2389092   4796940     25804
02:10:50       115972   4811088   2470952     32.25     84692   4756260   3125088     40.78   2392900   4796964     25888
02:10:55       115972   4811108   2470932     32.25     84696   4756276   3125472     40.79   2393348   4796980     21476
02:11:00       115724   4810880   2471160     32.25     84696   4756296   3125668     40.79   2393696   4797000      2532
02:11:05       115724   4810896   2471144     32.25     84696   4756312   3125860     40.79   2393884   4797016      2744
02:11:10       114968   4810536   2471412     32.25     84696   4756800   3126052     40.80   2395404   4797040      4584
02:11:15       114968   4810536   2471404     32.25     84696   4756808   3126052     40.80   2394200   4796924      2160
Average:       145243   4875839   2406207     31.40     84966   4791406   3069416     40.06   2328480   4834989     21103

02:09:15          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
02:09:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:20      nvme0n1    104.40   1006.40   5924.80      0.00     66.39      0.20      1.93      5.30
02:09:20    nvme0n1p1    104.40   1006.40   5924.80      0.00     66.39      0.20      1.92      5.48
02:09:20    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:20    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:20    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:25      nvme0n1     40.60      0.00   6873.60    535.20    182.48      0.28      6.98      2.02
02:09:25    nvme0n1p1     40.60      0.00   6873.60    535.20    182.48      0.28      6.98      2.14
02:09:25    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:25    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:25    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:30        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:30        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:30        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:30        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:30      nvme0n1     62.40     12.00    164.80      0.00      2.83      0.02      0.30      1.38
02:09:30    nvme0n1p1     62.40     12.00    164.80      0.00      2.83      0.02      0.30      1.38
02:09:30    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:30    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:30    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:35      nvme0n1     52.60     33.60    121.60      0.00      2.95      0.02      0.29      1.26
02:09:35    nvme0n1p1     52.60     33.60    121.60      0.00      2.95      0.01      0.29      1.26
02:09:35    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:35    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:35    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:40        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:40      nvme0n1     43.00      0.00    862.40      0.00     20.06      0.06      1.40      0.26
02:09:40    nvme0n1p1     43.00      0.00    862.40      0.00     20.06      0.06      1.40      0.26
02:09:40    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:40    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:40    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:45        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:45        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:45        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:09:45        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
