Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(4 CPU)

01:00:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:00:28        all     33.23      0.00      3.01      0.87      0.00     62.89
01:00:33        all     82.42      0.00      3.02      0.00      0.00     14.56
01:00:38        all     93.84      0.00      5.31      0.05      0.00      0.80
01:00:43        all     92.94      0.00      6.01      0.00      0.00      1.05
01:00:48        all     85.49      0.00      8.63      0.00      0.00      5.87
01:00:53        all      1.10      0.00      0.20      0.20      0.00     98.50
01:00:58        all      3.66      0.00      0.97      0.10      0.00     95.27
01:01:03        all     76.93      0.00      7.79      0.05      0.00     15.23
01:01:08        all     88.95      0.00      9.49      0.05      0.00      1.51
01:01:13        all     88.57      0.00      9.37      0.00      0.00      2.06
01:01:18        all     90.13      0.00      8.82      0.00      0.00      1.05
01:01:23        all     89.82      0.00      8.98      0.00      0.00      1.20
01:01:28        all     89.72      0.00      9.27      0.00      0.00      1.00
01:01:33        all     32.83      0.00      3.16      0.00      0.00     64.01
Average:        all     67.94      0.00      6.01      0.09      0.00     25.95

01:00:23    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
01:00:28      3811188  12562512   2377712     15.46     94456   8715596   3107124     20.21   2367392   8572472       396
01:00:33      3627480  12378812   2561116     16.66     94456   8715604   3261444     21.21   2558856   8572480       244
01:00:38      3592704  12344564   2595332     16.88     94456   8716128   3307752     21.51   2606036   8573004     43480
01:00:43      3616900  12368776   2571120     16.72     94456   8716144   3316952     21.57   2604428   8573020     47264
01:00:48      3464604  12216504   2723392     17.71     94456   8716168   3455716     22.47   2757336   8573044     47864
01:00:53      3467856  12219764   2720128     17.69     94456   8716176   3456100     22.48   2753776   8573052     28880
01:00:58      3368580  12120324   2819524     18.34     94468   8716012   3467684     22.55   2841848   8572888     28476
01:01:03      3345952  12098688   2841140     18.48     94468   8716992   3474680     22.60   2866788   8573880     72476
01:01:08      3351544  12104532   2835264     18.44     94468   8717244   3476676     22.61   2875820   8574132     48948
01:01:13      3220480  11973508   2966288     19.29     94468   8717284   3603060     23.43   3003388   8574172     49436
01:01:18      3212980  11966036   2973760     19.34     94468   8717312   3604924     23.44   3009220   8574200     50232
01:01:23      3217088  11970176   2969620     19.31     94468   8717344   3606952     23.46   3013300   8574232     50584
01:01:28      3198456  11951588   2988208     19.43     94476   8717380   3607340     23.46   3029892   8574276     50612
01:01:33      3193388  11946536   2993260     19.47     94476   8717396   3607796     23.46   3038860   8574292     50836
Average:      3406371  12158737   2781133     18.09     94464   8716627   3453871     22.46   2809067   8573510     40695

01:00:23          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
01:00:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:28        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:28        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:28      nvme0n1     61.40      0.00  13189.60     69.60    215.95      0.43      7.07      3.52
01:00:28    nvme0n1p1     61.40      0.00  13189.60     69.60    215.95      0.43      7.07      3.72
01:00:28    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:28    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:28    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:33        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:33      nvme0n1     28.20      0.00    106.40      0.00      3.77      0.01      0.31      0.62
01:00:33    nvme0n1p1     28.20      0.00    106.40      0.00      3.77      0.01      0.32      0.62
01:00:33    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:33    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:33    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:38        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:38        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:38        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:38        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:38      nvme0n1     96.20     45.60    235.20      0.00      2.92      0.03      0.28      2.48
01:00:38    nvme0n1p1     96.20     45.60    235.20      0.00      2.92      0.03      0.28      2.48
01:00:38    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:38    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:38    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:43      nvme0n1      0.40      0.00      1.60      0.00      4.00      0.00      1.00      0.02
01:00:43    nvme0n1p1      0.40      0.00      1.60      0.00      4.00      0.00      1.00      0.02
01:00:43    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:43    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:43    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:48    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:53      nvme0n1     67.60      0.00   1175.20      0.00     17.38      0.06      0.88      0.76
01:00:53    nvme0n1p1     67.60      0.00   1175.20      0.00     17.38      0.06      0.88      0.76
01:00:53    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:53    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:53    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:58      nvme0n1      2.80      0.00     67.20    213.60    100.29      0.00      0.64      0.14
01:00:58    nvme0n1p1      2.80      0.00     67.20    213.60    100.29      0.00      0.64      0.14
01:00:58    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:58    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:00:58    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:03      nvme0n1    283.40    162.40    649.60      0.00      2.87      0.08      0.26      5.90
01:01:03    nvme0n1p1    283.40    162.40    649.60      0.00      2.87      0.07      0.26      5.90
01:01:03    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:03    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:03    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:08      nvme0n1    244.20     16.00   1932.00      0.00      7.98      0.82      3.35      0.96
01:01:08    nvme0n1p1    244.20     16.00   1932.00      0.00      7.98      0.82      3.35      1.00
01:01:08    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:08    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:08    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:13    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:01:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
