Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/05/26 	_x86_64_	(4 CPU)

00:58:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:58:26        all     24.40      0.00      2.85      0.97      0.00     71.78
00:58:31        all     77.02      0.00      2.73      0.00      0.00     20.25
00:58:36        all     94.44      0.00      4.71      0.00      0.00      0.85
00:58:41        all     93.13      0.00      5.97      0.00      0.00      0.90
00:58:46        all     89.12      0.00      8.77      0.00      0.00      2.11
00:58:51        all     10.25      0.00      1.36      0.15      0.00     88.24
00:58:56        all      3.80      0.00      1.06      0.05      0.00     95.08
00:59:01        all     50.63      0.00      5.06      0.15      0.00     44.15
00:59:06        all     87.76      0.00      9.07      0.00      0.00      3.17
00:59:11        all     86.64      0.00     10.65      0.05      0.00      2.66
00:59:16        all     88.44      0.00     10.36      0.05      0.00      1.15
00:59:21        all     89.56      0.00      9.04      0.05      0.00      1.36
00:59:26        all     89.46      0.00      8.94      0.00      0.00      1.61
00:59:31        all     74.94      0.00      8.84      0.55      0.00     15.67
00:59:36        all      1.40      0.00      0.20      0.00      0.00     98.39
Average:        all     64.15      0.00      5.98      0.13      0.00     29.73

00:58:21    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
00:58:26      3802048  12552632   2387816     15.53     94120   8715228   3101992     20.17   2366020   8571760       352
00:58:31      3709304  12459904   2480252     16.13     94120   8715236   3252292     21.15   2507472   8571776       208
00:58:36      3641012  12391956   2548196     16.57     94120   8715580   3307396     21.51   2571936   8572120     27116
00:58:41      3649760  12400900   2539216     16.51     94120   8715776   3313228     21.55   2574820   8572316     47108
00:58:46      3495564  12246736   2693380     17.52     94120   8715808   3447364     22.42   2729348   8572348     44452
00:58:51      3506428  12257608   2682508     17.45     94120   8715816   3448012     22.42   2725208   8572356     28524
00:58:56      3424948  12175936   2764144     17.98     94120   8715648   3450332     22.44   2811160   8572188     28344
00:59:01      3417976  12169068   2770960     18.02     94120   8715752   3453036     22.46   2813284   8572292     13004
00:59:06      3401092  12152380   2787616     18.13     94120   8715948   3457640     22.49   2832000   8572488     32332
00:59:11      3396556  12148004   2791992     18.16     94120   8716108   3460260     22.50   2838772   8572648     45812
00:59:16      3385384  12137212   2802784     18.23     94120   8716488   3461356     22.51   2849220   8573028     57632
00:59:21      3385576  12137644   2802352     18.22     94120   8716728   3461872     22.51   2850144   8573268     68016
00:59:26      3240648  11992960   2947052     19.17     94128   8716964   3589032     23.34   2988640   8573512     74788
00:59:31      3234484  11986864   2953148     19.21     94128   8717032   3589676     23.35   2993380   8573580      5508
00:59:36      3242800  11995188   2944824     19.15     94128   8717040   3589740     23.35   2979484   8573588        88
Average:      3462239  12213666   2726416     17.73     94122   8716077   3425549     22.28   2762059   8572618     31552

00:58:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
00:58:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:26      nvme0n1     62.40      0.00  13233.60     45.60    212.81      0.85     13.64      3.56
00:58:26    nvme0n1p1     62.40      0.00  13233.60     45.60    212.81      0.85     13.65      3.78
00:58:26    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:26    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:26    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:31      nvme0n1     31.40      0.00    114.40      0.00      3.64      0.01      0.32      0.90
00:58:31    nvme0n1p1     31.40      0.00    114.40      0.00      3.64      0.01      0.32      0.90
00:58:31    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:31    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:31    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:36      nvme0n1     71.60     30.40    175.20      0.00      2.87      0.02      0.30      1.72
00:58:36    nvme0n1p1     71.60     30.40    175.20      0.00      2.87      0.02      0.30      1.72
00:58:36    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:36    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:36    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:41      nvme0n1     21.40     15.20     50.40      0.00      3.07      0.01      0.32      0.48
00:58:41    nvme0n1p1     21.40     15.20     50.40      0.00      3.07      0.01      0.32      0.48
00:58:41    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:41    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:41    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:58:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
