Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

13:10:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:10:44        all      0.05      0.00      0.05      0.03      0.00     99.87
13:10:49        all     46.36      0.00      1.21      0.05      0.00     52.38
13:10:54        all      0.05      0.00      0.05      0.00      0.00     99.90
13:10:59        all      3.15      0.00      0.23      0.00      0.00     96.62
13:11:04        all     41.66      0.00      2.51      0.08      0.00     55.75
13:11:09        all      0.03      0.00      0.10      0.00      0.00     99.87
Average:        all     15.16      0.00      0.69      0.03      0.00     84.12

13:10:39    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:10:44     19869320  28400540   2793908      8.77     80208   8721832   3370840     10.58   2745332   8563988       364
13:10:49     19812140  28343368   2850856      8.95     80208   8721840   3463908     10.87   2818452   8563996       212
13:10:54     19813900  28345128   2849148      8.94     80208   8721852   3463972     10.87   2818564   8563996       224
13:10:59     19806544  28337796   2856460      8.96     80208   8721864   3465904     10.88   2830988   8564020       236
13:11:04     19771296  28302664   2891496      9.07     80208   8721980   3478824     10.92   2871160   8564136     20588
13:11:09     19774496  28305864   2888280      9.06     80212   8721992   3508532     11.01   2871160   8564136     15660
Average:     19807949  28339227   2855025      8.96     80209   8721893   3458663     10.85   2825943   8564045      6214

13:10:39          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:10:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:44      nvme0n1      7.20      0.00    520.00      0.00     72.22      0.01      1.22      0.14
13:10:44    nvme0n1p1      7.20      0.00    520.00      0.00     72.22      0.01      1.25      0.14
13:10:44    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:44    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:44    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:49      nvme0n1     16.20      0.00     74.40      0.00      4.59      0.01      0.37      0.58
13:10:49    nvme0n1p1     16.20      0.00     74.40      0.00      4.59      0.01      0.37      0.58
13:10:49    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:10:49    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
