Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

13:07:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:07:26        all      0.08      0.00      0.03      0.00      0.00     99.90
13:07:31        all      9.08      0.00      0.43      0.00      0.00     90.49
13:07:36        all     13.18      0.00      0.55      0.03      0.00     86.24
13:07:41        all     14.43      0.00      0.48      0.03      0.00     85.07
13:07:46        all      4.28      0.00      0.35      0.03      0.00     95.34
13:07:51        all      0.10      0.00      0.05      0.00      0.00     99.85
13:07:56        all      1.03      0.00      0.03      0.00      0.00     98.95
13:08:01        all     14.19      0.00      0.58      0.00      0.00     85.23
13:08:06        all      4.31      0.00      0.28      0.03      0.00     95.39
13:08:11        all      6.87      0.00      0.70      0.03      0.00     92.41
13:08:16        all      3.61      0.00      0.35      0.05      0.00     95.99
13:08:21        all      5.39      0.00      0.35      0.05      0.00     94.21
13:08:26        all      0.03      0.00      0.10      0.00      0.00     99.87
Average:        all      5.88      0.00      0.33      0.02      0.00     93.77

13:07:21    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:07:26     19853148  28382628   2812568      8.83     79748   8720812   3370804     10.58   2740520   8562912      2524
13:07:31     19813568  28343056   2852140      8.95     79748   8720820   3392920     10.65   2794560   8562920      2380
13:07:36     19756448  28285948   2909216      9.13     79748   8720832   3414808     10.72   2860592   8562932      2392
13:07:41     19715588  28245100   2950064      9.26     79748   8720844   3425272     10.75   2904968   8562944      2404
13:07:46     19720936  28250460   2944672      9.24     79748   8720856   3431168     10.77   2905372   8562956      2416
13:07:51     19722736  28252268   2942848      9.24     79760   8720868   3431236     10.77   2905544   8562964      2532
13:07:56     19705388  28234944   2960188      9.29     79760   8720876   3431624     10.77   2925980   8562988       112
13:08:01     19680188  28209756   2985376      9.37     79760   8720888   3438316     10.79   2959216   8563000      2168
13:08:06     19678432  28208012   2987120      9.37     79760   8720900   3439028     10.79   2960536   8563012      3788
13:08:11     19662664  28192312   3002820      9.42     79760   8720968   3440508     10.80   2972628   8563080     21576
13:08:16     19671312  28200968   2994164      9.40     79760   8720976   3443788     10.81   2963952   8563088     21584
13:08:21     19666412  28196096   2999036      9.41     79760   8721004   3444884     10.81   2971392   8563116     22492
13:08:26     19666412  28196104   2999020      9.41     79768   8721016   3453208     10.84   2971508   8563124     22540
Average:     19716402  28245973   2949172      9.26     79756   8720897   3427505     10.76   2910521   8563003      8378

13:07:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:07:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:26      nvme0n1      0.20      0.00      1.60      0.00      8.00      0.00      1.00      0.00
13:07:26    nvme0n1p1      0.20      0.00      1.60      0.00      8.00      0.00      1.00      0.00
13:07:26    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:26    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:26    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:31      nvme0n1      6.40      0.00     45.60      0.00      7.12      0.00      0.34      0.26
13:07:31    nvme0n1p1      6.40      0.00     45.60      0.00      7.12      0.00      0.34      0.26
13:07:31    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:31    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:31    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:36      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.08
13:07:36    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.08
13:07:36    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:36    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:36    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:07:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
