Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

13:09:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:09:22        all      0.03      0.00      0.10      0.00      0.00     99.87
13:09:27        all     41.47      0.00      1.26      0.08      0.00     57.20
13:09:32        all      0.05      0.00      0.08      0.00      0.00     99.87
13:09:37        all      3.03      0.00      0.13      0.03      0.00     96.82
13:09:42        all     44.11      0.00      2.57      0.05      0.00     53.27
13:09:47        all      0.05      0.00      0.00      0.03      0.00     99.92
Average:        all     14.75      0.00      0.69      0.03      0.00     84.53

13:09:17    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:09:22     19826896  28357504   2837012      8.90     79992   8721448   3383772     10.62   2767824   8563512       360
13:09:27     19749772  28280392   2913936      9.14     79992   8721456   3473600     10.90   2865024   8563524       220
13:09:32     19774572  28305192   2889124      9.07     79992   8721468   3473600     10.90   2851136   8563524       232
13:09:37     19756856  28287476   2906824      9.12     79992   8721480   3475788     10.91   2876436   8563524       244
13:09:42     19710784  28241544   2952684      9.27     79992   8721596   3498780     10.98   2921180   8563664     19560
13:09:47     19719244  28250004   2944208      9.24     79996   8721608   3515940     11.03   2921204   8563664     19640
Average:     19756354  28287019   2907298      9.12     79993   8721509   3470247     10.89   2867134   8563569      6709

13:09:17          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:09:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:22      nvme0n1      6.40      0.00    558.40      0.00     87.25      0.01      1.59      0.12
13:09:22    nvme0n1p1      6.40      0.00    558.40      0.00     87.25      0.01      1.62      0.12
13:09:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:27      nvme0n1     16.00      0.00     72.00      0.00      4.50      0.01      0.31      0.50
13:09:27    nvme0n1p1     16.00      0.00     72.00      0.00      4.50      0.01      0.31      0.50
13:09:27    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:27    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:27    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:32    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:09:37      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.08
13:09:37    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.08
