Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

13:05:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:05:44        all      9.42      0.00      1.73      0.38      0.00     88.46
13:05:49        all     80.13      0.00      3.18      0.00      0.00     16.70
13:05:54        all     90.87      0.00      6.54      0.00      0.00      2.59
13:05:59        all     41.91      0.00      5.22      0.00      0.00     52.86
13:06:04        all      1.48      0.00      0.50      0.00      0.00     98.02
13:06:09        all     26.32      0.00      3.23      0.13      0.00     70.33
13:06:14        all     84.79      0.00     11.94      0.18      0.00      3.09
13:06:19        all     85.57      0.00     12.29      0.00      0.00      2.14
13:06:24        all     85.50      0.00     12.44      0.00      0.00      2.06
13:06:29        all     17.94      0.00      2.75      0.00      0.00     79.30
Average:        all     52.46      0.00      5.99      0.07      0.00     41.48

13:05:39    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:05:44     19595652  28124156   3071208      9.64     79424   8720288   4072420     12.78   2957796   8562196      2800
13:05:49     19372420  27900952   3293768     10.34     79424   8720312   4402048     13.81   3235992   8562224      7112
13:05:54     19318496  27847620   3347100     10.50     79424   8720904   4429216     13.90   3286996   8562816     49232
13:05:59     19069912  27599064   3595656     11.28     79424   8720932   4685508     14.70   3535172   8562844     50220
13:06:04     18947236  27476232   3718484     11.67     79424   8720776   4689976     14.72   3642992   8562688     50180
13:06:09     18907708  27436944   3757768     11.79     79424   8721016   4716344     14.80   3686276   8562928     41880
13:06:14     18898228  27428476   3766236     11.82     79436   8722016   4727228     14.83   3702948   8563940     96896
13:06:19     18902316  27432620   3762124     11.81     79436   8722072   4729136     14.84   3711812   8563996     24444
13:06:24     18864888  27395244   3799500     11.92     79436   8722124   4729780     14.84   3744092   8564048     25840
13:06:29     18862196  27392572   3802172     11.93     79436   8722144   4730300     14.84   3745888   8564068     26052
Average:     19073905  27603388   3591402     11.27     79429   8721258   4591196     14.41   3524996   8563175     37466

13:05:39          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:05:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:44      nvme0n1     55.60      0.00  12772.80     28.80    230.24      0.33      5.86      2.90
13:05:44    nvme0n1p1     55.60      0.00  12772.80     28.80    230.24      0.33      5.86      3.08
13:05:44    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:44    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:44    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:49      nvme0n1     42.80      0.00    580.00      0.00     13.55      0.02      0.50      0.94
13:05:49    nvme0n1p1     42.80      0.00    580.00      0.00     13.55      0.02      0.50      0.96
13:05:49    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:49    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:49    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:54      nvme0n1     88.40     45.60    241.60      0.00      3.25      0.03      0.29      2.36
13:05:54    nvme0n1p1     88.40     45.60    241.60      0.00      3.25      0.03      0.29      2.36
13:05:54    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:54    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:54    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:05:59    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:04      nvme0n1      1.00      0.00     20.80      0.00     20.80      0.00      0.60      0.06
13:06:04    nvme0n1p1      1.00      0.00     20.80      0.00     20.80      0.00      0.60      0.06
13:06:04    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:04    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:04    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:06:09      nvme0n1    143.60     41.60   1395.20      0.00     10.01      0.08      0.55      2.38
13:06:09    nvme0n1p1    143.60     41.60   1395.20      0.00     10.01      0.08      0.55      2.42
13:06:09    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
