Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

13:03:52        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:03:57        all      2.98      0.00      1.04      0.00      0.00     95.98
13:04:02        all     73.63      0.00      3.44      0.05      0.00     22.88
13:04:07        all     90.77      0.00      6.71      0.00      0.00      2.51
13:04:12        all     34.34      0.00      4.60      0.05      0.00     61.01
13:04:17        all      1.74      0.00      0.63      0.08      0.00     97.55
13:04:22        all     13.47      0.00      1.81      0.08      0.00     84.64
13:04:27        all     38.44      0.00      5.32      0.15      0.00     56.09
13:04:32        all     32.91      0.00      4.62      0.13      0.00     62.34
13:04:37        all     32.09      0.00      4.72      0.21      0.00     62.98
13:04:42        all     38.75      0.00      5.47      0.15      0.00     55.62
13:04:47        all     45.43      0.00      5.81      0.18      0.00     48.58
13:04:52        all     16.70      0.00      2.81      0.05      0.00     80.44
13:04:57        all      1.05      0.00      0.20      0.05      0.00     98.70
Average:        all     32.49      0.00      3.62      0.09      0.00     63.80

13:03:52    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
13:03:57     18044024  26571620   4624204     14.51     79092   8719784   5693124     17.87   4556896   8561492       372
13:04:02     17736384  26264008   4931212     15.48     79092   8719808   5995596     18.82   4874976   8561516     11724
13:04:07     17700152  26228220   4966960     15.59     79092   8720252   6045292     18.97   4921988   8561960     43440
13:04:12     17697704  26225948   4969232     15.59     79092   8720428   6047352     18.98   4924864   8562136     50076
13:04:17     17588740  26116804   5078388     15.94     79092   8720260   6052048     18.99   5033748   8561968     33044
13:04:22     17571988  26100128   5095032     15.99     79092   8720336   6055380     19.00   5043336   8562044     35936
13:04:27     17571532  26099852   5095276     15.99     79092   8720516   6056412     19.01   5050332   8562224     54116
13:04:32     17580084  26108580   5086556     15.96     79092   8720692   6057248     19.01   5045284   8562400     31412
13:04:37     17572364  26101068   5094156     15.99     79096   8720896   6058672     19.01   5058832   8562608     32888
13:04:42     17572140  26101264   5093960     15.99     79096   8721316   6059124     19.01   5069708   8563028     50916
13:04:47     17572140  26101516   5093708     15.99     79096   8721568   6060800     19.02   5080824   8563280     62756
13:04:52     17563464  26092916   5102336     16.01     79096   8721648   6061124     19.02   5085364   8563356     66956
13:04:57     17536960  26066448   5128924     16.10     79096   8721684   6080740     19.08   5113752   8563392     42508
Average:     17639052  26167567   5027688     15.78     79094   8720707   6024839     18.91   4989223   8562416     39703

13:03:52          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
13:03:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:03:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:03:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:03:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:03:57      nvme0n1      6.20      0.00    448.00      0.00     72.26      0.01      1.55      0.10
13:03:57    nvme0n1p1      6.20      0.00    448.00      0.00     72.26      0.01      1.55      0.10
13:03:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:03:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:03:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:02      nvme0n1     42.80      0.00    146.40      0.00      3.42      0.01      0.31      1.14
13:04:02    nvme0n1p1     42.80      0.00    146.40      0.00      3.42      0.01      0.31      1.14
13:04:02    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:02    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:02    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:07      nvme0n1     62.20     32.00    147.20      0.00      2.88      0.02      0.31      1.80
13:04:07    nvme0n1p1     62.20     32.00    147.20      0.00      2.88      0.02      0.31      1.80
13:04:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:12      nvme0n1     19.40     13.60     45.60      0.00      3.05      0.01      0.30      0.58
13:04:12    nvme0n1p1     19.40     13.60     45.60      0.00      3.05      0.01      0.31      0.58
13:04:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
13:04:17      nvme0n1     66.60      0.00   1207.20      0.00     18.13      0.06      0.84      0.76
13:04:17    nvme0n1p1     66.60      0.00   1207.20      0.00     18.13      0.06      0.83      0.78
13:04:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
