Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

16:55:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:55:43        all      1.93      0.00      0.85      0.01      0.00     97.21
16:55:48        all     76.03      0.00      2.99      0.05      0.00     20.93
16:55:53        all     49.39      0.00      4.09      0.13      0.00     46.39
16:55:58        all      0.78      0.00      0.21      0.00      0.00     99.01
16:56:03        all     10.90      0.00      1.67      0.05      0.00     87.38
16:56:08        all     83.89      0.00     11.35      0.15      0.00      4.61
16:56:13        all     74.48      0.00     11.78      0.00      0.00     13.75
16:56:18        all      4.48      0.00      0.45      0.00      0.00     95.07
Average:        all     37.70      0.00      4.17      0.05      0.00     58.07

16:55:38    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
16:55:43     52201264  60552992   4400424      6.68     75092   8719092   6001148      9.11   4108912   8555724       376
16:55:48     51664460  60016272   4936136      7.50     75092   8719176   6609316     10.04   4654556   8555808     13116
16:55:53     51639076  59991388   4961020      7.54     75092   8719676   6633732     10.08   4678472   8556308     47076
16:55:58     51533220  59885336   5066960      7.70     75092   8719516   6647388     10.10   4795768   8556148     47040
16:56:03     51487028  59839200   5113068      7.77     75092   8719600   6661472     10.12   4852712   8556204     51424
16:56:08     51481884  59835348   5116976      7.77     75100   8720856   6673852     10.14   4885760   8557496     99220
16:56:13     50985896  59339428   5612892      8.53     75100   8720928   7147460     10.86   5363580   8557564    103480
16:56:18     50999524  59353084   5599228      8.50     75100   8720964   7147532     10.86   5357820   8557592    103584
Average:     51499044  59851631   5100838      7.75     75095   8719976   6690238     10.16   4837198   8556606     58164

16:55:38          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
16:55:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:43          sda      5.60      0.00    476.80      0.00     85.14      0.01      1.61      0.14
16:55:43         sda1      5.60      0.00    476.80      0.00     85.14      0.01      1.61      0.14
16:55:43        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:43        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:43        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:48        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:48        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:48        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:48        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:48          sda     23.60      0.00     64.00      0.00      2.71      0.01      0.36      0.76
16:55:48         sda1     23.60      0.00     64.00      0.00      2.71      0.01      0.36      0.76
16:55:48        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:48        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:48        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:53          sda    100.40     45.60    275.20      0.00      3.20      0.04      0.33      3.40
16:55:53         sda1    100.40     45.60    275.20      0.00      3.20      0.03      0.33      3.40
16:55:53        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:53        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:53        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:58          sda      1.20      0.00     20.80      0.00     17.33      0.00      0.67      0.06
16:55:58         sda1      1.20      0.00     20.80      0.00     17.33      0.00      0.67      0.08
16:55:58        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:58        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:55:58        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:03          sda     38.80     20.80     88.00      0.00      2.80      0.02      0.40      1.42
16:56:03         sda1     38.80     20.80     88.00      0.00      2.80      0.02      0.40      1.42
16:56:03        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:03        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:03        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:08          sda    358.00    157.60   1953.60    276.80      6.67      0.29      0.78      9.10
16:56:08         sda1    358.00    157.60   1953.60    276.80      6.67      0.28      0.78      9.18
16:56:08        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:08        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:08        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:13          sda      0.40      0.00     37.60      0.00     94.00      0.00      1.50      0.02
16:56:13         sda1      0.40      0.00     37.60      0.00     94.00      0.00      1.50      0.02
16:56:13        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:13        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:13        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:56:18        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     66.00     28.00    364.50     34.60      6.47      0.05      0.66      1.86
Average:         sda1     66.00     28.00    364.50     34.60      6.47      0.04      0.66      1.88
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
