Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

14:28:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:28:08        all     87.94      0.00      6.13      1.01      0.00      4.92
14:28:13        all     88.61      0.00      4.44      1.71      0.00      5.24
14:28:18        all     96.10      0.00      3.80      0.00      0.00      0.10
14:28:23        all     96.10      0.00      3.50      0.00      0.00      0.40
14:28:28        all     95.70      0.00      4.00      0.10      0.00      0.20
14:28:33        all     95.19      0.00      4.31      0.00      0.00      0.50
14:28:38        all     96.10      0.00      3.60      0.00      0.00      0.30
14:28:43        all     93.90      0.00      5.70      0.10      0.00      0.30
14:28:48        all     92.68      0.00      6.82      0.00      0.00      0.50
14:28:53        all      8.33      0.00      0.50      0.00      0.00     91.16
14:28:58        all      6.31      0.00      1.53      0.10      0.00     92.06
14:29:03        all     72.38      0.00      4.84      0.30      0.00     22.48
14:29:08        all     91.59      0.00      7.81      0.10      0.00      0.50
14:29:13        all     93.38      0.00      5.92      0.20      0.00      0.50
14:29:18        all     92.59      0.00      6.71      0.10      0.00      0.60
14:29:23        all     91.28      0.00      8.12      0.20      0.00      0.40
14:29:28        all     92.69      0.00      6.71      0.20      0.00      0.40
14:29:33        all     92.10      0.00      7.50      0.00      0.00      0.40
14:29:38        all     93.09      0.00      6.51      0.10      0.00      0.30
14:29:43        all     93.09      0.00      6.21      0.20      0.00      0.50
14:29:48        all     91.58      0.00      7.92      0.20      0.00      0.30
14:29:53        all     93.39      0.00      6.21      0.10      0.00      0.30
14:29:58        all     91.18      0.00      8.12      0.30      0.00      0.40
14:30:03        all     61.22      0.00      5.31      0.10      0.00     33.37
14:30:08        all      3.72      0.00      0.30      0.00      0.00     95.98
Average:        all     80.48      0.00      5.30      0.20      0.00     14.02

14:28:03    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:28:08       186952   5455528   2285300     28.12     86588   5315020   2919260     35.92   2322616   5187284     26856
14:28:13       178288   5358172   2382392     29.32     78248   5236032   3010104     37.04   2356548   5178788       272
14:28:18       145028   5285280   2455332     30.21     77552   5197720   3041352     37.42   2317040   5255580       284
14:28:23       124392   5264832   2475780     30.46     77552   5197908   3081196     37.91   2337916   5255768      2480
14:28:28       203184   5263236   2477436     30.49     77400   5118704   3088256     38.00   2336364   5176564     29212
14:28:33       203184   5263424   2477240     30.48     77400   5118900   3089864     38.02   2336692   5176752     34404
14:28:38       202176   5262608   2478064     30.49     77400   5119084   3091672     38.04   2340772   5176944     34712
14:28:43       197388   5257992   2482612     30.55     77400   5119324   3091672     38.04   2344664   5177116      4548
14:28:48       187352   5248344   2492328     30.67     77400   5119644   3093580     38.07   2352956   5177504      4884
14:28:53       189852   5250916   2489756     30.64     77400   5119716   3093840     38.07   2353284   5177576      4900
14:28:58       125844   5186912   2553760     31.42     77400   5119728   3136428     38.59   2414696   5177588      4884
14:29:03       125260   5187004   2553612     31.42     77400   5120404   3143640     38.68   2425860   5178168     11112
14:29:08       185528   5173244   2567500     31.59     77244   5046816   3149704     38.76   2433160   5104508     68668
14:29:13       187976   5176224   2564380     31.55     77244   5047488   3150868     38.77   2431988   5105040     73424
14:29:18       180416   5169364   2571304     31.64     77244   5048124   3151384     38.78   2436388   5105740     74144
14:29:23       180416   5170040   2570608     31.63     77244   5048820   3151512     38.78   2433336   5106324     24824
14:29:28       180416   5170564   2570104     31.63     77244   5049324   3151708     38.78   2434444   5106844     25144
14:29:33       180416   5171152   2569472     31.62     77244   5049956   3152096     38.79   2433756   5107432     20092
14:29:38       180164   5171972   2568664     31.61     77244   5051016   3152416     38.79   2436440   5108100      1020
14:29:43       178400   5171124   2569528     31.62     77244   5051916   3153060     38.80   2437440   5108808      1004
14:29:48       174872   5168084   2572544     31.66     77244   5052428   3153400     38.80   2441480   5109296      2188
14:29:53       174872   5168392   2572236     31.65     77244   5052736   3153476     38.80   2441916   5109604      2332
14:29:58       173108   5167540   2573072     31.66     77244   5053664   3153736     38.81   2443928   5110516      1652
14:30:03       171356   5166400   2574268     31.68     77248   5054220   3153864     38.81   2445228   5111128      2680
14:30:08       163544   5158676   2582012     31.77     77248   5054308   3155392     38.83   2453892   5111216       320
Average:       175215   5219481   2521172     31.02     77733   5102520   3114539     38.32   2397712   5148008     18242

14:28:03          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
14:28:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:08          sda    161.60   1410.40   9830.40      0.00     69.56      0.39      2.38      7.80
14:28:08         sda1    161.60   1410.40   9830.40      0.00     69.56      0.39      2.38      8.70
14:28:08        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:08        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:08        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:13          sda     97.20    266.40  16997.60  23902.40    423.52      1.39     14.27      5.34
14:28:13         sda1     97.20    266.40  16997.60  23902.40    423.52      1.39     14.27      5.62
14:28:13        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:13        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:13        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:18          sda     68.00     65.60    176.00      0.00      3.55      0.03      0.38      1.78
14:28:18         sda1     68.00     65.60    176.00      0.00      3.55      0.03      0.38      1.78
14:28:18        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:18        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:18        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:23          sda     51.60     33.60    120.00      0.00      2.98      0.02      0.35      1.42
14:28:23         sda1     51.60     33.60    120.00      0.00      2.98      0.02      0.35      1.42
14:28:23        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:23        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:23        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:28        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:28        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:28          sda     48.60     52.80    841.60      0.00     18.40      0.05      0.98      1.04
14:28:28         sda1     48.60     52.80    841.60      0.00     18.40      0.05      0.98      1.04
14:28:28        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:28        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:28        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:33        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:33          sda      4.80     36.80      0.80      0.00      7.83      0.01      1.04      0.44
14:28:33         sda1      4.80     36.80      0.80      0.00      7.83      0.01      1.04      0.44
14:28:33        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:28:33        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
