Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

14:24:50        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:24:55        all     79.19      0.00      7.88      0.20      0.00     12.73
14:25:00        all     88.32      0.00      4.43      1.71      0.00      5.54
14:25:05        all     95.80      0.00      3.80      0.00      0.00      0.40
14:25:10        all     96.29      0.00      3.51      0.00      0.00      0.20
14:25:15        all     94.59      0.00      5.21      0.00      0.00      0.20
14:25:20        all     95.70      0.00      4.00      0.00      0.00      0.30
14:25:25        all     94.51      0.00      5.09      0.00      0.00      0.40
14:25:30        all     93.58      0.00      6.12      0.00      0.00      0.30
14:25:35        all     66.50      0.00      5.12      0.00      0.00     28.39
14:25:40        all      6.05      0.00      0.81      0.20      0.00     92.94
14:25:45        all      9.94      0.00      1.84      0.20      0.00     88.01
14:25:50        all     92.31      0.00      7.19      0.00      0.00      0.50
14:25:55        all     92.70      0.00      6.70      0.10      0.00      0.50
14:26:00        all     92.37      0.00      7.03      0.00      0.00      0.60
14:26:05        all     91.59      0.00      8.11      0.00      0.00      0.30
14:26:10        all     91.68      0.00      8.02      0.00      0.00      0.30
14:26:15        all     92.69      0.00      6.81      0.00      0.00      0.50
14:26:20        all     92.99      0.00      6.71      0.00      0.00      0.30
14:26:25        all     92.79      0.00      6.81      0.00      0.00      0.40
14:26:30        all     95.39      0.00      4.41      0.00      0.00      0.20
14:26:35        all     92.19      0.00      7.21      0.00      0.00      0.60
14:26:40        all     92.79      0.00      6.91      0.00      0.00      0.30
14:26:45        all     92.09      0.00      7.41      0.00      0.00      0.50
14:26:50        all     92.30      0.00      7.50      0.00      0.00      0.20
14:26:55        all     32.13      0.00      2.41      0.00      0.00     65.46
Average:        all     82.35      0.00      5.65      0.10      0.00     11.90

14:24:50    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:24:55       174576   5552980   2186648     26.91     89168   5412924   2821780     34.72   2179648   5350260     76016
14:25:00       171416   5455696   2284048     28.11     89168   5321028   2900380     35.69   2284608   5258364       280
14:25:05       140056   5424372   2315228     28.49     89168   5321056   2928784     36.04   2316380   5258392      2272
14:25:10       116164   5400716   2338884     28.78     89168   5321292   2994124     36.84   2334532   5258628      4468
14:25:15       212552   5394000   2345660     28.86     89136   5220016   2997596     36.89   2345760   5157320     31340
14:25:20       204992   5386448   2353212     28.96     89136   5220024   2999528     36.91   2352036   5157328     35232
14:25:25       198944   5380424   2359236     29.03     89136   5220048   3001140     36.93   2356332   5157352     36240
14:25:30       191888   5373388   2366276     29.12     89140   5220064   3001448     36.93   2361184   5157372      6872
14:25:35       191888   5373408   2366256     29.12     89140   5220084   3003296     36.96   2365276   5157392      5284
14:25:40       131912   5313668   2426000     29.85     89140   5220332   3025664     37.23   2422992   5156904      5280
14:25:45       131912   5313684   2425984     29.85     89140   5220348   3026240     37.24   2423540   5156920       484
14:25:50       229916   5309996   2429872     29.90     86352   5123712   3035732     37.35   2492992   4997904     19092
14:25:55       229412   5309664   2430204     29.90     86352   5123884   3036312     37.36   2497236   4998076     35580
14:26:00       221096   5301512   2438352     30.00     86356   5124048   3039852     37.41   2501332   4998240     47084
14:26:05       220872   5301660   2438232     30.00     86356   5124416   3041208     37.42   2500336   4998612     25436
14:26:10       220620   5301644   2438248     30.00     86356   5124652   3042108     37.43   2502136   4998848     37612
14:26:15       219360   5300516   2439376     30.02     86356   5124784   3042496     37.44   2504080   4998980     46836
14:26:20       218352   5299520   2440372     30.03     86356   5124796   3042624     37.44   2504892   4998992     32176
14:26:25       218352   5299548   2440368     30.03     86356   5124824   3042884     37.44   2505244   4999020     25832
14:26:30       214572   5295792   2444124     30.08     86360   5124844   3043272     37.45   2508404   4999044     25912
14:26:35       214320   5295564   2444352     30.08     86360   5124868   3043656     37.45   2503464   4999068      1568
14:26:40       198696   5279952   2459964     30.27     86360   5124880   3044236     37.46   2515956   4999080      2512
14:26:45       142500   5223772   2516144     30.96     86360   5124896   3101716     38.17   2574800   4999096      2848
14:26:50       118496   5199788   2540128     31.26     86360   5124916   3102036     38.17   2595464   4999116       484
14:26:55       118496   5199800   2540116     31.26     86360   5124928   3102164     38.17   2591108   4999128       560
Average:       186054   5331500   2408291     29.63     87586   5186467   3018411     37.14   2441589   5088377     20292

14:24:50          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
14:24:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:24:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:24:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:24:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:24:55          sda     41.40    126.40   9830.40      0.00    240.50      0.20      4.90      3.12
14:24:55         sda1     41.40    126.40   9830.40      0.00    240.50      0.20      4.90      3.18
14:24:55        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:24:55        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:24:55        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:00          sda     82.00      0.00  17004.00   9853.60    327.53      0.65      7.96      4.74
14:25:00         sda1     82.00      0.00  17004.00   9853.60    327.53      0.65      7.96      4.96
14:25:00        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:00        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:00        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:05          sda     54.00      6.40    146.40      0.00      2.83      0.03      0.48      2.28
14:25:05         sda1     54.00      6.40    146.40      0.00      2.83      0.03      0.48      2.28
14:25:05        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:05        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:05        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:10          sda     62.20     39.20    144.00      0.00      2.95      0.03      0.38      1.74
14:25:10         sda1     62.20     39.20    144.00      0.00      2.95      0.02      0.37      1.74
14:25:10        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:10        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:10        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:15          sda     40.00      0.00    829.60      0.00     20.74      0.04      1.04      0.36
14:25:15         sda1     40.00      0.00    829.60      0.00     20.74      0.04      1.05      0.38
14:25:15        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:15        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:15        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:20          sda      0.80      0.80      3.20      0.00      5.00      0.00      1.00      0.02
14:25:20         sda1      0.80      0.80      3.20      0.00      5.00      0.00      0.75      0.02
14:25:20        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:25:20        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
