Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

14:35:35        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:35:40        all      0.20      0.00      0.20      0.00      0.00     99.60
14:35:45        all     87.96      0.00      1.81      0.00      0.00     10.23
14:35:50        all     59.86      0.00      2.10      0.00      0.00     38.04
14:35:55        all      0.30      0.00      0.10      0.00      0.00     99.60
14:36:00        all     17.07      0.00      0.40      0.00      0.00     82.53
14:36:05        all     95.50      0.00      3.00      0.00      0.00      1.50
14:36:10        all     79.12      0.00      4.12      0.00      0.00     16.77
14:36:15        all      9.05      0.00      0.70      0.20      0.00     90.05
Average:        all     43.67      0.00      1.55      0.03      0.00     54.75

14:35:35    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:35:40       425716   5555732   2185348     26.89     78020   5191312   2656180     32.68   1998580   5238760      3296
14:35:45       391168   5521192   2219824     27.32     78020   5191320   2688172     33.08   2070672   5238768      3304
14:35:50       391104   5521136   2219880     27.32     78020   5191328   2694348     33.15   2077732   5238776      3304
14:35:55       409704   5539740   2201276     27.09     78020   5191332   2694348     33.15   2064156   5238780      3100
14:36:00       409704   5539748   2201268     27.09     78020   5191340   2696280     33.18   2068224   5238788      3108
14:36:05       383808   5513872   2227144     27.41     78020   5191360   2703484     33.27   2083248   5238808      3628
14:36:10       377144   5507360   2233664     27.49     78020   5191512   2705992     33.30   2093080   5238960     26636
14:36:15       376892   5507112   2233912     27.49     78020   5191516   2706704     33.31   2097296   5238964     14996
Average:       395655   5525736   2215290     27.26     78020   5191378   2693188     33.14   2069124   5238826      7672

14:35:35          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
14:35:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:40        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:40          sda      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
14:35:40         sda1      0.20      0.00      0.80      0.00      4.00      0.00      1.00      0.00
14:35:40        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:40        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:40        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:45        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:45        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:45        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:45        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:45          sda      8.40      0.00     21.60      0.00      2.57      0.00      0.36      0.26
14:35:45         sda1      8.40      0.00     21.60      0.00      2.57      0.00      0.36      0.26
14:35:45        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:45        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:45        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:50          sda      7.60      0.00     22.40      0.00      2.95      0.00      0.37      0.20
14:35:50         sda1      7.60      0.00     22.40      0.00      2.95      0.00      0.37      0.20
14:35:50        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:50        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:50        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:55          sda      5.40      0.00     27.20      0.00      5.04      0.01      1.19      0.02
14:35:55         sda1      5.40      0.00     27.20      0.00      5.04      0.01      1.19      0.02
14:35:55        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:55        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:35:55        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:00          sda      5.80      0.00     16.00      0.00      2.76      0.00      0.34      0.20
14:36:00         sda1      5.80      0.00     16.00      0.00      2.76      0.00      0.38      0.20
14:36:00        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:00        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:00        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:05          sda     27.80      0.00    695.20      0.00     25.01      0.03      1.00      0.70
14:36:05         sda1     27.80      0.00    695.20      0.00     25.01      0.03      0.99      0.70
14:36:05        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:05        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:05        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:10          sda      1.00      0.00     17.60      0.00     17.60      0.00      0.80      0.02
14:36:10         sda1      1.00      0.00     17.60      0.00     17.60      0.00      0.80      0.02
14:36:10        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:10        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:10        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:15          sda     42.60      0.00    387.20      0.00      9.09      0.04      0.92      0.48
14:36:15         sda1     42.60      0.00    387.20      0.00      9.09      0.04      0.92      0.48
14:36:15        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:15        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:36:15        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     12.35      0.00    148.50      0.00     12.02      0.01      0.83      0.24
Average:         sda1     12.35      0.00    148.50      0.00     12.02      0.01      0.83      0.24
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
