Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

14:33:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:33:44        all      0.30      0.00      0.40      0.00      0.00     99.30
14:33:49        all     86.53      0.00      1.91      0.00      0.00     11.56
14:33:54        all     53.91      0.00      1.80      0.00      0.00     44.29
14:33:59        all      0.30      0.00      0.10      0.00      0.00     99.60
14:34:04        all      9.94      0.00      0.20      0.10      0.00     89.76
14:34:09        all     92.19      0.00      3.10      0.00      0.00      4.70
14:34:14        all     73.12      0.00      3.61      0.00      0.00     23.27
14:34:19        all      9.44      0.00      0.60      0.20      0.00     89.76
Average:        all     40.72      0.00      1.47      0.04      0.00     57.78

14:33:39    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:33:44       336032   5465404   2275704     28.00     77904   5190844   2748936     33.83   2101888   5238264      3376
14:33:49       292248   5421636   2319416     28.54     77904   5190852   2780236     34.21   2171600   5238280      3384
14:33:54       278628   5408024   2333028     28.71     77904   5190860   2785576     34.28   2177740   5238288      3392
14:33:59       292528   5421928   2319124     28.54     77904   5190864   2785576     34.28   2171888   5238292      3176
14:34:04       289788   5419200   2321856     28.57     77908   5190872   2787376     34.30   2174412   5238304       148
14:34:09       272668   5402084   2338972     28.78     77908   5190876   2793748     34.38   2192904   5238308      3456
14:34:14       264788   5394372   2346684     28.88     77908   5191044   2797576     34.42   2201568   5238476     26672
14:34:19       264536   5394124   2346964     28.88     77908   5191048   2798416     34.43   2202336   5238480     15032
Average:       286402   5415846   2325218     28.61     77906   5190908   2784680     34.27   2174292   5238336      7330

14:33:39          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
14:33:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:44          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:44         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:44        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:44        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:44        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:49          sda     12.40      0.00     33.60      0.00      2.71      0.01      0.39      0.34
14:33:49         sda1     12.40      0.00     33.60      0.00      2.71      0.00      0.39      0.34
14:33:49        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:49        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:49        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:54        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:54        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:54        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:54        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:54          sda      3.20      0.00      8.80      0.00      2.75      0.00      0.38      0.14
14:33:54         sda1      3.20      0.00      8.80      0.00      2.75      0.00      0.38      0.14
14:33:54        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:54        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:54        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:59        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:59        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:59        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:59        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:59          sda      6.20      0.00     29.60      0.00      4.77      0.01      1.06      0.02
14:33:59         sda1      6.20      0.00     29.60      0.00      4.77      0.01      1.03      0.02
14:33:59        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:59        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:33:59        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:04          sda     10.60      0.00    657.60      0.00     62.04      0.02      1.51      0.28
14:34:04         sda1     10.60      0.00    657.60      0.00     62.04      0.02      1.51      0.28
14:34:04        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:04        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:04        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:09          sda     24.60      0.00     71.20      0.00      2.89      0.01      0.34      0.72
14:34:09         sda1     24.60      0.00     71.20      0.00      2.89      0.01      0.35      0.72
14:34:09        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:09        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:09        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:14          sda      0.20      0.00      9.60      0.00     48.00      0.00      1.00      0.00
14:34:14         sda1      0.20      0.00      9.60      0.00     48.00      0.00      0.00      0.00
14:34:14        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:14        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:14        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:19          sda     42.80      0.00    388.80      0.00      9.08      0.03      0.75      0.38
14:34:19         sda1     42.80      0.00    388.80      0.00      9.08      0.03      0.75      0.40
14:34:19        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:19        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:34:19        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     12.50      0.00    149.90      0.00     11.99      0.01      0.69      0.24
Average:         sda1     12.50      0.00    149.90      0.00     11.99      0.01      0.69      0.24
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
