Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

15:22:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:22:43        all     24.46      0.00      2.17      0.86      0.00     72.51
15:22:48        all     78.36      0.00      2.31      0.00      0.00     19.33
15:22:53        all     95.39      0.00      4.01      0.00      0.00      0.60
15:22:58        all     93.74      0.00      5.56      0.00      0.00      0.70
15:23:03        all     92.17      0.00      6.93      0.00      0.00      0.90
15:23:08        all     23.10      0.00      2.30      0.15      0.00     74.45
15:23:13        all      3.18      0.00      0.55      0.00      0.00     96.27
15:23:18        all     54.60      0.00      4.73      0.10      0.00     40.57
15:23:23        all     90.49      0.00      8.46      0.05      0.00      1.00
15:23:28        all     90.14      0.00      8.71      0.00      0.00      1.15
15:23:33        all     90.32      0.00      8.63      0.00      0.00      1.05
15:23:38        all     91.37      0.00      7.68      0.00      0.00      0.95
15:23:43        all     91.13      0.00      8.12      0.00      0.00      0.75
15:23:48        all     73.85      0.00      7.62      0.50      0.00     18.04
15:23:53        all      0.10      0.00      0.10      0.00      0.00     99.80
Average:        all     66.19      0.00      5.19      0.11      0.00     28.50

15:22:38    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15:22:43      4122488  12875844   3055224     18.66     95088   8716876   3778592     23.08   3036600   8573072       348
15:22:48      3961964  12715328   3215484     19.64     95088   8716884   3942136     24.08   3201272   8573080       196
15:22:53      3886872  12640648   3290164     20.10     95088   8717296   3995852     24.41   3276524   8573492     29552
15:22:58      3876484  12630384   3300428     20.16     95088   8717420   4001224     24.44   3288728   8573616     47852
15:23:03      3894600  12648524   3282288     20.05     95088   8717444   4006032     24.47   3295176   8573640     48132
15:23:08      3897700  12651632   3279180     20.03     95088   8717452   4006420     24.47   3300540   8573648     29204
15:23:13      3798476  12552232   3378508     20.64     95096   8717288   4009616     24.49   3393708   8573492     28944
15:23:18      3771096  12525372   3405404     20.80     95096   8717808   4013944     24.52   3418492   8574012     25524
15:23:23      3772884  12527832   3402944     20.79     95096   8718480   4016540     24.53   3429324   8574684     73684
15:23:28      3765660  12520632   3410148     20.83     95096   8718504   4017708     24.54   3431840   8574708     74796
15:23:33      3767300  12522312   3408468     20.82     95096   8718544   4018416     24.55   3433148   8574748     74900
15:23:38      3768680  12523724   3407056     20.81     95096   8718576   4018932     24.55   3434396   8574780     75508
15:23:43      3765756  12520840   3409940     20.83     95100   8718612   4019448     24.55   3437216   8574820     75840
15:23:48      3749120  12504224   3426556     20.93     95100   8718632   4021048     24.56   3440020   8574840      5444
15:23:53      3753800  12508904   3421868     20.90     95100   8718640   4021048     24.56   3439976   8574840       184
Average:      3836859  12591229   3339577     20.40     95094   8717897   3992464     24.39   3350464   8574098     39341

15:22:38          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
15:22:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:43          sda     65.20      0.00  13320.80     21.60    204.64      0.54      8.25      3.58
15:22:43         sda1     65.20      0.00  13320.80     21.60    204.64      0.54      8.25      3.78
15:22:43        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:43        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:43        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:48        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:48        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:48        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:48        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:48          sda     27.00      0.00    103.20      0.00      3.82      0.01      0.27      0.50
15:22:48         sda1     27.00      0.00    103.20      0.00      3.82      0.01      0.27      0.50
15:22:48        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:48        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:48        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:53          sda     97.40     45.60    238.40      0.00      2.92      0.03      0.24      1.80
15:22:53         sda1     97.40     45.60    238.40      0.00      2.92      0.02      0.24      1.80
15:22:53        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:53        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:53        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:22:58        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:03        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:08          sda     62.00      0.00   1182.40      0.00     19.07      0.05      0.84      0.64
15:23:08         sda1     62.00      0.00   1182.40      0.00     19.07      0.05      0.84      0.64
15:23:08        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:08        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:08        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:13          sda      7.40      0.00     90.40      3.20     12.65      0.01      0.92      0.12
15:23:13         sda1      7.40      0.00     90.40      3.20     12.65      0.01      0.92      0.12
15:23:13        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:13        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:13        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:18          sda    314.40    103.20   1552.00      0.00      5.26      0.19      0.60      3.66
15:23:18         sda1    314.40    103.20   1552.00      0.00      5.26      0.19      0.60      3.70
15:23:18        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:18        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:18        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:23          sda    134.60     75.20    306.40      0.00      2.84      0.03      0.21      2.32
15:23:23         sda1    134.60     75.20    306.40      0.00      2.84      0.03      0.21      2.32
15:23:23        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:23        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:23        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:28        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:33        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:38        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:43          sda      1.60      0.00     51.20     57.60     68.00      0.00      0.75      0.06
15:23:43         sda1      1.60      0.00     51.20     57.60     68.00      0.00      0.75      0.06
15:23:43        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:43        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:43        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:48        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:48        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:48        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:48        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:48          sda    281.80      0.00   3080.80      0.00     10.93      0.18      0.65      2.08
15:23:48         sda1    281.80      0.00   3080.80      0.00     10.93      0.18      0.65      2.20
15:23:48        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:48        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:48        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:53          sda      1.60      0.00     22.40      0.00     14.00      0.00      0.88      0.00
15:23:53         sda1      1.60      0.00     22.40      0.00     14.00      0.00      0.88      0.00
15:23:53        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:53        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:23:53        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     66.20     14.93   1329.87      5.49     20.40      0.07      1.04      0.98
Average:         sda1     66.20     14.93   1329.87      5.49     20.40      0.07      1.04      1.01
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
