Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

15:20:35        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:20:40        all     27.39      0.00      2.03      0.91      0.00     69.67
15:20:45        all     78.77      0.00      2.36      0.05      0.00     18.81
15:20:50        all     94.84      0.00      4.25      0.00      0.00      0.90
15:20:55        all     93.38      0.00      5.71      0.00      0.00      0.90
15:21:00        all     88.18      0.00      7.81      0.00      0.00      4.01
15:21:05        all      2.86      0.00      0.35      0.15      0.00     96.64
15:21:10        all      4.39      0.00      0.86      0.00      0.00     94.76
15:21:15        all     61.13      0.00      5.49      0.10      0.00     33.28
15:21:20        all     90.58      0.00      8.17      0.05      0.00      1.20
15:21:25        all     88.63      0.00      9.51      0.00      0.00      1.85
15:21:30        all     89.71      0.00      8.98      0.00      0.00      1.30
15:21:35        all     89.82      0.00      8.27      0.00      0.00      1.90
15:21:40        all     90.13      0.00      8.77      0.05      0.00      1.05
15:21:45        all     67.10      0.00      7.89      0.50      0.00     24.51
15:21:50        all      0.15      0.00      0.10      0.00      0.00     99.75
Average:        all     64.51      0.00      5.37      0.12      0.00     29.99

15:20:35    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15:20:40      4754428  13506984   2424352     14.81     94852   8716384   3093220     18.89   2377396   8572472      1948
15:20:45      4663060  13415624   2515384     15.36     94852   8716392   3214828     19.64   2490832   8572480      1808
15:20:50      4631284  13384192   2546816     15.56     94852   8716736   3256284     19.89   2531844   8572824     34180
15:20:55      4611992  13365092   2565916     15.67     94852   8716928   3264596     19.94   2548764   8573016     49016
15:21:00      4466344  13219468   2711512     16.56     94852   8716952   3410440     20.83   2714732   8573040     49616
15:21:05      4493488  13246620   2684360     16.40     94852   8716960   3410568     20.83   2703616   8573048     30624
15:21:10      4396788  13149752   2781220     16.99     94856   8716800   3418964     20.88   2801692   8572888     28748
15:21:15      4397236  13150336   2780544     16.98     94856   8716932   3422960     20.91   2795664   8573024     13364
15:21:20      4386772  13140056   2790848     17.05     94856   8717116   3424056     20.92   2809084   8573208     33260
15:21:25      4384752  13138212   2792692     17.06     94856   8717292   3426056     20.93   2811784   8573384     46796
15:21:30      4383056  13136892   2794012     17.07     94856   8717668   3427404     20.94   2820576   8573760     59332
15:21:35      4234484  12988556   2942348     17.97     94856   8717904   3565788     21.78   2959732   8573996     69772
15:21:40      4234176  12988464   2942440     17.97     94860   8718116   3566304     21.78   2962308   8574212     76316
15:21:45      4098668  12852988   3078048     18.80     94864   8718144   3697132     22.58   3097664   8574244      5420
15:21:50      4098668  12852988   3078040     18.80     94864   8718152   3697132     22.58   3097708   8574244       192
Average:      4415680  13169082   2761902     16.87     94856   8717232   3419715     20.89   2768226   8573323     33359

15:20:35          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
15:20:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:40        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:40          sda     60.00      0.00  13300.80     57.60    222.64      0.88     14.68      3.76
15:20:40         sda1     60.00      0.00  13300.80     57.60    222.64      0.88     14.68      3.84
15:20:40        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:40        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:40        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:45        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:45        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:45        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:45        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:45          sda     37.80      0.00    132.80      0.00      3.51      0.01      0.26      0.68
15:20:45         sda1     37.80      0.00    132.80      0.00      3.51      0.01      0.26      0.68
15:20:45        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:45        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:45        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:50          sda     65.60     31.20    157.60      0.00      2.88      0.02      0.27      1.34
15:20:50         sda1     65.60     31.20    157.60      0.00      2.88      0.02      0.27      1.34
15:20:50        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:50        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:50        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:55          sda     21.00     14.40     48.80      0.00      3.01      0.01      0.26      0.44
15:20:55         sda1     21.00     14.40     48.80      0.00      3.01      0.01      0.26      0.44
15:20:55        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:20:55        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
