Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

15:28:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:28:24        all      0.10      0.00      0.10      0.00      0.00     99.80
15:28:29        all     76.62      0.00      1.91      0.00      0.00     21.48
15:28:34        all      0.90      0.00      0.00      0.00      0.00     99.10
15:28:39        all      0.05      0.00      0.05      0.00      0.00     99.90
15:28:44        all     81.59      0.00      3.36      0.05      0.00     14.99
15:28:49        all      9.57      0.00      1.00      0.00      0.00     89.43
Average:        all     28.11      0.00      1.07      0.01      0.00     70.81

15:28:19    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15:28:24      4972420  13728168   2202668     13.45     95636   8718336   2686240     16.41   2189928   8574528      2916
15:28:29      4908932  13664700   2266028     13.84     95636   8718344   2751848     16.81   2277544   8574548      2920
15:28:34      4929528  13685296   2245424     13.72     95636   8718352   2751848     16.81   2265012   8574548      2928
15:28:39      4940120  13695888   2234828     13.65     95636   8718356   2752104     16.81   2265260   8574548      2932
15:28:44      4900208  13656116   2274612     13.89     95636   8718484   2765212     16.89   2303408   8574688     14356
15:28:49      4909300  13665248   2265468     13.84     95640   8718532   2767772     16.91   2298864   8574728     21568
Average:      4926751  13682569   2248171     13.73     95637   8718401   2745837     16.77   2266669   8574598      7937

15:28:19          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
15:28:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:24          sda      0.40      0.00     31.20      0.00     78.00      0.00      1.00      0.02
15:28:24         sda1      0.40      0.00     31.20      0.00     78.00      0.00      1.00      0.02
15:28:24        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:24        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:24        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:29          sda     15.40      0.00     42.40      0.00      2.75      0.01      0.34      0.26
15:28:29         sda1     15.40      0.00     42.40      0.00      2.75      0.01      0.34      0.26
15:28:29        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:29        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:29        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:34          sda      0.40      0.00      0.80      0.00      2.00      0.00      0.00      0.02
15:28:34         sda1      0.40      0.00      0.80      0.00      2.00      0.00      0.00      0.02
15:28:34        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:34        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:34        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:39        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:44        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:44        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:44        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:44        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:44          sda     54.00      0.00    540.80      0.00     10.01      0.07      1.31      0.84
15:28:44         sda1     54.00      0.00    540.80      0.00     10.01      0.07      1.31      0.84
15:28:44        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:44        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:44        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:49        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:49        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:49        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:49        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:49          sda      2.20      0.00     33.60      0.80     15.64      0.00      0.36      0.08
15:28:49         sda1      2.20      0.00     33.60      0.80     15.64      0.00      0.36      0.08
15:28:49        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:49        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:28:49        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     12.07      0.00    108.13      0.13      8.97      0.01      1.07      0.20
Average:         sda1     12.07      0.00    108.13      0.13      8.97      0.01      1.07      0.20
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
