Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

15:24:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:24:53        all      0.10      0.00      0.15      0.00      0.00     99.75
15:24:58        all     17.53      0.00      0.60      0.10      0.00     81.77
15:25:03        all     28.21      0.00      0.85      0.05      0.00     70.89
15:25:08        all     29.38      0.00      0.70      0.00      0.00     69.91
15:25:13        all     12.73      0.00      0.45      0.00      0.00     86.82
15:25:18        all      0.05      0.00      0.05      0.00      0.00     99.90
15:25:23        all      1.60      0.00      0.10      0.05      0.00     98.25
15:25:28        all     28.84      0.00      0.90      0.00      0.00     70.26
15:25:33        all     12.93      0.00      0.50      0.00      0.00     86.57
15:25:38        all     14.09      0.00      1.05      0.00      0.00     84.85
15:25:43        all      7.97      0.00      0.40      0.15      0.00     91.48
15:25:48        all     12.69      0.00      0.60      0.00      0.00     86.70
15:25:53        all      0.25      0.00      0.15      0.00      0.00     99.60
Average:        all     12.79      0.00      0.50      0.03      0.00     86.68

15:24:48    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15:24:53      4952896  13707044   2223908     13.58     95292   8717400   2666636     16.29   2176124   8573664      2988
15:24:58      4967072  13721228   2209740     13.50     95296   8717408   2688752     16.42   2206668   8573672       200
15:25:03      4922276  13676452   2254504     13.77     95300   8717420   2724108     16.64   2253668   8573692      2096
15:25:08      4915636  13669816   2261108     13.81     95300   8717424   2736868     16.72   2274580   8573696      2100
15:25:13      4912312  13666500   2264424     13.83     95300   8717432   2750260     16.80   2282680   8573704      2108
15:25:18      4918520  13672716   2258208     13.79     95300   8717440   2750328     16.80   2282848   8573712      1936
15:25:23      4916840  13671044   2259880     13.80     95300   8717448   2750968     16.80   2285308   8573720         0
15:25:28      4872352  13626564   2304360     14.08     95300   8717456   2755728     16.83   2309364   8573728      1796
15:25:33      4878948  13633168   2297756     14.04     95300   8717464   2758180     16.85   2321476   8573736      3104
15:25:38      4863968  13618244   2312680     14.13     95300   8717520   2768724     16.91   2340248   8573792     20304
15:25:43      4859776  13614060   2316864     14.15     95300   8717528   2770008     16.92   2346992   8573800     20312
15:25:48      4849192  13603500   2327424     14.22     95300   8717552   2771748     16.93   2357020   8573824     21264
15:25:53      4847284  13601592   2329324     14.23     95300   8717560   2771748     16.93   2357020   8573824     21272
Average:      4898236  13652456   2278475     13.92     95299   8717466   2743389     16.76   2291846   8573736      7652

15:24:48          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
15:24:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:53          sda      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.02
15:24:53         sda1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.02
15:24:53        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:53        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:53        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:58          sda     11.20      0.00    606.40      0.00     54.14      0.02      1.54      0.30
15:24:58         sda1     11.20      0.00    606.40      0.00     54.14      0.02      1.54      0.30
15:24:58        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:58        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:24:58        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:03          sda      3.00      0.00     16.00      0.00      5.33      0.00      0.33      0.12
15:25:03         sda1      3.00      0.00     16.00      0.00      5.33      0.00      0.33      0.12
15:25:03        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:03        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:03        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:08          sda      4.80      0.00     14.40      0.00      3.00      0.00      0.33      0.04
15:25:08         sda1      4.80      0.00     14.40      0.00      3.00      0.00      0.33      0.04
15:25:08        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:08        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:08        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:25:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
