Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

16:10:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:10:18        all      3.56      0.00      1.14      0.00      0.00     95.30
16:10:23        all     82.32      0.00      2.80      0.03      0.00     14.86
16:10:28        all     88.93      0.00      6.01      0.08      0.00      4.98
16:10:33        all     44.56      0.00      5.02      0.00      0.00     50.43
16:10:38        all      1.76      0.00      0.43      0.00      0.00     97.82
16:10:43        all     23.55      0.00      2.43      0.05      0.00     73.97
16:10:48        all     86.58      0.00     10.71      0.15      0.00      2.56
16:10:53        all     86.46      0.00     11.11      0.03      0.00      2.41
16:10:58        all     84.39      0.00     11.17      0.00      0.00      4.43
16:11:03        all     50.30      0.00      6.70      0.00      0.00     43.00
16:11:08        all      1.10      0.00      0.13      0.00      0.00     98.77
Average:        all     50.37      0.00      5.25      0.03      0.00     44.35

16:10:13    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
16:10:18     20733496  29344768   2927856      8.91     79280   8716940   3966704     12.07   2820412   8557796       396
16:10:23     20487500  29098780   3173312      9.66     79280   8716948   4287456     13.05   3102800   8557804      9072
16:10:28     20200012  28811852   3460240     10.53     79280   8717508   4542904     13.82   3389720   8558364     50636
16:10:33     20194456  28806332   3465760     10.55     79280   8717544   4547044     13.84   3387960   8558400     51824
16:10:38     20097912  28709604   3562356     10.84     79280   8717376   4551128     13.85   3497288   8558232     51780
16:10:43     20060772  28672652   3599208     10.95     79284   8717564   4557736     13.87   3521900   8558420     39552
16:10:48     20057300  28670232   3601628     10.96     79284   8718616   4562604     13.88   3529208   8559472     94724
16:10:53     20056828  28669804   3602220     10.96     79284   8718656   4564452     13.89   3539824   8559516     24312
16:10:58     19759080  28372108   3899916     11.87     79284   8718708   4840836     14.73   3831352   8559568     24932
16:11:03     19744040  28357104   3914920     11.91     79284   8718744   4841220     14.73   3839944   8559604     25288
16:11:08     19722508  28335572   3936472     11.98     79284   8718756   4857824     14.78   3871764   8559604     25300
Average:     20101264  28713528   3558535     10.83     79282   8717942   4556355     13.87   3484743   8558798     36165

16:10:13          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
16:10:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:18          sda      6.20      0.00    545.60      0.00     88.00      0.01      1.58      0.14
16:10:18         sda1      6.20      0.00    545.60      0.00     88.00      0.01      1.58      0.14
16:10:18        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:18        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:18        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:23          sda     32.40      0.00    119.20      0.00      3.68      0.01      0.35      1.02
16:10:23         sda1     32.40      0.00    119.20      0.00      3.68      0.01      0.35      1.02
16:10:23        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:23        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:23        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:28        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:28        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:28          sda     92.00     45.60    222.40      0.00      2.91      0.03      0.35      3.20
16:10:28         sda1     92.00     45.60    222.40      0.00      2.91      0.03      0.35      3.20
16:10:28        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:28        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:28        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:33        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:38        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:38        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:38        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:38        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:38          sda      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.06
16:10:38         sda1      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.06
16:10:38        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:38        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:38        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:43          sda    127.00     30.40   1386.40    475.20     14.90      0.22      1.75      2.14
16:10:43         sda1    127.00     30.40   1386.40    475.20     14.90      0.22      1.74      2.18
16:10:43        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:43        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:43        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:48        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:48        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:48        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:48        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:48          sda    263.00    148.00    627.20      0.00      2.95      0.09      0.32      7.68
16:10:48         sda1    263.00    148.00    627.20      0.00      2.95      0.08      0.32      7.68
16:10:48        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:48        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:48        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:53          sda    272.60      0.00   2424.00      0.00      8.89      0.24      0.89      1.74
16:10:53         sda1    272.60      0.00   2424.00      0.00      8.89      0.24      0.89      1.86
16:10:53        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:53        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:53        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:10:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
