Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

16:08:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:08:28        all      3.37      0.00      1.22      0.00      0.00     95.42
16:08:33        all     73.54      0.00      2.62      0.00      0.00     23.83
16:08:38        all     91.24      0.00      5.92      0.10      0.00      2.74
16:08:43        all     46.70      0.00      5.52      0.03      0.00     47.75
16:08:48        all      1.76      0.00      0.35      0.00      0.00     97.89
16:08:53        all      9.01      0.00      1.32      0.10      0.00     89.57
16:08:58        all     42.97      0.00      4.98      0.15      0.00     51.89
16:09:03        all     34.11      0.00      4.45      0.15      0.00     61.29
16:09:08        all     40.56      0.00      4.77      0.25      0.00     54.41
16:09:13        all     41.19      0.00      5.16      0.28      0.00     53.37
16:09:18        all     49.87      0.00      5.09      0.20      0.00     44.83
16:09:23        all     30.79      0.00      3.95      0.08      0.00     65.18
16:09:28        all      0.08      0.00      0.00      0.03      0.00     99.90
Average:        all     35.79      0.00      3.49      0.10      0.00     60.62

16:08:23    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
16:08:28     20771184  29381520   2891592      8.80     79012   8716428   3990724     12.14   2798308   8557144       364
16:08:33     20506436  29116788   3155796      9.60     79012   8716444   4253468     12.94   3070044   8557160      4652
16:08:38     20455284  29066056   3206492      9.76     79012   8716868   4299876     13.09   3127684   8557580     44536
16:08:43     20214372  28825304   3447248     10.49     79012   8717024   4533900     13.80   3356892   8557740     51412
16:08:48     20103800  28714496   3557924     10.83     79012   8716856   4541084     13.82   3463612   8557568     51376
16:08:53     20075336  28686092   3586296     10.91     79016   8716912   4550768     13.85   3483920   8557628     32056
16:08:58     20082812  28693776   3578612     10.89     79016   8717112   4552892     13.86   3479136   8557832     54308
16:09:03     20095156  28706272   3566116     10.85     79016   8717264   4554632     13.86   3486728   8557984     65812
16:09:08     20076664  28687984   3584436     10.91     79016   8717468   4556244     13.87   3506140   8558188     33932
16:09:13     20078552  28690284   3582132     10.90     79016   8717880   4556956     13.87   3514204   8558600     52544
16:09:18     20041260  28653252   3619164     11.01     79016   8718140   4557856     13.87   3545876   8558860     63676
16:09:23     20053960  28666064   3606352     10.97     79016   8718244   4558484     13.87   3537316   8558964     64276
16:09:28     20053736  28665840   3606528     10.98     79020   8718256   4558484     13.87   3537372   8558964     45004
Average:     20200658  28811825   3460668     10.53     79015   8717300   4466567     13.59   3377479   8558016     43381

16:08:23          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
16:08:28        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:28        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:28        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:28        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:28          sda      0.80      0.00      4.80      0.00      6.00      0.00      0.75      0.00
16:08:28         sda1      0.80      0.00      4.80      0.00      6.00      0.00      0.75      0.00
16:08:28        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:28        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:28        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:33        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:33        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:33        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:33        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:33          sda     40.20      0.00    140.00      0.00      3.48      0.02      0.34      1.32
16:08:33         sda1     40.20      0.00    140.00      0.00      3.48      0.01      0.34      1.32
16:08:33        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:33        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:33        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:38        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:38        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:38        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:38        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:38          sda     63.60     31.20    151.20      0.00      2.87      0.03      0.36      2.28
16:08:38         sda1     63.60     31.20    151.20      0.00      2.87      0.02      0.36      2.28
16:08:38        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:38        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:38        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:08:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
