Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

16:15:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:15:27        all      0.05      0.00      0.08      0.00      0.00     99.87
16:15:32        all     52.91      0.00      1.21      0.03      0.00     45.85
16:15:37        all      1.68      0.00      0.05      0.00      0.00     98.27
16:15:42        all      0.08      0.00      0.05      0.00      0.00     99.87
16:15:47        all     49.10      0.00      2.48      0.10      0.00     48.32
16:15:52        all      0.10      0.00      0.08      0.00      0.00     99.82
Average:        all     17.28      0.00      0.66      0.02      0.00     82.05

16:15:22    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
16:15:27     20743880  29357876   2914148      8.87     80072   8718480   3457068     10.52   2819400   8559572      2888
16:15:32     20680160  29294180   2977628      9.06     80072   8718488   3560396     10.83   2916720   8559596      2896
16:15:37     20682760  29296788   2975016      9.05     80072   8718500   3560460     10.84   2916952   8559604      2896
16:15:42     20691620  29305648   2966144      9.03     80072   8718512   3560460     10.84   2916952   8559604      2908
16:15:47     20625192  29239340   3032412      9.23     80080   8718616   3578100     10.89   2976364   8559724     18048
16:15:52     20628232  29242388   3029360      9.22     80080   8718628   3595068     10.94   2976460   8559732     14920
Average:     20675307  29289370   2982451      9.08     80075   8718537   3551925     10.81   2920475   8559639      7426

16:15:22          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
16:15:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:27          sda      0.60      0.00     32.00      0.00     53.33      0.00      0.67      0.02
16:15:27         sda1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.02
16:15:27        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:27        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:27        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:32          sda     15.57      0.00     42.32      0.00      2.72      0.01      0.33      0.46
16:15:32         sda1     15.57      0.00     42.32      0.00      2.72      0.01      0.33      0.46
16:15:32        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:32        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:32        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:37          sda      0.60      0.00      2.40      0.00      4.00      0.00      0.67      0.00
16:15:37         sda1      0.60      0.00      2.40      0.00      4.00      0.00      0.67      0.00
16:15:37        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:37        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:37        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:42        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:47          sda     64.40      0.00    620.80     12.80      9.84      0.09      1.43      1.16
16:15:47         sda1     64.40      0.00    620.80     12.80      9.84      0.09      1.43      1.18
16:15:47        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:47        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:47        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:52          sda      1.20      0.00     10.40      0.00      8.67      0.00      1.00      0.02
16:15:52         sda1      1.20      0.00     10.40      0.00      8.67      0.00      0.83      0.02
16:15:52        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:52        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:15:52        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     13.73      0.00    117.96      2.13      8.75      0.02      1.20      0.28
Average:         sda1     13.73      0.00    117.96      2.13      8.75      0.02      1.20      0.28
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
