Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

17:21:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:21:35        all      0.03      0.00      0.03      0.00      0.00     99.95
17:21:40        all      3.62      0.00      0.29      0.01      0.00     96.08
17:21:45        all      7.97      0.00      0.45      0.01      0.00     91.57
17:21:50        all      8.43      0.00      0.35      0.00      0.00     91.22
17:21:55        all      2.32      0.00      0.20      0.01      0.00     97.47
17:22:00        all      0.03      0.00      0.03      0.00      0.00     99.95
17:22:05        all      0.33      0.00      0.05      0.00      0.00     99.62
17:22:10        all      5.62      0.00      0.34      0.00      0.00     94.05
17:22:15        all      2.23      0.00      0.16      0.04      0.00     97.57
17:22:20        all      3.59      0.00      0.34      0.00      0.00     96.07
17:22:25        all      2.40      0.00      0.19      0.03      0.00     97.38
17:22:30        all      2.74      0.00      0.23      0.00      0.00     97.03
17:22:35        all      0.01      0.00      0.04      0.01      0.00     99.94
Average:        all      3.02      0.00      0.21      0.01      0.00     96.76

17:21:30    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
17:21:35     51615148  59885956   3996804      6.16     76032   8718636   4622672      7.13   3880612   8556216       280
17:21:40     51568304  59839116   4043632      6.24     76032   8718652   4642888      7.16   3936900   8556220       144
17:21:45     51500852  59771696   4111068      6.34     76032   8718668   4668060      7.20   4012820   8556252       160
17:21:50     51474704  59745564   4137152      6.38     76032   8718684   4686084      7.23   4042448   8556268       176
17:21:55     51496720  59767580   4115100      6.35     76040   8718696   4689924      7.23   4037500   8556268       100
17:22:00     51503920  59774780   4107876      6.34     76040   8718720   4689924      7.23   4037472   8556268       220
17:22:05     51508112  59778972   4103668      6.33     76040   8718736   4689924      7.23   4033644   8556268       116
17:22:10     51484416  59755352   4127348      6.37     76040   8718752   4697520      7.24   4070676   8556344      2048
17:22:15     51478280  59749224   4133464      6.37     76040   8718768   4699068      7.25   4078308   8556352      3352
17:22:20     51476316  59747332   4135356      6.38     76040   8718840   4700096      7.25   4083016   8556424     21720
17:22:25     51477376  59748408   4134280      6.38     76040   8718856   4703924      7.25   4086168   8556440     21736
17:22:30     51458720  59729772   4152900      6.40     76044   8718888   4705472      7.26   4107836   8556460     22708
17:22:35     51459208  59730260   4152396      6.40     76044   8718904   4705472      7.26   4107784   8556460     22724
Average:     51500160  59771078   4111619      6.34     76038   8718754   4684694      7.22   4039630   8556326      7345

17:21:30          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
17:21:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:35      nvme0n1      7.00      0.00    624.00      0.00     89.14      0.01      1.43      0.16
17:21:35    nvme0n1p1      7.00      0.00    624.00      0.00     89.14      0.01      1.43      0.16
17:21:35    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:35    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:35    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:40        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:40      nvme0n1      6.40      0.00     45.60      0.00      7.12      0.00      0.38      0.18
17:21:40    nvme0n1p1      6.40      0.00     45.60      0.00      7.12      0.00      0.38      0.18
17:21:40    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:40    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:40    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:45        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:45        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:45        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:45        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:45      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.08
17:21:45    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.08
17:21:45    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:45    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:45    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:50      nvme0n1      4.80      0.00     14.40      0.00      3.00      0.00      0.38      0.20
17:21:50    nvme0n1p1      4.80      0.00     14.40      0.00      3.00      0.00      0.42      0.20
17:21:50    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:50    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:50    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:55      nvme0n1      5.00      0.00     40.00      0.00      8.00      0.01      1.00      0.12
17:21:55    nvme0n1p1      5.00      0.00     40.00      0.00      8.00      0.00      0.96      0.12
17:21:55    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:55    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:21:55    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:00      nvme0n1      0.60      0.00      2.40      0.00      4.00      0.00      0.67      0.02
17:22:00    nvme0n1p1      0.60      0.00      2.40      0.00      4.00      0.00      0.67      0.02
17:22:00    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:00    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:00    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:05      nvme0n1      2.20      0.00     29.60      0.00     13.45      0.00      0.45      0.10
17:22:05    nvme0n1p1      2.20      0.00     29.60      0.00     13.45      0.00      0.55      0.10
17:22:05    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:05    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:05    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:10      nvme0n1      3.60      0.00      9.60      0.00      2.67      0.00      0.39      0.14
17:22:10    nvme0n1p1      3.60      0.00      9.60      0.00      2.67      0.00      0.33      0.14
17:22:10    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:10    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:10    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:15      nvme0n1      3.20      0.00      8.80      0.00      2.75      0.00      0.38      0.12
17:22:15    nvme0n1p1      3.20      0.00      8.80      0.00      2.75      0.00      0.44      0.12
17:22:15    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:15    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:15    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:20      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
17:22:20    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
17:22:20    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:20    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:20    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:25      nvme0n1     12.40      0.00     36.80      0.00      2.97      0.00      0.34      0.40
17:22:25    nvme0n1p1     12.40      0.00     36.80      0.00      2.97      0.00      0.34      0.40
17:22:25    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:25    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:25    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:30        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:30        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:30        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:30        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:30      nvme0n1      8.00      0.00     40.80      0.00      5.10      0.01      0.62      0.16
17:22:30    nvme0n1p1      8.00      0.00     40.80      0.00      5.10      0.00      0.62      0.16
17:22:30    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:30    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:22:30    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
