Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

17:20:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:20:07        all      1.58      0.00      0.91      0.00      0.00     97.50
17:20:12        all     73.88      0.00      3.42      0.03      0.00     22.67
17:20:17        all     40.56      0.00      4.26      0.14      0.00     55.05
17:20:22        all      0.67      0.00      0.31      0.00      0.00     99.02
17:20:27        all     19.39      0.00      2.40      0.01      0.00     78.20
17:20:32        all     81.07      0.00     12.78      0.15      0.00      6.00
17:20:37        all     60.11      0.00     10.51      0.00      0.00     29.38
17:20:42        all      0.06      0.00      0.08      0.14      0.00     99.72
Average:        all     34.63      0.00      4.33      0.06      0.00     60.98

17:20:02    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
17:20:07     51393232  59662868   4220548      6.51     75596   8717900   5877708      9.06   4109720   8555388      3092
17:20:12     50882228  59151952   4730460      7.30     75596   8717988   6471864      9.98   4631308   8555476     15504
17:20:17     50865620  59135836   4746544      7.32     75596   8718480   6486948     10.00   4653452   8555968     50352
17:20:22     50763884  59033928   4848276      7.48     75596   8718396   6508796     10.04   4775824   8555808     50320
17:20:27     50717944  58988276   4893972      7.55     75596   8718608   6529732     10.07   4823492   8556020     59260
17:20:32     50691244  58962708   4919540      7.59     75604   8719740   6536400     10.08   4846156   8557152     96992
17:20:37     50210476  58482020   5400236      8.33     75604   8719812   7006568     10.81   5312228   8557232     93552
17:20:42     50219812  58491372   5390912      8.31     75604   8719832   7006640     10.81   5309236   8557248     12932
Average:     50718055  58988620   4893811      7.55     75599   8718844   6553082     10.11   4807677   8556286     47750

17:20:02          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
17:20:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:07      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:07    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:12      nvme0n1     30.00      0.00    621.60      0.00     20.72      0.03      0.90      0.90
17:20:12    nvme0n1p1     30.00      0.00    621.60      0.00     20.72      0.03      0.91      0.90
17:20:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:20:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
