Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

17:18:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:18:22        all      1.69      0.00      0.93      0.01      0.00     97.38
17:18:27        all     56.42      0.00      3.98      0.09      0.00     39.51
17:18:32        all     26.62      0.00      3.35      0.08      0.00     69.95
17:18:37        all      4.53      0.00      0.75      0.04      0.00     94.68
17:18:42        all      0.52      0.00      0.40      0.00      0.00     99.08
17:18:47        all      7.88      0.00      1.61      0.10      0.00     90.41
17:18:52        all     14.74      0.00      2.51      0.11      0.00     82.63
17:18:57        all     15.64      0.00      2.74      0.06      0.00     81.55
17:19:02        all     13.47      0.00      2.45      0.15      0.00     83.93
17:19:07        all     16.19      0.00      2.52      0.09      0.00     81.20
17:19:12        all     17.43      0.00      3.03      0.10      0.00     79.43
17:19:17        all      5.60      0.00      0.86      0.04      0.00     93.51
Average:        all     14.99      0.00      2.09      0.07      0.00     82.84

17:18:17    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
17:18:22     51335256  59603624   4280892      6.60     75176   8717204   5853880      9.03   4054084   8554520       364
17:18:27     51010268  59278820   4605096      7.10     75176   8717380   6239772      9.62   4392988   8554704     25756
17:18:32     51052816  59321668   4562248      7.04     75176   8717680   6247596      9.63   4413268   8555004     45508
17:18:37     51085148  59354128   4529820      6.99     75176   8717808   6247920      9.64   4406372   8555132     49804
17:18:42     51013876  59282696   4601180      7.10     75176   8717648   6251156      9.64   4515660   8554972     49772
17:18:47     51012960  59281880   4601996      7.10     75176   8717748   6251604      9.64   4533668   8555072     43868
17:18:52     50997232  59266340   4617496      7.12     75184   8717936   6261712      9.66   4553600   8555260     58000
17:18:57     50974644  59243948   4639752      7.16     75184   8718124   6278956      9.68   4575720   8555456     26320
17:19:02     50953632  59223276   4660420      7.19     75184   8718468   6292808      9.70   4578632   8555796     45268
17:19:07     50936096  59206052   4677644      7.21     75184   8718780   6293648      9.71   4601532   8556108     59048
17:19:12     50940456  59210684   4673012      7.21     75184   8719052   6294292      9.71   4601240   8556380     70544
17:19:17     50943176  59213480   4670216      7.20     75184   8719128   6295752      9.71   4601160   8556456     70368
Average:     51021297  59290550   4593314      7.08     75180   8718080   6234091      9.61   4485660   8555405     45385

17:18:17          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
17:18:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:22      nvme0n1      5.60      0.00    522.40     60.80    104.14      0.01      2.07      0.16
17:18:22    nvme0n1p1      5.60      0.00    522.40     60.80    104.14      0.01      2.07      0.18
17:18:22    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:22    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:22    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:27      nvme0n1     45.20      0.00    128.00      0.00      2.83      0.02      0.36      1.60
17:18:27    nvme0n1p1     45.20      0.00    128.00      0.00      2.83      0.02      0.36      1.60
17:18:27    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:27    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:27    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:32      nvme0n1     64.00     34.40    178.40      0.00      3.33      0.02      0.33      2.12
17:18:32    nvme0n1p1     64.00     34.40    178.40      0.00      3.33      0.02      0.33      2.12
17:18:32    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:32    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:32    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:37      nvme0n1     16.00     11.20     37.60      0.00      3.05      0.01      0.31      0.58
17:18:37    nvme0n1p1     16.00     11.20     37.60      0.00      3.05      0.00      0.29      0.58
17:18:37    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:37    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:37    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:42      nvme0n1      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.08
17:18:42    nvme0n1p1      1.00      0.00     20.00      0.00     20.00      0.00      0.80      0.10
17:18:42    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:42    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:42    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:47      nvme0n1     90.80     15.20   1156.00      0.00     12.90      0.07      0.76      1.40
17:18:47    nvme0n1p1     90.80     15.20   1156.00      0.00     12.90      0.07      0.76      1.42
17:18:47    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:47    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:47    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:52      nvme0n1     59.20     31.20    196.80    140.00      6.22      0.02      0.38      2.00
17:18:52    nvme0n1p1     59.20     31.20    196.80    140.00      6.22      0.02      0.37      2.00
17:18:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:57      nvme0n1    207.00     22.40   1512.00      0.00      7.41      0.44      2.11      1.66
17:18:57    nvme0n1p1    207.00     22.40   1512.00      0.00      7.41      0.44      2.11      1.78
17:18:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:18:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:02      nvme0n1     57.00     34.40    132.00      0.00      2.92      0.02      0.32      1.72
17:19:02    nvme0n1p1     57.00     34.40    132.00      0.00      2.92      0.02      0.32      1.72
17:19:02    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:02    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:02    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:07      nvme0n1     65.80     37.60    150.40      0.00      2.86      0.02      0.30      2.04
17:19:07    nvme0n1p1     65.80     37.60    150.40      0.00      2.86      0.02      0.30      2.04
17:19:07    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:07    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:07    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:12      nvme0n1     53.60     29.60    152.00      0.00      3.39      0.02      0.32      1.66
17:19:12    nvme0n1p1     53.60     29.60    152.00      0.00      3.39      0.02      0.32      1.66
17:19:12    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:12    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:12    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:17      nvme0n1     33.60      8.00    415.20      0.00     12.60      0.04      1.04      0.52
17:19:17    nvme0n1p1     33.60      8.00    415.20      0.00     12.60      0.04      1.04      0.52
17:19:17    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:17    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:19:17    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
