Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

15:02:10        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:02:15        all      0.20      0.00      0.10      0.00      0.00     99.70
15:02:20        all     86.76      0.00      2.21      0.00      0.00     11.03
15:02:25        all     44.78      0.00      1.71      0.00      0.00     53.51
15:02:30        all      0.30      0.00      0.20      0.00      0.00     99.50
15:02:35        all     32.53      0.00      1.31      0.00      0.00     66.16
15:02:40        all     87.09      0.00      4.30      0.10      0.00      8.51
15:02:45        all     46.27      0.00      2.22      0.00      0.00     51.51
15:02:50        all      0.20      0.00      0.10      0.00      0.00     99.70
Average:        all     37.27      0.00      1.52      0.01      0.00     61.20

15:02:10    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15:02:15       320496   5188000   2093164     27.32     44504   4966212   2555720     33.35   1936620   4962924      2392
15:02:20       264616   5132132   2148944     28.05     44504   4966216   2588520     33.78   2003320   4962936      2396
15:02:25       254976   5122500   2158580     28.17     44504   4966224   2594032     33.85   2017316   4962944      2404
15:02:30       284784   5152308   2128764     27.78     44504   4966232   2594032     33.85   2004288   4962944      2188
15:02:35       275968   5143504   2137576     27.90     44504   4966236   2598408     33.91   2009016   4962956        52
15:02:40       271896   5139600   2141476     27.95     44512   4966400   2603428     33.98   2017164   4963124     23284
15:02:45       263920   5131644   2149436     28.05     44512   4966416   2606264     34.01   2026020   4963144     20904
15:02:50       263920   5131644   2149428     28.05     44512   4966424   2606264     34.01   2026020   4963144     20916
Average:       275072   5142666   2138421     27.91     44507   4966295   2593334     33.84   2004970   4963014      9317

15:02:10          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
15:02:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:15      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:15    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:15    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:15    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:15    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:20      nvme0n1     12.40      0.00     33.60      0.00      2.71      0.00      0.31      0.30
15:02:20    nvme0n1p1     12.40      0.00     33.60      0.00      2.71      0.00      0.32      0.30
15:02:20    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:20    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:20    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:02:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
