Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

14:55:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:55:11        all     82.76      0.00      6.65      0.91      0.00      9.68
14:55:16        all     89.03      0.00      4.83      1.71      0.00      4.43
14:55:21        all     93.98      0.00      5.62      0.10      0.00      0.30
14:55:26        all     96.70      0.00      3.00      0.10      0.00      0.20
14:55:31        all     92.47      0.00      6.73      0.60      0.00      0.20
14:55:36        all     94.18      0.00      4.81      0.40      0.00      0.60
14:55:41        all     93.68      0.00      5.72      0.10      0.00      0.50
14:55:46        all     91.69      0.00      7.51      0.50      0.00      0.30
14:55:51        all     17.55      0.00      1.60      0.30      0.00     80.54
14:55:56        all      5.20      0.00      1.02      0.00      0.00     93.78
14:56:01        all     63.10      0.00      5.34      0.10      0.00     31.45
14:56:06        all     90.50      0.00      8.80      0.30      0.00      0.40
14:56:11        all     90.18      0.00      8.42      0.50      0.00      0.90
14:56:16        all     90.66      0.00      8.53      0.40      0.00      0.40
14:56:21        all     91.07      0.00      8.02      0.30      0.00      0.60
14:56:26        all     91.46      0.00      7.34      0.50      0.00      0.70
14:56:31        all     90.28      0.00      8.52      0.50      0.00      0.70
14:56:36        all     94.28      0.00      4.81      0.30      0.00      0.60
14:56:41        all     89.89      0.00      8.61      0.90      0.00      0.60
14:56:46        all     91.88      0.00      7.32      0.30      0.00      0.50
14:56:51        all     89.46      0.00      9.24      0.50      0.00      0.80
14:56:56        all     48.34      0.00      4.52      1.01      0.00     46.13
Average:        all     80.90      0.00      6.23      0.47      0.00     12.40

14:55:06    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:55:11       257324   5079856   2201364     28.73     50240   4914364   3053084     39.85   2108764   4927104     77860
14:55:16       183520   4940212   2340972     30.55     49068   4851500   3144576     41.04   2237188   4872860      2140
14:55:21       122348   4892636   2388528     31.17     49068   4865112   3178228     41.48   2287536   4886456      2160
14:55:26       171092   4872756   2408484     31.43     47880   4798300   3186220     41.58   2298776   4818432      7120
14:55:31       143440   4859320   2421812     31.61     47880   4812624   3193212     41.67   2317092   4832648     42404
14:55:36       136616   4855056   2426224     31.66     47880   4815036   3196428     41.72   2320656   4835208     31860
14:55:41       133592   4852620   2428560     31.69     47880   4815724   3196688     41.72   2314812   4835796     33880
14:55:46       129812   4850912   2430344     31.72     47888   4817712   3198416     41.74   2319060   4837868     28008
14:55:51       129580   4851132   2430136     31.72     47888   4818152   3198936     41.75   2319312   4838320      2288
14:55:56       134944   4796648   2484904     32.43     46712   4759804   3201124     41.78   2374696   4778808      2280
14:56:01       134692   4797588   2483964     32.42     46712   4760996   3206312     41.84   2380184   4780000      4064
14:56:06       133432   4798012   2483484     32.41     46712   4762736   3206580     41.85   2380656   4781684     67824
14:56:11       122172   4788428   2493108     32.54     46712   4764372   3210124     41.89   2390084   4783360     64784
14:56:16       116560   4784736   2496808     32.59     46712   4766284   3210640     41.90   2393872   4785280     63500
14:56:21       129444   4785368   2496324     32.58     45544   4755432   3210960     41.91   2393232   4773212     63700
14:56:26       117356   4774640   2507100     32.72     45548   4756740   3211024     41.91   2401448   4774572     63656
14:56:31       125756   4772084   2509720     32.75     44376   4747112   3211088     41.91   2402908   4763724     58360
14:56:36       117720   4764764   2517036     32.85     44376   4747832   3211540     41.91   2411384   4764440      2208
14:56:41       165968   4764180   2517992     32.86     43204   4700496   3212700     41.93   2415500   4715948       728
14:56:46       164708   4764644   2517564     32.86     43204   4702184   3212828     41.93   2416000   4717672       620
14:56:51       162712   4763924   2518172     32.86     43208   4703568   3213020     41.93   2416264   4718948       624
14:56:56       157176   4763988   2518160     32.86     43208   4709116   3213148     41.93   2416152   4724548       788
Average:       144998   4826068   2455489     32.05     46450   4779327   3194403     41.69   2350708   4797586     28221

14:55:06          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
14:55:11        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:11        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:11        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:11        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:11      nvme0n1     40.00      0.00   9860.80      0.00    246.52      0.17      4.29      2.66
14:55:11    nvme0n1p1     40.00      0.00   9860.80      0.00    246.52      0.17      4.29      2.88
14:55:11    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:11    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:11    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:16      nvme0n1     96.80     76.80  17017.60  19874.40    381.91      0.62      6.43      5.34
14:55:16    nvme0n1p1     96.80     76.80  17017.60  19874.40    381.91      0.62      6.43      5.58
14:55:16    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:16    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:16    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:21      nvme0n1    409.00   2729.60    272.00      0.00      7.34      0.16      0.39     12.64
14:55:21    nvme0n1p1    409.00   2729.60    272.00      0.00      7.34      0.16      0.39     13.10
14:55:21    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:21    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:21    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:26      nvme0n1     76.40    611.20      7.20      0.00      8.09      0.04      0.47      3.36
14:55:26    nvme0n1p1     76.40    611.20      7.20      0.00      8.09      0.04      0.47      3.38
14:55:26    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:26    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:26    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:31      nvme0n1    301.00   2750.40     36.00      0.00      9.26      0.13      0.44     10.04
14:55:31    nvme0n1p1    301.00   2750.40     36.00      0.00      9.26      0.13      0.44     10.48
14:55:31    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:31    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:55:31    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
