Linux 6.17.0-1020-gcp (neo4j-sev-2.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(2 CPU)

14:52:10        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:52:15        all     82.54      0.00      7.67      1.72      0.00      8.07
14:52:20        all     75.48      0.00      3.13      0.40      0.00     20.99
14:52:25        all     94.69      0.00      5.11      0.00      0.00      0.20
14:52:30        all     95.60      0.00      4.10      0.00      0.00      0.30
14:52:35        all     94.21      0.00      5.49      0.00      0.00      0.30
14:52:40        all     95.09      0.00      4.61      0.00      0.00      0.30
14:52:45        all     94.79      0.00      5.01      0.00      0.00      0.20
14:52:50        all     91.98      0.00      7.41      0.00      0.00      0.60
14:52:55        all     20.04      0.00      1.41      0.00      0.00     78.55
14:53:00        all      5.90      0.00      1.02      0.00      0.00     93.08
14:53:05        all     50.20      0.00      3.54      0.10      0.00     46.15
14:53:10        all     91.29      0.00      8.41      0.00      0.00      0.30
14:53:15        all     91.10      0.00      8.40      0.00      0.00      0.50
14:53:20        all     91.06      0.00      8.63      0.00      0.00      0.30
14:53:25        all     90.40      0.00      9.40      0.00      0.00      0.20
14:53:30        all     91.49      0.00      8.01      0.00      0.00      0.50
14:53:35        all     90.77      0.00      8.73      0.00      0.00      0.50
14:53:40        all     92.60      0.00      6.90      0.00      0.00      0.50
14:53:45        all     93.08      0.00      6.82      0.00      0.00      0.10
14:53:50        all     91.20      0.00      8.20      0.00      0.00      0.60
14:53:55        all     93.38      0.00      6.32      0.00      0.00      0.30
14:54:00        all     91.90      0.00      7.80      0.00      0.00      0.30
14:54:05        all     51.65      0.00      4.41      0.00      0.00     43.93
Average:        all     80.97      0.00      6.12      0.10      0.00     12.81

14:52:10    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
14:52:15       216000   5062472   2217960     28.95     57804   4923832   2921700     38.13   2124680   4943912     19736
14:52:20       119704   4967660   2312636     30.18     57808   4925316   2996924     39.11   2222252   4945400       284
14:52:25       143496   4917824   2362448     30.83     56588   4853248   3049444     39.80   2273280   4872012       304
14:52:30       119452   4894132   2386140     31.14     56588   4853596   3057360     39.90   2285948   4872360     24464
14:52:35       204456   4905344   2374928     30.99     55400   4781256   3059480     39.93   2288956   4798932     31788
14:52:40       201180   4902084   2378188     31.04     55400   4781272   3061864     39.96   2293500   4798948     26556
14:52:45       200676   4901592   2378680     31.04     55400   4781284   3062120     39.96   2294036   4798960     27788
14:52:50       195384   4896328   2383944     31.11     55408   4781304   3063792     39.98   2303696   4798988      2624
14:52:55       193368   4894328   2385944     31.14     55408   4781320   3064380     39.99   2304468   4799004      2832
14:53:00       127348   4828140   2452128     32.00     55408   4781152   3120892     40.73   2367808   4798836      2824
14:53:05       119156   4820032   2460108     32.11     55408   4781236   3122824     40.76   2379184   4798920      4560
14:53:10       179064   4807360   2472852     32.27     54220   4710108   3124564     40.78   2386832   4726604     28592
14:53:15       173504   4801972   2478272     32.34     54220   4710280   3126436     40.80   2394792   4726776     41352
14:53:20       169472   4798260   2481984     32.39     54224   4710596   3127792     40.82   2392780   4727096     54444
14:53:25       169472   4798512   2481732     32.39     54224   4710848   3129492     40.84   2394884   4727348     62736
14:53:30       169472   4798728   2481488     32.39     54224   4711064   3129492     40.84   2393804   4727564     34652
14:53:35       169472   4798804   2481412     32.38     54224   4711140   3129816     40.85   2394184   4727640     40804
14:53:40       169472   4798828   2481388     32.38     54224   4711164   3130072     40.85   2389468   4727664     23348
14:53:45       169248   4798628   2481588     32.39     54224   4711188   3130524     40.86   2389880   4727688     17356
14:53:50       169248   4798644   2481564     32.39     54232   4711204   3130844     40.86   2390324   4727704     19592
14:53:55       169248   4798664   2481552     32.39     54232   4711216   3130976     40.86   2391552   4727724     19684
14:54:00       169248   4798688   2481528     32.39     54232   4711240   3131360     40.87   2394644   4727748      2784
14:54:05       169248   4798704   2481512     32.39     54232   4711256   3131556     40.87   2395324   4727692      4000
Average:       168973   4851553   2428695     31.70     55101   4763310   3092770     40.36   2341142   4780675     21439

14:52:10          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
14:52:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:15      nvme0n1     56.40      0.00  12806.40    336.80    233.04      0.44      7.75      3.48
14:52:15    nvme0n1p1     56.40      0.00  12806.40    336.80    233.04      0.44      7.75      3.72
14:52:15    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:15    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:15    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:20      nvme0n1     38.40      0.00   4257.60      0.00    110.88      0.15      3.83      1.28
14:52:20    nvme0n1p1     38.40      0.00   4257.60      0.00    110.88      0.15      3.83      1.32
14:52:20    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:20    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:20    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:25      nvme0n1     74.60     24.80    187.20      0.00      2.84      0.03      0.30      1.80
14:52:25    nvme0n1p1     74.60     24.80    187.20      0.00      2.84      0.02      0.30      1.80
14:52:25    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:25    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:25    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:30        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:30        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:30        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:30        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:30      nvme0n1     30.80     20.80     72.00      0.00      3.01      0.01      0.28      0.72
14:52:30    nvme0n1p1     30.80     20.80     72.00      0.00      3.01      0.01      0.29      0.72
14:52:30    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:30    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:30    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:35      nvme0n1     53.20      0.80    970.40      0.00     18.26      0.04      0.79      0.48
14:52:35    nvme0n1p1     53.20      0.80    970.40      0.00     18.26      0.04      0.78      0.48
14:52:35    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:35    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:35    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
14:52:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
