Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

15:50:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:50:53        all      0.00      0.00      0.05      0.00      0.00     99.95
15:50:58        all     76.47      0.00      2.06      0.00      0.00     21.48
15:51:03        all      0.10      0.00      0.05      0.00      0.00     99.85
15:51:08        all      0.20      0.00      0.15      0.00      0.00     99.65
15:51:13        all     82.25      0.00      3.47      0.05      0.00     14.23
15:51:18        all      5.12      0.00      0.65      0.00      0.00     94.22
Average:        all     27.33      0.00      1.07      0.01      0.00     71.59

15:50:48    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15:50:53      3477700  12163228   2711560     17.63     93316   8716292   3202024     20.82   2696016   8572208      2576
15:50:58      3421640  12107176   2767468     18.00     93316   8716300   3268648     21.26   2786012   8572216      2584
15:51:03      3438768  12124304   2750332     17.89     93316   8716308   3268648     21.26   2777724   8572216      2592
15:51:08      3452368  12137904   2736724     17.80     93316   8716316   3268648     21.26   2777724   8572216      2600
15:51:13      3416588  12102268   2772352     18.03     93316   8716444   3287760     21.38   2815436   8572360     16216
15:51:18      3425184  12110912   2763716     17.97     93316   8716492   3289112     21.39   2810676   8572408     18964
Average:      3438708  12124299   2750359     17.89     93316   8716359   3264140     21.23   2777265   8572271      7589

15:50:48          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
15:50:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:53      nvme0n1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.04
15:50:53    nvme0n1p1      0.60      0.00     32.00      0.00     53.33      0.00      1.00      0.04
15:50:53    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:53    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:53    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:58      nvme0n1     15.60      0.00     42.40      0.00      2.72      0.01      0.35      0.50
15:50:58    nvme0n1p1     15.60      0.00     42.40      0.00      2.72      0.01      0.36      0.50
15:50:58    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:50:58    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
