Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

15:47:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:47:25        all      0.15      0.00      0.15      0.00      0.00     99.70
15:47:30        all     14.65      0.00      0.65      0.00      0.00     84.70
15:47:35        all     31.31      0.00      0.95      0.05      0.00     67.69
15:47:40        all     27.22      0.00      0.90      0.10      0.00     71.77
15:47:45        all      9.29      0.00      0.50      0.05      0.00     90.16
15:47:50        all      0.00      0.00      0.05      0.00      0.00     99.95
15:47:55        all      0.65      0.00      0.10      0.00      0.00     99.25
15:48:00        all     31.12      0.00      1.05      0.00      0.00     67.82
15:48:05        all     13.52      0.00      0.45      0.00      0.00     86.02
15:48:10        all     17.44      0.00      1.25      0.05      0.00     81.25
15:48:15        all      8.56      0.00      0.55      0.10      0.00     90.79
15:48:20        all      8.24      0.00      0.60      0.05      0.00     91.11
15:48:25        all      0.15      0.00      0.10      0.00      0.00     99.75
Average:        all     12.48      0.00      0.56      0.03      0.00     86.93

15:47:20    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15:47:25      3393920  12078092   2796876     18.19     92896   8715608   3324808     21.62   2813228   8571232       232
15:47:30      3370888  12055088   2819900     18.34     92896   8715616   3349724     21.78   2854476   8571260       240
15:47:35      3315060  11999268   2875688     18.70     92896   8715624   3380436     21.98   2910800   8571268       248
15:47:40      3292128  11976344   2898584     18.85     92896   8715632   3397268     22.09   2933576   8571276       256
15:47:45      3302552  11986776   2888152     18.78     92896   8715640   3401260     22.12   2935656   8571284        60
15:47:50      3302552  11986784   2888144     18.78     92896   8715648   3401260     22.12   2935668   8571292        56
15:47:55      3302552  11986792   2888164     18.78     92900   8715656   3401968     22.12   2937568   8571300        56
15:48:00      3255540  11939792   2935168     19.09     92900   8715664   3406792     22.16   2980536   8571312      1852
15:48:05      3234876  11919136   2955824     19.22     92900   8715672   3414364     22.21   3004588   8571320      3084
15:48:10      3212616  11896932   2978028     19.37     92900   8715728   3417624     22.23   3017860   8571376     20860
15:48:15      3206844  11891164   2983796     19.40     92900   8715732   3419488     22.24   3024100   8571380     20864
15:48:20      3202564  11886908   2988052     19.43     92900   8715756   3423240     22.26   3031644   8571404     21736
15:48:25      3202564  11886916   2988040     19.43     92904   8715764   3423240     22.26   3031700   8571412     21716
Average:      3276512  11960769   2914186     18.95     92898   8715672   3397036     22.09   2954723   8571317      7020

15:47:20          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
15:47:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:25      nvme0n1      6.80      0.00    520.80      0.00     76.59      0.01      2.18      0.18
15:47:25    nvme0n1p1      6.80      0.00    520.80      0.00     76.59      0.01      2.18      0.20
15:47:25    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:25    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:25    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:30        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:30        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:30        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:30        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:30      nvme0n1      6.00      0.00     15.20      0.00      2.53      0.00      0.40      0.20
15:47:30    nvme0n1p1      6.00      0.00     15.20      0.00      2.53      0.00      0.37      0.20
15:47:30    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:30    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:30    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:35      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
15:47:35    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.42      0.10
15:47:35    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:35    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:35    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:47:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
