Linux 6.17.0-1020-gcp (neo4j-sev-4.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(4 CPU)

15:45:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:45:19        all     31.22      0.00      3.86      0.87      0.00     64.04
15:45:24        all     82.37      0.00      2.97      0.05      0.00     14.61
15:45:29        all     93.89      0.00      5.06      0.10      0.00      0.95
15:45:34        all     93.13      0.00      5.81      0.00      0.00      1.05
15:45:39        all     88.88      0.00      8.22      0.00      0.00      2.91
15:45:44        all      2.66      0.00      0.70      0.15      0.00     96.49
15:45:49        all      3.72      0.00      0.87      0.00      0.00     95.41
15:45:54        all     73.33      0.00      7.28      0.20      0.00     19.19
15:45:59        all     89.32      0.00      9.52      0.00      0.00      1.15
15:46:04        all     88.36      0.00     10.24      0.00      0.00      1.40
15:46:09        all     88.70      0.00      9.39      0.00      0.00      1.91
15:46:14        all     89.81      0.00      9.04      0.00      0.00      1.15
15:46:19        all     89.04      0.00      9.85      0.00      0.00      1.10
15:46:24        all     26.82      0.00      3.16      0.00      0.00     70.02
Average:        all     67.37      0.00      6.15      0.10      0.00     26.38

15:45:14    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15:45:19      3763812  12447208   2427912     15.79     92640   8715216   3139720     20.42   2416736   8570612       316
15:45:24      3626300  12309704   2565124     16.68     92640   8715224   3302068     21.47   2597764   8570620       168
15:45:29      3566604  12250524   2624236     17.07     92640   8715740   3336552     21.70   2645464   8571136     39616
15:45:34      3560956  12244900   2629860     17.10     92640   8715764   3342352     21.74   2660840   8571160     46996
15:45:39      3554676  12238644   2636084     17.14     92640   8715788   3350812     21.79   2681052   8571184     47660
15:45:44      3433092  12117068   2757660     17.93     92640   8715796   3479408     22.63   2799976   8571192     28972
15:45:49      3335612  12019424   2855296     18.57     92644   8715632   3488672     22.69   2891744   8571028     28588
15:45:54      3309348  11994004   2880720     18.73     92644   8716472   3502552     22.78   2919188   8571872     69680
15:45:59      3302928  11987952   2886728     18.77     92644   8716840   3505516     22.80   2927308   8572240     50156
15:46:04      3301072  11986128   2888552     18.79     92644   8716872   3505580     22.80   2930616   8572272     51340
15:46:09      3159612  11844696   3029984     19.71     92644   8716900   3629868     23.61   3065196   8572300     51880
15:46:14      3157592  11842712   3031968     19.72     92644   8716932   3630592     23.61   3072644   8572332     52168
15:46:19      3141380  11826536   3048144     19.82     92644   8716968   3631108     23.61   3088472   8572368     52396
15:46:24      3141824  11826996   3047684     19.82     92644   8716984   3631300     23.62   3088084   8572384     52464
Average:      3382486  12066893   2807854     18.26     92642   8716223   3462579     22.52   2841792   8571621     40886

15:45:14          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
15:45:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:19      nvme0n1     62.40      0.00  13268.80     21.60    212.99      0.44      7.06      3.58
15:45:19    nvme0n1p1     62.40      0.00  13268.80     21.60    212.99      0.44      7.06      3.74
15:45:19    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:19    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:19    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:24      nvme0n1     27.35      0.00    103.79      0.00      3.80      0.01      0.34      0.82
15:45:24    nvme0n1p1     27.35      0.00    103.79      0.00      3.80      0.01      0.34      0.82
15:45:24    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:24    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:24    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:29      nvme0n1     97.20     45.60    237.60      0.00      2.91      0.03      0.30      2.48
15:45:29    nvme0n1p1     97.20     45.60    237.60      0.00      2.91      0.03      0.30      2.48
15:45:29    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:29    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:29    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:45:34        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
