Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

16:33:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:33:19        all      0.12      0.00      0.07      0.05      0.00     99.75
16:33:24        all      6.80      0.00      0.30      0.03      0.00     92.88
16:33:29        all     14.74      0.00      0.50      0.03      0.00     84.73
16:33:34        all     13.82      0.00      0.45      0.05      0.00     85.67
16:33:39        all      4.43      0.00      0.35      0.00      0.00     95.22
16:33:44        all      0.05      0.00      0.05      0.00      0.00     99.90
16:33:49        all      0.30      0.00      0.05      0.00      0.00     99.65
16:33:54        all     11.64      0.00      0.48      0.00      0.00     87.88
16:33:59        all      4.71      0.00      0.30      0.03      0.00     94.97
16:34:04        all      7.51      0.00      0.70      0.03      0.00     91.76
16:34:09        all      3.86      0.00      0.28      0.05      0.00     95.81
16:34:14        all      6.09      0.00      0.38      0.00      0.00     93.53
16:34:19        all      0.08      0.00      0.05      0.00      0.00     99.87
Average:        all      5.70      0.00      0.30      0.02      0.00     93.98

16:33:14    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
16:33:19     19863620  28420924   2806716      8.81     79180   8716352   3396336     10.66   2727220   8558484       180
16:33:24     19837104  28394432   2833224      8.89     79180   8716360   3417296     10.72   2771832   8558508        36
16:33:29     19723928  28281268   2946356      9.25     79180   8716372   3441160     10.80   2858960   8558520        48
16:33:34     19727972  28285324   2942272      9.23     79180   8716384   3457080     10.85   2878428   8558532        60
16:33:39     19725132  28282496   2945112      9.24     79184   8716396   3468472     10.88   2895316   8558544       184
16:33:44     19732292  28289660   2937940      9.22     79184   8716408   3468472     10.88   2895300   8558548       184
16:33:49     19732544  28289912   2937680      9.22     79184   8716416   3468472     10.88   2895500   8558548       112
16:33:54     19681148  28238548   2989064      9.38     79184   8716428   3474972     10.91   2949220   8558580      2168
16:33:59     19675792  28233192   2994408      9.40     79184   8716440   3476000     10.91   2958360   8558580      3468
16:34:04     19661720  28219192   3008420      9.44     79184   8716500   3477416     10.91   2965156   8558652     21376
16:34:09     19638648  28196128   3031516      9.51     79184   8716508   3480956     10.92   2988872   8558660     21384
16:34:14     19603712  28161228   3066416      9.62     79192   8716536   3482508     10.93   3014704   8558696     22200
16:34:19     19619404  28176920   3050708      9.57     79196   8716548   3482508     10.93   3009200   8558696     22216
Average:     19709463  28266863   2960756      9.29     79184   8716434   3460896     10.86   2908313   8558581      7201

16:33:14          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
16:33:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:19      nvme0n1      6.80      0.00    550.40      0.00     80.94      0.01      1.35      0.16
16:33:19    nvme0n1p1      6.80      0.00    550.40      0.00     80.94      0.01      1.32      0.16
16:33:19    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:19    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:19    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:24      nvme0n1      6.40      0.00     45.60      0.00      7.12      0.00      0.38      0.20
16:33:24    nvme0n1p1      6.40      0.00     45.60      0.00      7.12      0.00      0.41      0.20
16:33:24    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:24    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:24    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:29      nvme0n1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.08
16:33:29    nvme0n1p1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.08
16:33:29    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:29    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:29    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:33:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
