Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

16:31:33        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:31:38        all      2.97      0.00      1.02      0.00      0.00     96.01
16:31:43        all     83.06      0.00      3.28      0.00      0.00     13.67
16:31:48        all     90.25      0.00      7.03      0.05      0.00      2.66
16:31:53        all     27.39      0.00      3.76      0.00      0.00     68.85
16:31:58        all      1.66      0.00      0.58      0.00      0.00     97.75
16:32:03        all     38.53      0.00      4.02      0.13      0.00     57.32
16:32:08        all     84.63      0.00     11.90      0.13      0.00      3.35
16:32:13        all     85.76      0.00     11.45      0.00      0.00      2.79
16:32:18        all     82.42      0.00     12.38      0.00      0.00      5.20
16:32:23        all      4.48      0.00      0.65      0.00      0.00     94.87
Average:        all     50.16      0.00      5.61      0.03      0.00     44.19

16:31:33    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
16:31:38     19622608  28179184   3048744      9.57     78836   8715964   4085120     12.82   2922172   8557776      2612
16:31:43     19372512  27929112   3298248     10.35     78836   8715988   4424404     13.88   3228244   8557800     10580
16:31:48     19348648  27905800   3321556     10.42     78836   8716540   4440388     13.93   3263500   8558352     48524
16:31:53     19090952  27648124   3579228     11.23     78836   8716560   4694668     14.73   3519876   8558372     49760
16:31:58     19001136  27558140   3669080     11.51     78836   8716392   4698948     14.75   3627404   8558204     49720
16:32:03     18943440  27500828   3726452     11.69     78840   8716776   4708428     14.78   3661936   8558588     52568
16:32:08     18923320  27481584   3745700     11.75     78840   8717648   4714984     14.80   3697712   8559464    101052
16:32:13     18932712  27491032   3736284     11.73     78840   8717704   4716268     14.80   3707664   8559520     25016
16:32:18     18918904  27477276   3750040     11.77     78840   8717756   4717048     14.80   3726456   8559572     26028
16:32:23     18922052  27480436   3746884     11.76     78840   8717768   4717048     14.80   3721588   8559584     26104
Average:     19107628  27665152   3562222     11.18     78838   8716910   4591730     14.41   3507655   8558723     39196

16:31:33          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
16:31:38        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:38        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:38        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:38        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:38      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:38    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:38    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:38    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:38    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:43      nvme0n1     39.20      0.00    533.60      0.00     13.61      0.02      0.51      1.18
16:31:43    nvme0n1p1     39.20      0.00    533.60      0.00     13.61      0.02      0.51      1.20
16:31:43    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:43    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:43    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:48        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:48        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:48        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:48        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:48      nvme0n1     92.00     45.60    252.80      0.00      3.24      0.03      0.32      2.54
16:31:48    nvme0n1p1     92.00     45.60    252.80      0.00      3.24      0.03      0.32      2.54
16:31:48    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:48    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:48    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:53    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:58      nvme0n1      1.00      0.00     20.00      0.00     20.00      0.00      0.80      0.08
16:31:58    nvme0n1p1      1.00      0.00     20.00      0.00     20.00      0.00      0.60      0.08
16:31:58    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:58    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:31:58    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:03      nvme0n1    190.00     67.20   1516.00    336.00     10.10      0.10      0.50      4.10
16:32:03    nvme0n1p1    190.00     67.20   1516.00    336.00     10.10      0.10      0.50      4.14
16:32:03    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:03    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:03    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:32:08      nvme0n1    195.40    111.20    472.00      0.00      2.98      0.06      0.29      5.46
