Linux 6.17.0-1020-gcp (neo4j-sev-8.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(8 CPU)

16:29:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:29:53        all      2.95      0.00      1.04      0.00      0.00     96.01
16:29:58        all     73.11      0.00      3.58      0.08      0.00     23.23
16:30:03        all     85.90      0.00      7.65      0.03      0.00      6.42
16:30:08        all     27.06      0.00      3.66      0.05      0.00     69.22
16:30:13        all      1.84      0.00      0.61      0.00      0.00     97.55
16:30:18        all     14.91      0.00      2.02      0.20      0.00     82.87
16:30:23        all     35.78      0.00      4.61      0.21      0.00     59.41
16:30:28        all     32.82      0.00      4.90      0.26      0.00     62.03
16:30:33        all     30.45      0.00      4.47      0.21      0.00     64.87
16:30:38        all     36.54      0.00      4.97      0.23      0.00     58.26
16:30:43        all     42.63      0.00      5.81      0.23      0.00     51.33
16:30:48        all     13.94      0.00      2.10      0.13      0.00     83.84
Average:        all     33.19      0.00      3.78      0.13      0.00     62.90

16:29:48    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
16:29:53     19667472  28223100   3005140      9.43     78548   8715460   4088472     12.83   2921152   8557112      2488
16:29:58     19496740  28052456   3175300      9.96     78548   8715548   4345372     13.64   3147240   8557200     12000
16:30:03     19181244  27737336   3490388     10.95     78548   8715924   4622616     14.51   3457504   8557576     43900
16:30:08     19172928  27729144   3498580     10.98     78548   8716048   4624492     14.51   3462532   8557700     49920
16:30:13     19037728  27593788   3633816     11.40     78548   8715892   4652540     14.60   3584520   8557544     51448
16:30:18     19035092  27591260   3636344     11.41     78556   8715992   4655764     14.61   3584764   8557652     43960
16:30:23     19034760  27591120   3636484     11.41     78556   8716184   4656532     14.61   3597536   8557844     57748
16:30:28     19062848  27619376   3608228     11.32     78556   8716352   4657432     14.62   3584012   8558012     28492
16:30:33     19050244  27607124   3620472     11.36     78556   8716712   4658724     14.62   3604896   8558364     45844
16:30:38     19017296  27574448   3653124     11.46     78556   8716976   4659820     14.62   3632384   8558636     59688
16:30:43     19035156  27592556   3635048     11.41     78556   8717224   4660916     14.63   3624612   8558884     68832
16:30:48     19033392  27590864   3636736     11.41     78560   8717296   4661172     14.63   3629148   8558956     70700
Average:     19152075  27708548   3519138     11.04     78553   8716301   4578654     14.37   3485858   8557957     44585

16:29:48          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
16:29:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:53      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:53    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:53    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:53    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:53    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:58      nvme0n1     49.00      0.00    557.60      0.00     11.38      0.03      0.49      1.54
16:29:58    nvme0n1p1     49.00      0.00    557.60      0.00     11.38      0.02      0.49      1.56
16:29:58    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:58    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:29:58    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:30:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:30:03        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:30:03        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:30:03        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:30:03      nvme0n1     63.40     32.80    178.40      0.00      3.33      0.02      0.34      1.96
16:30:03    nvme0n1p1     63.40     32.80    178.40      0.00      3.33      0.02      0.34      1.96
16:30:03    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:30:03    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:30:03    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
16:30:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
