Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

20:25:33        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:25:38        all      2.01      0.00      0.78      0.01      0.00     97.19
20:25:43        all     74.93      0.00      2.68      0.00      0.00     22.39
20:25:48        all     50.39      0.00      4.08      0.18      0.00     45.36
20:25:53        all      0.60      0.00      0.19      0.00      0.00     99.21
20:25:58        all      8.89      0.00      1.50      0.06      0.00     89.54
20:26:03        all     83.30      0.00     11.19      0.16      0.00      5.35
20:26:08        all     72.50      0.00     11.85      0.00      0.00     15.65
20:26:13        all      2.70      0.00      0.28      0.00      0.00     97.02
Average:        all     36.89      0.00      4.07      0.05      0.00     58.99

20:25:33    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:25:38     52217544  60567056   4386944      6.66     74676   8717568   5979984      9.08   4123720   8554700       308
20:25:43     51688488  60038076   4914948      7.47     74676   8717644   6577684      9.99   4657712   8554776     12396
20:25:48     51649940  60000028   4952964      7.52     74676   8718144   6604708     10.03   4684556   8555276     46996
20:25:53     51550788  59900724   5052204      7.67     74676   8717992   6613272     10.04   4800656   8555124     46972
20:25:58     51523092  59873144   5079716      7.72     74676   8718112   6642064     10.09   4854684   8555240     52192
20:26:03     51501348  59852612   5100232      7.75     74684   8719332   6647672     10.10   4876400   8556452    106448
20:26:08     51017336  59368696   5584092      8.48     74684   8719412   7131404     10.83   5359732   8556548     86136
20:26:13     51032976  59384364   5568392      8.46     74684   8719440   7131484     10.83   5348288   8556576     86168
Average:     51522689  59873088   5079936      7.72     74679   8718456   6666034     10.12   4838218   8555586     54702

20:25:33          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
20:25:38        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:38        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:38        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:38        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:38          sda      5.60      0.00    619.20      0.00    110.57      0.01      1.96      0.18
20:25:38         sda1      5.60      0.00    619.20      0.00    110.57      0.01      1.93      0.18
20:25:38        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:38        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:38        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:43        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:43        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:43        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:43        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:43          sda     18.20      0.00     49.60      0.00      2.73      0.01      0.42      0.74
20:25:43         sda1     18.20      0.00     49.60      0.00      2.73      0.01      0.43      0.74
20:25:43        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:43        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:43        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:48        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:48        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:48        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:48        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:48          sda    106.00     45.60    290.40      0.00      3.17      0.04      0.35      3.70
20:25:48         sda1    106.00     45.60    290.40      0.00      3.17      0.04      0.35      3.70
20:25:48        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:48        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:48        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:53        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:53        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:53        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:53        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:53          sda      1.00      0.00     18.40      0.00     18.40      0.00      0.60      0.04
20:25:53         sda1      1.00      0.00     18.40      0.00     18.40      0.00      0.80      0.06
20:25:53        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:53        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:53        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:58        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:58        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:58        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:58        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:58          sda     32.80     17.60     74.40      0.00      2.80      0.01      0.40      1.26
20:25:58         sda1     32.80     17.60     74.40      0.00      2.80      0.01      0.40      1.26
20:25:58        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:58        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:25:58        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:26:03        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
