Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

20:29:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:29:09        all      0.04      0.00      0.04      0.00      0.00     99.92
20:29:14        all     27.06      0.00      1.07      0.03      0.00     71.84
20:29:19        all      0.07      0.00      0.02      0.00      0.00     99.90
20:29:24        all      6.02      0.00      0.21      0.00      0.00     93.76
20:29:29        all     19.78      0.00      1.23      0.04      0.00     78.95
20:29:34        all      0.23      0.00      0.06      0.00      0.00     99.71
Average:        all      8.84      0.00      0.44      0.01      0.00     90.71

20:29:04    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:29:09     52442900  60795464   4157056      6.31     75516   8719360   4655432      7.07   3886936   8557024      3664
20:29:14     52273292  60625900   4326452      6.57     75516   8719380   4774396      7.25   4053392   8557068      3680
20:29:19     52289452  60642060   4310280      6.55     75516   8719396   4774396      7.25   4042772   8557068      3696
20:29:24     52298796  60651440   4300916      6.53     75516   8719416   4779364      7.26   4064468   8557104      3720
20:29:29     52286620  60639380   4312912      6.55     75516   8719532   4814048      7.31   4088732   8557220     24764
20:29:34     52303876  60656648   4295624      6.52     75528   8719552   4843372      7.36   4081900   8557232     15060
Average:     52315823  60668482   4283873      6.51     75518   8719439   4773501      7.25   4036367   8557119      9097

20:29:04          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
20:29:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:09          sda      0.20      0.00     29.60      0.00    148.00      0.00      2.00      0.02
20:29:09         sda1      0.20      0.00     29.60      0.00    148.00      0.00      1.00      0.02
20:29:09        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:09        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:09        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:14          sda     15.80      0.00     43.20      0.00      2.73      0.01      0.34      0.46
20:29:14         sda1     15.80      0.00     43.20      0.00      2.73      0.01      0.34      0.46
20:29:14        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:14        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:29:14        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
