Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

17:57:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:57:11        all     80.52      0.00      6.86      1.72      0.00     10.90
17:57:16        all     82.91      0.00      2.81      0.30      0.00     13.97
17:57:21        all     95.60      0.00      4.10      0.10      0.00      0.20
17:57:26        all     96.80      0.00      3.10      0.00      0.00      0.10
17:57:31        all     94.50      0.00      5.20      0.00      0.00      0.30
17:57:36        all     95.99      0.00      3.81      0.00      0.00      0.20
17:57:41        all     94.71      0.00      4.90      0.00      0.00      0.40
17:57:46        all     93.59      0.00      6.01      0.00      0.00      0.40
17:57:51        all     40.52      0.00      2.81      0.00      0.00     56.67
17:57:56        all      5.84      0.00      1.01      0.00      0.00     93.15
17:58:01        all     37.25      0.00      3.04      0.00      0.00     59.72
17:58:06        all     91.90      0.00      7.70      0.00      0.00      0.40
17:58:11        all     93.48      0.00      6.02      0.00      0.00      0.50
17:58:16        all     93.49      0.00      6.11      0.00      0.00      0.40
17:58:21        all     91.57      0.00      7.92      0.00      0.00      0.50
17:58:26        all     93.09      0.00      6.51      0.00      0.00      0.40
17:58:31        all     91.99      0.00      7.41      0.00      0.00      0.60
17:58:36        all     93.48      0.00      6.12      0.00      0.00      0.40
17:58:41        all     93.89      0.00      5.61      0.00      0.00      0.50
17:58:46        all     91.41      0.00      8.19      0.00      0.00      0.40
17:58:51        all     94.48      0.00      5.32      0.00      0.00      0.20
17:58:56        all     91.49      0.00      8.11      0.00      0.00      0.40
17:59:01        all     80.04      0.00      5.22      0.00      0.00     14.74
17:59:06        all      1.10      0.00      0.30      0.00      0.00     98.60
Average:        all     80.02      0.00      5.18      0.09      0.00     14.72

17:57:06    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
17:57:11       414524   5464232   2275780     28.00     79372   5098356   2892744     35.60   2172760   5102864     19720
17:57:16       312140   5363340   2376500     29.24     79376   5099836   2988984     36.78   2276540   5104356       268
17:57:21       278876   5330200   2409636     29.65     79376   5099960   3020420     37.17   2313240   5104480       288
17:57:26       244604   5296068   2443768     30.07     79376   5100100   3042172     37.43   2348600   5104620      2796
17:57:31       246248   5297992   2441844     30.05     79376   5100380   3046944     37.49   2352188   5104900     31660
17:57:36       245908   5297664   2442172     30.05     79376   5100392   3048876     37.52   2354236   5104912     33520
17:57:41       244396   5296168   2443668     30.07     79376   5100408   3050492     37.54   2350464   5104928     34064
17:57:46       244396   5296184   2443652     30.07     79376   5100424   3051068     37.54   2351404   5104944      3464
17:57:51       244172   5295968   2443868     30.07     79376   5100432   3052164     37.56   2353828   5104952      3600
17:57:56       187220   5238856   2500980     30.77     79376   5100272   3117232     38.36   2408416   5104792      3596
17:58:01       179156   5231052   2508784     30.87     79376   5100532   3119892     38.39   2414212   5105052       544
17:58:06       179556   5232376   2507460     30.85     79376   5101456   3123888     38.44   2419312   5105976     70712
17:58:11       179556   5232400   2507436     30.85     79376   5101480   3126920     38.48   2419500   5106000     74752
17:58:16       175524   5228384   2511452     30.90     79376   5101496   3128336     38.49   2424000   5106016     75148
17:58:21       174012   5226892   2512944     30.92     79376   5101516   3128948     38.50   2425320   5106036     24932
17:58:26       174012   5226908   2512928     30.92     79376   5101532   3129472     38.51   2420764   5106052     25140
17:58:31       174012   5226924   2512912     30.92     79376   5101548   3130216     38.52   2418940   5106068     18516
17:58:36       172248   5225184   2514652     30.94     79376   5101572   3130344     38.52   2424852   5106092     13748
17:58:41       171240   5224200   2515636     30.96     79376   5101596   3130472     38.52   2422664   5106116       868
17:58:46       170008   5222988   2516848     30.97     79376   5101616   3130732     38.52   2425212   5106136      1836
17:58:51       167992   5220988   2518848     30.99     79376   5101632   3130860     38.53   2426220   5106152      1932
17:58:56       167992   5221000   2518836     30.99     79376   5101644   3131120     38.53   2428312   5106164      2012
17:59:01       158416   5211440   2528392     31.11     79376   5101664   3131504     38.53   2437072   5106180      2032
17:59:06       162624   5215656   2524176     31.06     79376   5101672   3131892     38.54   2433656   5106156      1960
Average:       211201   5263461   2476382     30.47     79376   5100896   3088154     38.00   2384238   5105414     18630

17:57:06          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
17:57:11        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:11        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:11        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:11        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:11          sda     92.40      0.00  22612.00     25.60    245.00      1.01     10.87      6.18
17:57:11         sda1     92.40      0.00  22612.00     25.60    245.00      1.00     10.88      6.26
17:57:11        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:11        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:11        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:16          sda     30.60      0.00   4236.80  28884.80   1082.41      0.30      9.73      1.02
17:57:16         sda1     30.60      0.00   4236.80  28884.80   1082.41      0.30      9.73      1.06
17:57:16        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:16        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:16        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:21          sda     75.40     20.00    192.80      0.00      2.82      0.03      0.36      2.16
17:57:21         sda1     75.40     20.00    192.80      0.00      2.82      0.03      0.36      2.16
17:57:21        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:21        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:21        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:26          sda     37.60     25.60     88.00      0.00      3.02      0.01      0.24      0.78
17:57:26         sda1     37.60     25.60     88.00      0.00      3.02      0.01      0.24      0.78
17:57:26        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:26        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:26        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:31          sda     46.00      0.00    887.20      0.00     19.29      0.07      1.50      0.28
17:57:31         sda1     46.00      0.00    887.20      0.00     19.29      0.07      1.50      0.34
17:57:31        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:31        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:31        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:57:36          sda      0.20      0.00      1.60      0.00      8.00      0.00      1.00      0.00
17:57:36         sda1      0.20      0.00      1.60      0.00      8.00      0.00      1.00      0.00
