Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

17:54:05        CPU     %user     %nice   %system   %iowait    %steal     %idle
17:54:10        all     81.83      0.00      7.03      1.71      0.00      9.44
17:54:15        all     77.57      0.00      2.82      0.30      0.00     19.32
17:54:20        all     95.79      0.00      4.21      0.00      0.00      0.00
17:54:25        all     96.70      0.00      3.00      0.00      0.00      0.30
17:54:30        all     94.70      0.00      5.10      0.00      0.00      0.20
17:54:35        all     95.70      0.00      3.90      0.00      0.00      0.40
17:54:40        all     95.30      0.00      4.60      0.00      0.00      0.10
17:54:45        all     93.37      0.00      6.22      0.00      0.00      0.40
17:54:50        all     43.94      0.00      3.40      0.00      0.00     52.65
17:54:55        all      5.63      0.00      1.31      0.00      0.00     93.06
17:55:00        all     30.67      0.00      1.72      0.20      0.00     67.41
17:55:05        all     92.08      0.00      7.52      0.00      0.00      0.40
17:55:10        all     93.18      0.00      6.42      0.00      0.00      0.40
17:55:15        all     92.09      0.00      7.61      0.00      0.00      0.30
17:55:20        all     90.28      0.00      9.42      0.00      0.00      0.30
17:55:25        all     92.39      0.00      7.41      0.00      0.00      0.20
17:55:30        all     91.58      0.00      7.62      0.00      0.00      0.80
17:55:35        all     92.48      0.00      6.91      0.00      0.00      0.60
17:55:40        all     95.40      0.00      4.30      0.00      0.00      0.30
17:55:45        all     91.68      0.00      7.92      0.00      0.00      0.40
17:55:50        all     93.79      0.00      6.01      0.00      0.00      0.20
17:55:55        all     92.88      0.00      6.92      0.00      0.00      0.20
17:56:00        all     76.71      0.00      6.73      0.00      0.00     16.57
17:56:05        all      2.69      0.00      0.50      0.00      0.00     96.81
Average:        all     79.54      0.00      5.36      0.09      0.00     15.01

17:54:05    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
17:54:10       395192   5451748   2288224     28.16     80924   5101724   3070928     37.79   2173552   5119016     19748
17:54:15       286556   5344652   2395116     29.47     80924   5103212   3154092     38.81   2279544   5120504       300
17:54:20       232880   5291096   2448672     30.13     80924   5103332   3190064     39.25   2334768   5120624       320
17:54:25       208436   5266796   2472968     30.43     80924   5103476   3206348     39.45   2359776   5120768      2764
17:54:30       208212   5266852   2472940     30.43     80924   5103756   3211244     39.51   2360584   5121048     31280
17:54:35       205188   5263840   2475868     30.47     80924   5103768   3215512     39.57   2368608   5121060     33588
17:54:40       188776   5247444   2492264     30.67     80924   5103784   3216936     39.58   2380332   5121076     34512
17:54:45       186040   5244724   2494984     30.70     80924   5103800   3218164     39.60   2385396   5121092      3664
17:54:50       181888   5240580   2499140     30.75     80924   5103808   3215264     39.56   2388272   5121100      6060
17:54:55       216660   5193012   2546724     31.34     79076   5025052   3217808     39.60   2461092   5040400      6056
17:55:00       224028   5200444   2539292     31.25     79076   5025116   3218580     39.60   2462044   5040464      5116
17:55:05       217728   5194300   2545316     31.32     79076   5025272   3221868     39.65   2469280   5040620     25984
17:55:10       201836   5178572   2561044     31.51     79076   5025436   3222768     39.66   2475396   5040784     42388
17:55:15       201588   5178496   2561164     31.52     79080   5025604   3223800     39.67   2474592   5040956     53028
17:55:20       201588   5178916   2560648     31.51     79080   5026024   3225428     39.69   2476628   5041376     24928
17:55:25       201588   5179144   2560420     31.51     79080   5026252   3226524     39.70   2472936   5041604     39912
17:55:30       201588   5179224   2560436     31.51     79080   5026332   3226524     39.70   2473976   5041684     44280
17:55:35       201588   5179244   2560412     31.51     79080   5026356   3226716     39.70   2471720   5041704     22260
17:55:40       199824   5177508   2562152     31.53     79080   5026380   3227168     39.71   2476552   5041732     22392
17:55:45       190752   5168456   2571204     31.64     79080   5026400   3227424     39.71   2484484   5041752     24400
17:55:50       187728   5165448   2574212     31.68     79080   5026416   3227620     39.72   2491604   5041768     11408
17:55:55       186720   5164452   2575212     31.69     79080   5026428   3227812     39.72   2491940   5041780      2528
17:56:00       186720   5164476   2575184     31.69     79080   5026456   3228004     39.72   2491288   5040764      3900
17:56:05       182184   5159996   2579668     31.74     79080   5026508   3228752     39.73   2501956   5040820      3820
Average:       212304   5219976   2519719     31.01     79771   5055029   3211473     39.52   2425263   5071021     19360

17:54:05          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
17:54:10        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:10        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:10        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:10        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:10          sda     92.40      0.00  22610.40   6647.20    316.64      1.01     10.87      6.06
17:54:10         sda1     92.40      0.00  22610.40   6647.20    316.64      1.00     10.87      6.22
17:54:10        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:10        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:10        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:15        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:15        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:15        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:15        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:15          sda     34.40      0.00   4249.60   9830.40    409.30      0.29      8.54      1.02
17:54:15         sda1     34.40      0.00   4249.60   9830.40    409.30      0.29      8.54      1.04
17:54:15        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:15        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:15        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:20        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:20        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:20        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:20        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:20          sda     77.00     24.00    194.40      0.00      2.84      0.02      0.27      1.68
17:54:20         sda1     77.00     24.00    194.40      0.00      2.84      0.02      0.27      1.68
17:54:20        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:20        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:20        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:25        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:25        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:25        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:25        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:25          sda     32.20     21.60     75.20      0.00      3.01      0.01      0.30      0.76
17:54:25         sda1     32.20     21.60     75.20      0.00      3.01      0.01      0.30      0.76
17:54:25        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:25        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:25        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:30        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:30        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:30        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:30        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:30          sda     45.80      0.00    889.60      0.00     19.42      0.05      1.09      0.22
17:54:30         sda1     45.80      0.00    889.60      0.00     19.42      0.05      1.10      0.26
17:54:30        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:30        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:30        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:54:35          sda      0.40      0.00      1.60      0.00      4.00      0.00      1.00      0.00
17:54:35         sda1      0.40      0.00      1.60      0.00      4.00      0.00      0.50      0.00
