Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

18:00:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:00:19        all      0.30      0.00      0.20      0.00      0.00     99.50
18:00:24        all     28.49      0.00      0.70      0.10      0.00     70.71
18:00:29        all     43.67      0.00      1.10      0.00      0.00     55.22
18:00:34        all     48.14      0.00      1.20      0.00      0.00     50.65
18:00:39        all     28.74      0.00      0.90      0.00      0.00     70.35
18:00:44        all      0.20      0.00      0.10      0.10      0.00     99.60
18:00:49        all      2.60      0.00      0.30      0.00      0.00     97.10
18:00:54        all     59.12      0.00      1.30      0.00      0.00     39.58
18:00:59        all     35.01      0.00      0.80      0.00      0.00     64.19
18:01:04        all     30.69      0.00      2.31      0.10      0.00     66.90
18:01:09        all     15.75      0.00      1.00      0.10      0.00     83.15
18:01:14        all     30.05      0.00      1.61      0.00      0.00     68.34
18:01:19        all      0.20      0.00      0.20      0.00      0.00     99.60
Average:        all     24.83      0.00      0.90      0.03      0.00     74.24

18:00:14    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:00:19       803860   5857064   1882768     23.17     79664   5101500   2379008     29.27   1785684   5105300      3576
18:00:24       787732   5840948   1898892     23.37     79664   5101508   2396984     29.50   1811268   5105312      3584
18:00:29       761020   5814244   1925568     23.69     79664   5101516   2416788     29.74   1839476   5105320      3592
18:00:34       746292   5799520   1940276     23.88     79664   5101520   2425348     29.84   1852532   5105324      3356
18:00:39       746068   5799304   1940476     23.88     79664   5101528   2429532     29.90   1856688   5105332      3352
18:00:44       746068   5799308   1940472     23.88     79664   5101532   2429532     29.90   1856792   5105340        40
18:00:49       754132   5807380   1932400     23.78     79664   5101540   2429916     29.90   1849776   5105348       104
18:00:54       722156   5775408   1964372     24.17     79664   5101544   2435376     29.97   1879216   5105352      1728
18:00:59       722156   5775416   1964364     24.17     79664   5101552   2437572     29.99   1881352   5105360      2704
18:01:04       720168   5773492   1966292     24.20     79664   5101616   2439504     30.02   1883404   5105424     19912
18:01:09       718180   5771508   1968276     24.22     79664   5101620   2440532     30.03   1887160   5105428     19916
18:01:14       695148   5748500   1991316     24.50     79664   5101644   2442528     30.06   1897232   5105452     20540
18:01:19       702280   5755636   1984180     24.42     79664   5101648   2442528     30.06   1897240   5105456     20440
Average:       740405   5793671   1946127     23.95     79664   5101559   2426550     29.86   1859832   5105365      7911

18:00:14          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:00:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:19          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:19         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:19        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:19        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:19        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:24        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:24        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:24        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:24        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:24          sda      6.00      0.00     15.20      0.00      2.53      0.00      0.37      0.18
18:00:24         sda1      6.00      0.00     15.20      0.00      2.53      0.00      0.40      0.18
18:00:24        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:24        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:24        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:29        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:29        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:29        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:29        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:29          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.12
18:00:29         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.12
18:00:29        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:29        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:29        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:34        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:34        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:00:34        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
