Linux 6.17.0-1020-gcp (neo4j-baseline-2) 	07/04/26 	_x86_64_	(2 CPU)

18:02:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:02:35        all      0.40      0.00      0.20      0.00      0.00     99.40
18:02:40        all     86.77      0.00      1.90      0.00      0.00     11.32
18:02:45        all     52.96      0.00      1.81      0.00      0.00     45.24
18:02:50        all      0.20      0.00      0.00      0.00      0.00     99.80
18:02:55        all     21.44      0.00      0.80      0.00      0.00     77.76
18:03:00        all     95.70      0.00      3.30      0.00      0.00      1.00
18:03:05        all     63.86      0.00      3.31      0.00      0.00     32.83
18:03:10        all      2.10      0.00      0.30      0.20      0.00     97.40
Average:        all     40.41      0.00      1.45      0.03      0.00     58.11

18:02:30    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:02:35       536068   5597040   2142676     26.37     79988   5108740   2633980     32.41   2041724   5109988      3244
18:02:40       502420   5563400   2176260     26.78     79988   5108748   2672252     32.88   2089016   5109996      3252
18:02:45       497632   5558620   2181040     26.84     79988   5108756   2678364     32.96   2096624   5110004      3260
18:02:50       497632   5558624   2181036     26.84     79988   5108760   2678428     32.96   2096684   5110008      3024
18:02:55       492844   5553844   2185816     26.90     79988   5108768   2681584     33.00   2100928   5110016      3024
18:03:00       467140   5528184   2211476     27.21     79988   5108812   2687632     33.07   2116816   5110060     10648
18:03:05       470400   5531580   2208080     27.17     79988   5108948   2691048     33.11   2123712   5110196     27584
18:03:10       470400   5531584   2208076     27.17     79988   5108952   2691240     33.12   2124032   5110200     15816
Average:       491817   5552860   2186808     26.91     79988   5108810   2676816     32.94   2098692   5110058      8732

18:02:30          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:02:35        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:35        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:35        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:35        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:35          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:35         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:35        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:35        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:35        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:40        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:40          sda     12.80      0.00     34.40      0.00      2.69      0.01      0.39      0.38
18:02:40         sda1     12.80      0.00     34.40      0.00      2.69      0.00      0.38      0.38
18:02:40        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:40        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:40        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:45        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:45        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:45        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:45        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:45          sda      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.14
18:02:45         sda1      2.80      0.00      8.00      0.00      2.86      0.00      0.43      0.14
18:02:45        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:45        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:45        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:50          sda      5.80      0.00     36.00      0.00      6.21      0.00      0.83      0.02
18:02:50         sda1      5.80      0.00     36.00      0.00      6.21      0.00      0.79      0.02
18:02:50        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:50        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:50        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:02:55          sda      8.20      0.00     23.20      0.00      2.83      0.00      0.39      0.22
18:02:55         sda1      8.20      0.00     23.20      0.00      2.83      0.00      0.39      0.22
