Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

18:51:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:51:51        all     27.74      0.00      2.60      0.87      0.00     68.80
18:51:56        all     83.46      0.00      2.61      0.00      0.00     13.93
18:52:01        all     95.19      0.00      4.01      0.00      0.00      0.80
18:52:06        all     92.94      0.00      6.31      0.00      0.00      0.75
18:52:11        all     92.92      0.00      6.28      0.00      0.00      0.80
18:52:16        all     32.93      0.00      3.76      0.00      0.00     63.31
18:52:21        all      3.28      0.00      0.91      0.00      0.00     95.81
18:52:26        all     44.13      0.00      3.95      0.05      0.00     51.87
18:52:31        all     90.32      0.00      8.63      0.15      0.00      0.90
18:52:36        all     90.77      0.00      8.12      0.00      0.00      1.10
18:52:41        all     90.88      0.00      8.22      0.00      0.00      0.90
18:52:46        all     90.03      0.00      9.07      0.00      0.00      0.90
18:52:51        all     90.13      0.00      8.72      0.05      0.00      1.10
18:52:56        all     89.29      0.00      9.96      0.00      0.00      0.75
18:53:01        all     14.75      0.00      1.71      0.40      0.00     83.14
Average:        all     68.67      0.00      5.66      0.10      0.00     25.56

18:51:46    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:51:51      4311288  13061728   2869352     17.53     92616   8716672   3563312     21.77   2825876   8570676       244
18:51:56      4180752  12931200   2999576     18.32     92616   8716680   3725296     22.76   3015036   8570684       252
18:52:01      4151104  12901916   3028860     18.50     92616   8717044   3757492     22.95   3055068   8571048     20328
18:52:06      4133576  12884568   3046208     18.61     92616   8717224   3770668     23.03   3074980   8571228     48068
18:52:11      4109640  12860656   3070120     18.75     92616   8717248   3774148     23.05   3104708   8571252     48348
18:52:16      4116204  12867236   3063572     18.71     92616   8717264   3774800     23.06   3096980   8571268     29652
18:52:21      4009368  12760208   3170560     19.37     92616   8717092   3776592     23.07   3190176   8571096     29616
18:52:26      3971448  12722612   3208156     19.60     92616   8717416   3782188     23.10   3219604   8571420     44000
18:52:31      3982716  12734740   3196028     19.52     92616   8718276   3785728     23.12   3225584   8572280     62184
18:52:36      3972740  12724796   3205972     19.58     92616   8718308   3789076     23.14   3238060   8572312     63048
18:52:41      3967896  12719984   3210784     19.61     92616   8718340   3789332     23.15   3246972   8572344     63272
18:52:46      3972604  12724724   3206044     19.58     92616   8718372   3789976     23.15   3243856   8572376     63560
18:52:51      3972352  12724504   3206264     19.58     92616   8718408   3790492     23.15   3244472   8572408     58444
18:52:56      3964036  12716228   3214544     19.64     92616   8718444   3797380     23.20   3251624   8572448     58628
18:53:01      3964288  12716488   3214284     19.63     92616   8718452   3797492     23.20   3251376   8572456        48
Average:      4052001  12803439   3127355     19.10     92616   8717683   3764265     22.99   3152291   8571686     39313

18:51:46          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:51:51        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:51        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:51        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:51        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:51          sda     55.20      0.00  12807.20     98.40    233.80      0.43      7.84      3.60
18:51:51         sda1     55.20      0.00  12807.20     98.40    233.80      0.43      7.84      3.66
18:51:51        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:51        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:51        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:56        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:56        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:56        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:56        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:56          sda     24.40      0.00     66.40      0.00      2.72      0.01      0.34      0.66
18:51:56         sda1     24.40      0.00     66.40      0.00      2.72      0.01      0.34      0.66
18:51:56        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:56        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:51:56        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:01        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:01        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:01        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:01        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:01          sda     99.40     45.60    243.20      0.00      2.91      0.04      0.35      2.70
18:52:01         sda1     99.40     45.60    243.20      0.00      2.91      0.03      0.35      2.70
18:52:01        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:01        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:01        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:06        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:06        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:06        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:06        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:06          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:06         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:06        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:52:06        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
