Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

18:49:37        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:49:42        all     27.92      0.00      2.65      0.87      0.00     68.57
18:49:47        all     76.50      0.00      2.37      0.05      0.00     21.08
18:49:52        all     94.49      0.00      4.60      0.05      0.00      0.85
18:49:57        all     93.28      0.00      5.72      0.00      0.00      1.00
18:50:02        all     91.63      0.00      7.52      0.00      0.00      0.85
18:50:07        all     18.50      0.00      1.70      0.00      0.00     79.80
18:50:12        all      3.44      0.00      0.96      0.00      0.00     95.59
18:50:17        all     45.08      0.00      4.39      0.15      0.00     50.38
18:50:22        all     89.97      0.00      8.78      0.05      0.00      1.20
18:50:27        all     89.22      0.00      9.77      0.00      0.00      1.00
18:50:32        all     90.73      0.00      8.22      0.00      0.00      1.05
18:50:37        all     90.82      0.00      8.23      0.00      0.00      0.95
18:50:42        all     90.39      0.00      8.61      0.00      0.00      1.00
18:50:47        all     90.23      0.00      8.77      0.00      0.00      1.00
18:50:52        all     36.87      0.00      4.36      0.35      0.00     58.42
Average:        all     68.70      0.00      5.79      0.10      0.00     25.41

18:49:37    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:49:42      4092676  12842424   3088888     18.87     92412   8716304   3809312     23.27   3066984   8570100       252
18:49:47      3979528  12729288   3201764     19.56     92412   8716312   3941140     24.07   3202196   8570112       260
18:49:52      3931396  12681500   3249416     19.85     92412   8716656   3994076     24.40   3252420   8570456     26600
18:49:57      3925804  12676108   3254808     19.88     92412   8716856   3999428     24.43   3254548   8570656     48204
18:50:02      3934020  12684348   3246536     19.83     92412   8716880   4002268     24.45   3269592   8570680     45668
18:50:07      3920340  12670676   3260048     19.91     92412   8716888   4008564     24.49   3286424   8570688     29324
18:50:12      3826040  12576208   3354476     20.49     92420   8716724   4011004     24.50   3381992   8570524     29328
18:50:17      3822932  12573220   3357428     20.51     92420   8716828   4013192     24.51   3387532   8570636     42920
18:50:22      3819024  12569508   3361172     20.53     92420   8717024   4015320     24.53   3390692   8570832     29552
18:50:27      3819640  12570268   3360412     20.53     92420   8717168   4016028     24.53   3396028   8570976     42576
18:50:32      3802032  12553024   3377656     20.63     92420   8717532   4019544     24.55   3403184   8571340     55064
18:50:37      3807420  12558652   3372028     20.60     92420   8717772   4020832     24.56   3406088   8571580     66904
18:50:42      3795268  12546728   3383956     20.67     92424   8718000   4021152     24.56   3415732   8571808     75876
18:50:47      3788192  12539720   3390968     20.71     92424   8718064   4021800     24.57   3423348   8571876     76988
18:50:52      3784088  12535640   3395080     20.74     92424   8718088   4022124     24.57   3426400   8571900       332
Average:      3869893  12620487   3310309     20.22     92418   8717140   3994386     24.40   3330877   8570944     37990

18:49:37          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:49:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:42          sda     55.20      0.00  12805.60     79.20    233.42      0.43      7.76      3.58
18:49:42         sda1     55.20      0.00  12805.60     79.20    233.42      0.43      7.76      3.70
18:49:42        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:42        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:42        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:47          sda     27.20      0.00     73.60      0.00      2.71      0.01      0.35      0.74
18:49:47         sda1     27.20      0.00     73.60      0.00      2.71      0.01      0.35      0.74
18:49:47        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:47        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:47        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:52          sda     75.20     30.40    185.60      0.00      2.87      0.03      0.35      1.98
18:49:52         sda1     75.20     30.40    185.60      0.00      2.87      0.03      0.34      1.98
18:49:52        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:52        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:52        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:57          sda     21.40     15.20     50.40      0.00      3.07      0.01      0.32      0.64
18:49:57         sda1     21.40     15.20     50.40      0.00      3.07      0.01      0.32      0.64
18:49:57        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:57        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:49:57        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:02        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:02        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:02        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:02        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:02          sda      1.00      0.00      9.58      0.00      9.60      0.00      0.80      0.00
18:50:02         sda1      1.00      0.00      9.58      0.00      9.60      0.00      0.80      0.00
18:50:02        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:02        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:02        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:07        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:07        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:07        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:07        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:07          sda     68.80      0.00   1224.80      0.00     17.80      0.10      1.49      0.30
18:50:07         sda1     68.80      0.00   1224.80      0.00     17.80      0.10      1.49      0.36
18:50:07        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:07        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:07        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:12        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:12        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:12        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:12        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:12          sda      2.80      0.00     64.80     66.40     46.86      0.00      0.64      0.14
18:50:12         sda1      2.80      0.00     64.80     66.40     46.86      0.00      0.64      0.16
18:50:12        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:12        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:12        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:17        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:17        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:17        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:17        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:17          sda     32.40     17.60     73.60      0.00      2.81      0.01      0.36      1.04
18:50:17         sda1     32.40     17.60     73.60      0.00      2.81      0.01      0.36      1.04
18:50:17        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:17        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:17        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:22        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:22        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:22        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:22        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:22          sda    177.80     30.40   1216.80      0.00      7.01      0.24      1.34      2.00
18:50:22         sda1    177.80     30.40   1216.80      0.00      7.01      0.24      1.34      2.08
18:50:22        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:22        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:22        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:27        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:27        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:27        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:27        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:27          sda     45.20     24.00    102.40      0.00      2.80      0.02      0.33      1.14
18:50:27         sda1     45.20     24.00    102.40      0.00      2.80      0.01      0.33      1.14
18:50:27        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:27        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:27        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:50:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
