Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

18:57:35        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:57:40        all      0.15      0.00      0.10      0.00      0.00     99.75
18:57:45        all     82.03      0.00      1.96      0.05      0.00     15.96
18:57:50        all      1.30      0.00      0.20      0.05      0.00     98.45
18:57:55        all      0.15      0.00      0.00      0.00      0.00     99.85
18:58:00        all     75.90      0.00      2.91      0.00      0.00     21.19
18:58:05        all     25.31      0.00      1.71      0.00      0.00     72.98
Average:        all     30.79      0.00      1.14      0.02      0.00     68.05

18:57:35    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:57:40      4964300  13716916   2213648     13.52     93140   8717908   2701148     16.50   2206588   8572120      3084
18:57:45      4867556  13620180   2310252     14.11     93140   8717916   2764884     16.89   2298740   8572128      3092
18:57:50      4896460  13649092   2281340     13.94     93140   8717924   2765400     16.89   2299268   8572136      3100
18:57:55      4919612  13672244   2258184     13.79     93140   8717928   2765400     16.89   2289492   8572136      3104
18:58:00      4894284  13647000   2283436     13.95     93140   8718008   2777568     16.97   2315328   8572220     21516
18:58:05      4896644  13649464   2280980     13.93     93140   8718112   2778472     16.97   2316756   8572324     27472
Average:      4906476  13659149   2271307     13.87     93140   8717966   2758812     16.85   2287695   8572177     10228

18:57:35          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:57:40        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:40        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:40        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:40        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:40          sda      0.40      0.00     29.60      0.00     74.00      0.00      0.50      0.02
18:57:40         sda1      0.40      0.00     29.60      0.00     74.00      0.00      0.50      0.02
18:57:40        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:40        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:40        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:45        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:45        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:45        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:45        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:45          sda     12.80      0.00     34.40      0.00      2.69      0.00      0.34      0.36
18:57:45         sda1     12.80      0.00     34.40      0.00      2.69      0.00      0.34      0.36
18:57:45        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:45        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:45        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:50        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:50        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:50        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:50        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:50          sda      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.14
18:57:50         sda1      2.80      0.00      8.00      0.00      2.86      0.00      0.36      0.14
18:57:50        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:50        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:50        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:57:55        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:00        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:00        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:00        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:00        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:00          sda     23.20      0.00     65.60      0.00      2.83      0.01      0.36      0.74
18:58:00         sda1     23.20      0.00     65.60      0.00      2.83      0.01      0.37      0.74
18:58:00        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:00        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:00        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:05        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:05        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:05        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:05        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:05          sda     12.60      0.00    635.20      0.00     50.41      0.02      1.94      0.22
18:58:05         sda1     12.60      0.00    635.20      0.00     50.41      0.02      1.94      0.22
18:58:05        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:05        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:58:05        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda      8.63      0.00    128.80      0.00     14.92      0.01      0.74      0.25
Average:         sda1      8.63      0.00    128.80      0.00     14.92      0.01      0.75      0.25
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
