Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/04/26 	_x86_64_	(4 CPU)

18:53:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:54:04        all      0.15      0.00      0.20      0.00      0.00     99.65
18:54:09        all     17.86      0.00      0.50      0.05      0.00     81.59
18:54:14        all     31.28      0.00      0.90      0.00      0.00     67.82
18:54:19        all     30.02      0.00      0.85      0.05      0.00     69.08
18:54:24        all     14.55      0.00      0.60      0.00      0.00     84.85
18:54:29        all      0.15      0.00      0.00      0.00      0.00     99.85
18:54:34        all      1.80      0.00      0.10      0.00      0.00     98.10
18:54:39        all     32.19      0.00      0.95      0.00      0.00     66.85
18:54:44        all     13.18      0.00      0.65      0.05      0.00     86.12
18:54:49        all     16.85      0.00      1.30      0.00      0.00     81.85
18:54:54        all      6.98      0.00      0.50      0.10      0.00     92.42
18:54:59        all     12.18      0.00      0.75      0.05      0.00     87.02
18:55:04        all      0.20      0.00      0.10      0.05      0.00     99.65
Average:        all     13.64      0.00      0.57      0.03      0.00     85.76

18:53:59    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
18:54:04      4980876  13732268   2198600     13.43     92848   8717200   2698064     16.48   2223088   8571300      2988
18:54:09      4926692  13678092   2252780     13.76     92848   8717208   2717468     16.60   2279252   8571308      2996
18:54:14      4873112  13624520   2306320     14.09     92848   8717216   2748436     16.79   2325548   8571316      3004
18:54:19      4875228  13626640   2304168     14.07     92848   8717220   2760316     16.86   2332008   8571320      3008
18:54:24      4850776  13602196   2328612     14.22     92848   8717228   2763276     16.88   2356040   8571328      3016
18:54:29      4852448  13603876   2326932     14.21     92848   8717236   2763276     16.88   2356196   8571336        52
18:54:34      4844972  13596408   2334400     14.26     92848   8717244   2763660     16.88   2363488   8571344         0
18:54:39      4813760  13565204   2365604     14.45     92848   8717252   2770100     16.92   2394436   8571352      1796
18:54:44      4815884  13567336   2363472     14.44     92848   8717260   2771644     16.93   2395908   8571360      3412
18:54:49      4807872  13559380   2371428     14.49     92848   8717316   2772544     16.94   2402764   8571416     21252
18:54:54      4808700  13560216   2370592     14.48     92848   8717324   2779424     16.98   2409264   8571424     21260
18:54:59      4790808  13542348   2388492     14.59     92848   8717348   2781484     16.99   2421040   8571448     22132
18:55:04      4789044  13540580   2390260     14.60     92852   8717356   2781484     16.99   2421128   8571460     24444
Average:      4848475  13599928   2330897     14.24     92848   8717262   2759321     16.85   2360012   8571362      8412

18:53:59          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
18:54:04        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:04        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:04        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:04        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:04          sda      0.40      0.00     30.40      0.00     76.00      0.00      1.00      0.02
18:54:04         sda1      0.40      0.00     30.40      0.00     76.00      0.00      1.00      0.02
18:54:04        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:04        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:04        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:09        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:09        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:09        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:09        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:09          sda      6.00      0.00     15.20      0.00      2.53      0.00      0.33      0.24
18:54:09         sda1      6.00      0.00     15.20      0.00      2.53      0.00      0.33      0.24
18:54:09        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:09        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:09        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:14        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:14        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:14        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:14        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:14          sda      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
18:54:14         sda1      2.40      0.00      6.40      0.00      2.67      0.00      0.33      0.10
18:54:14        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:14        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:14        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:19        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:19        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:19        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
18:54:19        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
