Linux 6.17.0-1020-gcp (neo4j-baseline-8) 	07/04/26 	_x86_64_	(8 CPU)

19:38:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:38:08        all     12.41      0.00      1.47      0.38      0.00     85.74
19:38:13        all     71.29      0.00      2.70      0.03      0.00     25.99
19:38:18        all     90.80      0.00      6.53      0.05      0.00      2.61
19:38:23        all     44.11      0.00      4.96      0.03      0.00     50.90
19:38:28        all      1.66      0.00      0.48      0.00      0.00     97.87
19:38:33        all      8.83      0.00      1.34      0.05      0.00     89.77
19:38:38        all     45.04      0.00      5.42      0.20      0.00     49.34
19:38:43        all     35.26      0.00      4.47      0.10      0.00     60.16
19:38:48        all     40.10      0.00      4.47      0.30      0.00     55.13
19:38:53        all     43.22      0.00      4.88      0.23      0.00     51.68
19:38:58        all     42.33      0.00      5.03      0.23      0.00     52.41
19:39:03        all     28.24      0.00      4.24      0.10      0.00     67.42
19:39:08        all      0.08      0.00      0.05      0.13      0.00     99.75
Average:        all     35.64      0.00      3.54      0.14      0.00     60.68

19:38:03    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
19:38:08     19353744  27964072   4307224     13.11     78408   8717080   5363220     16.32   4217960   8556616       312
19:38:13     19136592  27746948   4523892     13.77     78408   8717104   5621360     17.11   4448460   8556644      9040
19:38:18     19083436  27694220   4576588     13.93     78408   8717532   5650988     17.20   4496196   8557072     42452
19:38:23     19083044  27693980   4576828     13.93     78408   8717684   5654080     17.21   4498372   8557224     50856
19:38:28     18997148  27607896   4662840     14.19     78408   8717520   5658528     17.22   4596540   8557060     50820
19:38:33     18956452  27567252   4703440     14.31     78408   8717576   5687276     17.31   4637676   8557112     31008
19:38:38     18947116  27558112   4712584     14.34     78412   8717764   5689272     17.31   4647672   8557308     52972
19:38:43     18943916  27555080   4715584     14.35     78412   8717932   5693396     17.33   4656004   8557476     65008
19:38:48     18943196  27554544   4716120     14.35     78412   8718116   5694236     17.33   4659776   8557660     33560
19:38:53     18932900  27544672   4725992     14.38     78412   8718540   5695136     17.33   4672660   8558084     51612
19:38:58     18909456  27521508   4749156     14.45     78412   8718820   5705076     17.36   4690060   8558364     62888
19:39:03     18905596  27517752   4752912     14.46     78412   8718924   5705592     17.36   4696852   8558468     69104
19:39:08     18905876  27518032   4752644     14.46     78420   8718936   5705592     17.36   4696816   8558468     49932
Average:     19007575  27618774   4651985     14.16     78411   8717964   5655673     17.21   4585773   8557504     43813

19:38:03          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
19:38:08        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:08        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:08        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:08        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:08          sda     59.60      0.00  13330.40     25.60    224.09      0.34      5.72      3.02
19:38:08         sda1     59.60      0.00  13330.40     25.60    224.09      0.34      5.72      3.20
19:38:08        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:08        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:08        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:13        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:13        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:13        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:13        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:13          sda     35.20      0.00    124.80      0.00      3.55      0.01      0.34      1.14
19:38:13         sda1     35.20      0.00    124.80      0.00      3.55      0.01      0.34      1.14
19:38:13        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:13        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:13        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:18        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:18        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:18        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:18        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:18          sda     67.80     30.40    164.00      0.00      2.87      0.03      0.38      2.46
19:38:18         sda1     67.80     30.40    164.00      0.00      2.87      0.03      0.38      2.44
19:38:18        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:18        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:18        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:23        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:23        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:23        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:38:23        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
