Linux 6.17.0-1020-gcp (neo4j-sev-16.europe-west4-a.c.neo4j-benchmark-498612.internal) 	07/04/26 	_x86_64_	(16 CPU)

20:54:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:54:32        all      0.04      0.00      0.01      0.01      0.00     99.94
20:54:37        all     28.39      0.00      1.35      0.03      0.00     70.23
20:54:42        all      0.05      0.00      0.01      0.00      0.00     99.94
20:54:47        all      9.68      0.00      0.53      0.01      0.00     89.78
20:54:52        all     12.43      0.00      0.89      0.04      0.00     86.64
20:54:57        all      0.08      0.00      0.08      0.00      0.00     99.85
Average:        all      8.41      0.00      0.48      0.01      0.00     91.10

20:54:27    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
20:54:32     51526188  59793288   4085064      6.30     74864   8720116   4697160      7.24   3922868   8555916       376
20:54:37     51406916  59674052   4204088      6.48     74864   8720132   4818264      7.43   4092720   8555952       232
20:54:42     51423692  59690828   4187328      6.46     74864   8720148   4820844      7.43   4094128   8555952      1916
20:54:47     51402616  59669752   4208228      6.49     74864   8720164   4920224      7.59   4125000   8555952      4300
20:54:52     51405032  59672276   4205512      6.49     74864   8720240   4928144      7.60   4137524   8556060     16192
20:54:57     51401236  59668508   4209264      6.49     74876   8720256   5014320      7.73   4141916   8556088     13204
Average:     51427613  59694784   4183247      6.45     74866   8720176   4866493      7.50   4085693   8555987      6037

20:54:27          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
20:54:32        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:32        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:32        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:32        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:32      nvme0n1      7.60      0.00    607.20      0.00     79.89      0.01      1.29      0.12
20:54:32    nvme0n1p1      7.60      0.00    607.20      0.00     79.89      0.01      1.29      0.12
20:54:32    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:32    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:32    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:37        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:37        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:37        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:37        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:37      nvme0n1     16.20      0.00     74.40      0.00      4.59      0.01      0.35      0.56
20:54:37    nvme0n1p1     16.20      0.00     74.40      0.00      4.59      0.01      0.33      0.56
20:54:37    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:37    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:37    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42      nvme0n1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42    nvme0n1p1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:42    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:47        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:47        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:47        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:47        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:47      nvme0n1      3.60      0.00     10.40      0.00      2.89      0.00      0.33      0.12
20:54:47    nvme0n1p1      3.60      0.00     10.40      0.00      2.89      0.00      0.39      0.12
20:54:47    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:47    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:47    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:52        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:52        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:52        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:52        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:52      nvme0n1     59.00      0.00    548.00      0.00      9.29      0.07      1.19      0.80
20:54:52    nvme0n1p1     59.00      0.00    548.00      0.00      9.29      0.07      1.19      0.80
20:54:52    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:52    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:52    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:57        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:57        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:57        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:57        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:57      nvme0n1      1.80      0.00     40.00      0.80     22.67      0.00      0.78      0.06
20:54:57    nvme0n1p1      1.80      0.00     40.00      0.80     22.67      0.00      0.89      0.06
20:54:57    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:57    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:54:57    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:      nvme0n1     14.70      0.00    213.33      0.13     14.52      0.01      1.00      0.28
Average:    nvme0n1p1     14.70      0.00    213.33      0.13     14.52      0.01      1.00      0.28
Average:    nvme0n1p14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    nvme0n1p16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
